TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-01-17,2024-01-17,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4732.05,4863.80,4732.05,4771.65,4771.65,4806.70,,4773.05,,,3293,15829610.00,866,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,356.15,374.45,356.15,370.60,370.65,368.45,,370.45,,,60489,22410854.00,1604,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,799.15,809.15,791.85,796.20,796.20,804.10,,796.85,,,74405,59657309.00,4841,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,52.05,52.40,48.10,50.74,50.74,53.80,,50.74,,,431462,21977926.00,1601,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,95.05,96.98,93.00,93.94,93.94,97.48,,93.94,,,188363,17809498.00,1236,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.35,8.88,8.00,8.28,8.26,8.52,,8.28,,,63977,541710.00,350,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,18.29,20.05,17.80,19.09,19.25,18.51,,19.09,,,65866,1243924.00,160,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,155.90,159.00,154.00,156.15,156.15,158.10,,156.25,,,137448,21503492.00,1676,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,203.00,203.00,195.95,196.05,199.00,203.00,,197.35,,,78,15302.00,7,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6730.00,6749.95,6615.00,6628.80,6620.05,6769.65,,6628.80,,,2913,19462909.00,957,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,20.80,21.64,19.60,21.54,21.20,20.63,,21.54,,,319952,6591133.00,725,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,1054.90,1062.00,1029.90,1033.85,1039.30,1057.10,,1034.55,,,3670,3862264.00,458,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,26.97,27.12,26.50,26.62,26.62,27.17,,26.64,,,1776674,47663298.00,6816,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,3600.00,3633.95,3536.00,3554.95,3554.95,3594.50,,3554.95,,,19372,69064668.00,1857,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7300.00,7475.00,7300.00,7357.15,7357.15,7472.70,,7358.80,,,47683,352259319.00,8370,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,390.85,391.85,385.05,385.45,385.45,392.70,,385.30,,,113449,43993812.00,3979,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,689.90,700.00,677.45,682.80,684.45,690.30,,682.90,,,110637,76569318.00,7164,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1381.90,1425.30,1381.90,1397.40,1388.40,1433.35,,1398.00,,,5878,8243788.00,553,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,2555.05,2566.75,2550.00,2562.60,2562.60,2560.00,,2572.95,,,30,76608.00,11,F1,1,,,,,
2024-01-17,2024-01-17,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,2956.25,3002.45,2940.00,2951.30,2944.20,2956.65,,2950.10,,,763,2261211.00,230,F1,1,,,,,
