TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-01-08,2024-01-08,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4850.00,4850.00,4741.75,4756.35,4742.40,4831.00,,4753.30,,,3379,16128858.00,741,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,337.75,341.00,330.55,337.70,338.70,333.55,,338.10,,,61811,20831992.00,2244,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,839.95,839.95,820.35,826.80,826.80,834.90,,826.85,,,17931,14839689.00,1299,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500009,INE432A01017,AMBALALSA,XT,,,,,AMBALAL SARABHAI ENTERPRISES L,41.46,43.95,41.46,42.44,42.44,42.31,,42.44,,,144316,6193798.00,456,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,94.00,95.50,89.05,90.51,90.51,93.68,,90.51,,,317971,29294653.00,1521,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,10.52,10.52,10.52,10.52,10.52,11.07,,10.59,,,29128,306426.00,23,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.85,9.21,7.31,9.21,9.21,7.68,,9.21,,,789492,6993239.00,743,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,15.98,15.98,15.11,15.38,15.50,15.84,,15.38,,,38234,595662.00,142,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,160.25,162.60,156.95,157.20,157.20,160.30,,157.25,,,201724,32082485.00,3124,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,222.00,227.90,206.25,206.30,206.50,217.10,,209.45,,,1100,236982.00,19,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7002.05,7050.00,6833.85,6848.90,6862.80,7031.05,,6848.35,,,2294,15860862.00,886,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,16.25,16.44,15.25,15.42,15.70,15.99,,15.42,,,54589,850552.00,198,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,1026.05,1034.05,1023.60,1025.20,1024.05,1026.05,,1026.60,,,3328,3416702.00,350,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,28.79,28.86,27.90,28.12,28.12,28.58,,28.14,,,1862739,52579357.00,6001,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,3751.00,3795.60,3663.25,3746.50,3746.50,3603.55,,3746.50,,,41869,155694975.00,3483,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7676.80,7829.80,7632.30,7734.05,7740.00,7710.55,,7735.95,,,19108,147906817.00,3327,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,407.75,407.75,395.00,396.05,396.05,403.45,,395.95,,,69913,27840012.00,2035,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,648.75,650.00,633.00,638.60,634.75,640.15,,638.15,,,23575,15162060.00,1373,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1420.05,1513.75,1420.05,1501.30,1501.30,1413.20,,1497.25,,,69377,102872299.00,5535,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,2532.60,2571.00,2515.00,2538.90,2538.90,2526.35,,2543.10,,,166,421986.00,35,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3047.40,3078.50,2993.95,3048.15,3038.90,3043.80,,3051.05,,,1746,5286231.00,517,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1622.25,1627.35,1581.00,1585.80,1590.00,1621.00,,1588.05,,,10656,17071720.00,928,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3128.20,3315.75,3114.20,3172.35,3172.35,3090.45,,3171.90,,,28912,92476703.00,3631,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,186.95,187.45,183.20,183.65,183.65,185.95,,183.60,,,908809,168018962.00,11867,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,112.95,115.00,109.75,110.60,110.60,112.15,,110.70,,,145379,16212433.00,1733,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,10.80,10.96,10.55,10.61,10.61,10.64,,10.61,,,72616,781456.00,243,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,18.40,18.62,18.40,18.62,18.62,17.74,,18.60,,,33077,615229.00,54,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,281.90,283.00,272.55,273.15,273.15,277.55,,273.10,,,25749,7073144.00,1072,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,951.95,959.95,945.00,953.35,954.00,943.75,,952.60,,,6975,6628732.00,735,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,15759.80,15760.00,15351.55,15517.10,15517.10,15591.90,,15517.10,,,61,950138.00,26,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,375.00,397.30,375.00,387.90,390.00,390.65,,387.90,,,1595,619603.00,37,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500074,INE110A01019,BPL,T,,,,,BPL LTD.,97.90,98.00,91.00,92.14,92.00,94.93,,91.88,,,47565,4504695.00,312,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,388.95,393.65,384.35,385.40,384.95,385.15,,385.55,,,2255,877593.00,236,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,21.28,21.35,20.57,20.78,20.85,20.94,,20.75,,,146945,3099614.00,974,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,138.80,139.25,134.95,135.65,135.45,138.55,,135.70,,,342797,46803428.00,3155,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,375.30,385.35,367.75,378.35,378.35,372.80,,378.45,,,590607,222401679.00,14952,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,333.70,333.70,322.65,323.30,323.30,329.45,,323.50,,,221617,72212749.00,7018,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1298.30,1298.30,1266.50,1271.05,1271.05,1286.50,,1271.75,,,16431,20998429.00,1969,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,521.00,526.65,510.05,522.75,517.15,514.95,,521.95,,,1296,673075.00,94,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4160.00,4190.00,4060.00,4072.35,4060.00,4118.10,,4072.35,,,1214,4974628.00,409,F1,1,,,,,
2024-01-08,2024-01-08,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,471.55,480.75,465.65,469.05,469.05,467.10,,469.80,,,88051,41777158.00,2342,F1,1,,,,,
