TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-01-25,2024-01-25,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4787.95,4787.95,4667.35,4738.25,4727.85,4731.00,,4739.25,,,2785,13136655.00,599,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,380.15,391.90,380.15,388.15,388.20,385.00,,388.45,,,26748,10387734.00,725,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,805.75,815.65,801.60,813.20,813.20,799.25,,813.10,,,17234,13984336.00,1175,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,49.00,56.00,49.00,53.01,53.01,48.99,,53.01,,,610542,32646488.00,1874,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,106.00,106.50,103.30,103.97,103.97,104.33,,103.97,,,293515,30839975.00,1265,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.16,8.17,7.52,8.09,8.10,8.00,,8.09,,,45677,368222.00,274,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,18.35,19.80,18.35,18.85,18.57,19.06,,18.85,,,55429,1048827.00,139,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,170.15,184.90,170.00,182.05,182.05,168.85,,181.95,,,1376858,244533128.00,15302,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,208.95,208.95,199.45,199.45,199.45,209.90,,192.45,,,45,9212.00,3,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6430.00,6430.45,6308.45,6328.75,6328.75,6415.20,,6326.85,,,1030,6553922.00,316,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,26.76,27.55,25.77,26.43,26.43,26.76,,26.43,,,101872,2694584.00,396,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,1038.95,1044.45,1024.20,1036.95,1039.15,1032.75,,1035.25,,,2338,2415906.00,312,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,26.84,28.20,26.77,27.97,27.97,26.56,,27.95,,,4081332,113361438.00,8179,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,3359.00,3582.00,3359.00,3525.00,3525.00,3352.00,,3525.00,,,22389,78575811.00,2160,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7055.00,7125.00,7039.00,7085.15,7085.15,7058.80,,7085.50,,,71544,506342810.00,10097,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,386.90,394.85,382.65,387.65,387.70,384.30,,387.75,,,97249,37734818.00,2542,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,699.90,699.95,685.00,690.40,690.35,695.25,,692.15,,,69989,48372229.00,3198,F1,1,,,,,
2024-01-25,2024-01-25,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1354.05,1382.00,1341.50,1345.55,1345.55,1352.75,,1345.30,,,5627,7646526.00,540,F1,1,,,,,
