Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-SEP-2026,20MICRONS,213.00,218.00,-0.0232,0.0287,0.0287,0.5483
01-SEP-2026,21STCENMGM,39.60,40.34,-0.0185,0.0198,0.0198,0.3783
01-SEP-2026,360ONE,1165.60,1174.98,-0.0080,0.0202,0.0202,0.3859
01-SEP-2026,3BBLACKBIO,1523.49,1447.48,0.0512,0.0321,0.0322,0.6152
01-SEP-2026,3IINFOLTD,22.67,23.02,-0.0153,0.0252,0.0252,0.4814
01-SEP-2026,3MINDIA,33314.50,33319.98,-0.0002,0.0177,0.0176,0.3362
01-SEP-2026,3PLAND,31.70,31.50,0.0063,0.0251,0.0250,0.4776
01-SEP-2026,500012,41.28,40.81,0.0115,0.0301,0.0300,0.5731
01-SEP-2026,500014,3.92,3.94,-0.0051,0.0276,0.0275,0.5254
01-SEP-2026,500016,7.32,7.32,0.0000,0.0313,0.0313,0.5980
01-SEP-2026,500028,25.21,26.14,-0.0362,0.0304,0.0304,0.5808
01-SEP-2026,500051,8.97,9.27,-0.0329,0.0234,0.0234,0.4471
01-SEP-2026,500058,11.94,12.12,-0.0150,0.0293,0.0292,0.5579
01-SEP-2026,500069,255.00,250.30,0.0186,0.0231,0.0230,0.4394
01-SEP-2026,500142,12.73,13.09,-0.0279,0.0392,0.0392,0.7489
01-SEP-2026,500143,1109.50,1123.05,-0.0121,0.0297,0.0297,0.5674
01-SEP-2026,500166,241.80,243.25,-0.0060,0.0225,0.0224,0.4280
01-SEP-2026,500170,23.34,23.45,-0.0047,0.0303,0.0302,0.5770
01-SEP-2026,500178,27.22,26.69,0.0197,0.0174,0.0174,0.3324
01-SEP-2026,500192,2.01,1.95,0.0303,0.0349,0.0349,0.6668
01-SEP-2026,500202,8.20,7.88,0.0398,0.0329,0.0330,0.6305
01-SEP-2026,500206,65.41,68.90,-0.0520,0.0340,0.0341,0.6515
01-SEP-2026,500213,297.65,300.90,-0.0109,0.0225,0.0225,0.4299
01-SEP-2026,500220,289.95,291.70,-0.0060,0.0338,0.0337,0.6438
01-SEP-2026,500236,85.89,90.41,-0.0513,0.1005,0.1004,1.9181
01-SEP-2026,500239,14.50,14.96,-0.0312,0.0297,0.0297,0.5674
01-SEP-2026,500240,224.15,232.35,-0.0359,0.0332,0.0332,0.6343
01-SEP-2026,500246,42.78,41.95,0.0196,0.0401,0.0400,0.7642
01-SEP-2026,500248,5.58,5.34,0.0440,0.0275,0.0276,0.5273
01-SEP-2026,500270,124.90,124.95,-0.0004,0.0205,0.0205,0.3917
01-SEP-2026,500277,5.81,6.20,-0.0650,0.0416,0.0418,0.7986
01-SEP-2026,500285,9.99,10.32,-0.0325,0.0341,0.0341,0.6515
01-SEP-2026,500298,678.35,699.55,-0.0308,0.0263,0.0263,0.5025
01-SEP-2026,500319,81.20,82.07,-0.0107,0.0275,0.0274,0.5235
01-SEP-2026,500322,116.45,122.55,-0.0511,0.0348,0.0349,0.6668
01-SEP-2026,500346,62.37,57.84,0.0754,0.0320,0.0323,0.6171
01-SEP-2026,500357,14.75,14.55,0.0137,0.0338,0.0338,0.6457
01-SEP-2026,500360,361.85,354.80,0.0197,0.0341,0.0340,0.6496
01-SEP-2026,500370,27.50,26.32,0.0439,0.0346,0.0347,0.6629
01-SEP-2026,500371,38.96,39.74,-0.0198,0.0318,0.0317,0.6056
01-SEP-2026,500388,95.00,95.00,0.0000,0.0329,0.0328,0.6266
01-SEP-2026,500399,263.85,258.75,0.0195,0.1283,0.1280,2.4454
01-SEP-2026,500421,19.66,19.84,-0.0091,0.0386,0.0385,0.7355
01-SEP-2026,500422,351.65,352.55,-0.0026,0.0341,0.0340,0.6496
01-SEP-2026,500426,1.44,1.46,-0.0138,0.0335,0.0334,0.6381
01-SEP-2026,500449,37.05,37.11,-0.0016,0.0320,0.0319,0.6094
01-SEP-2026,500450,469.85,469.85,0.0000,0.0320,0.0319,0.6094
01-SEP-2026,500458,29.20,29.20,0.0000,0.0343,0.0342,0.6534
01-SEP-2026,500500,14.28,14.42,-0.0098,0.0300,0.0299,0.5712
01-SEP-2026,501110,7.50,7.50,0.0000,0.0031,0.0031,0.0592
01-SEP-2026,501111,12.14,12.14,0.0000,0.0025,0.0025,0.0478
01-SEP-2026,501148,343.95,344.00,-0.0001,0.0147,0.0146,0.2789
01-SEP-2026,501151,7980.00,8400.00,-0.0513,0.0249,0.0251,0.4795
01-SEP-2026,501261,77.25,77.63,-0.0049,0.1570,0.1566,2.9918
01-SEP-2026,501270,15.40,15.10,0.0197,0.0205,0.0205,0.3917
01-SEP-2026,501311,13.50,13.93,-0.0314,0.0294,0.0294,0.5617
01-SEP-2026,501351,92.00,88.53,0.0384,0.0276,0.0277,0.5292
01-SEP-2026,501370,141.80,145.00,-0.0223,0.0345,0.0345,0.6591
01-SEP-2026,501386,24.49,24.49,0.0000,0.0130,0.0129,0.2465
01-SEP-2026,501430,1545.00,1545.00,0.0000,0.0239,0.0238,0.4547
01-SEP-2026,501477,220.00,211.00,0.0418,0.0290,0.0291,0.5560
01-SEP-2026,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
01-SEP-2026,501700,6.71,6.32,0.0599,0.0305,0.0307,0.5865
01-SEP-2026,501833,21.75,22.50,-0.0339,0.0314,0.0314,0.5999
01-SEP-2026,501848,46.22,48.38,-0.0457,0.0345,0.0345,0.6591
01-SEP-2026,501945,5.79,6.05,-0.0439,0.0179,0.0181,0.3458
01-SEP-2026,502015,24.91,25.10,-0.0076,0.0318,0.0318,0.6075
01-SEP-2026,502250,463.90,488.30,-0.0513,0.0351,0.0352,0.6725
01-SEP-2026,502281,7.40,7.76,-0.0475,0.0400,0.0400,0.7642
01-SEP-2026,502294,35.79,39.22,-0.0915,0.0420,0.0424,0.8101
01-SEP-2026,502445,39.55,39.00,0.0140,0.0405,0.0404,0.7718
01-SEP-2026,502587,49.95,48.63,0.0268,0.0281,0.0281,0.5368
01-SEP-2026,502589,131.00,126.00,0.0389,0.0314,0.0314,0.5999
01-SEP-2026,502850,15.03,15.03,0.0000,0.0041,0.0041,0.0783
01-SEP-2026,502865,254.95,261.35,-0.0248,0.0286,0.0286,0.5464
01-SEP-2026,502873,99.00,101.85,-0.0284,0.0280,0.0280,0.5349
01-SEP-2026,502893,68.00,65.50,0.0375,0.0384,0.0384,0.7336
01-SEP-2026,502901,75.46,76.77,-0.0172,0.0238,0.0237,0.4528
01-SEP-2026,502933,100.15,104.27,-0.0403,0.0282,0.0283,0.5407
01-SEP-2026,503092,34.90,34.90,0.0000,0.0429,0.0428,0.8177
