Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
29-MAY-2025,20MICRONS,229.41,230.72,-0.0057,0.0327,0.0326,0.6228
29-MAY-2025,21STCENMGM,72.51,71.88,0.0087,0.0190,0.0189,0.3611
29-MAY-2025,360ONE,1025.05,1024.95,0.0001,0.0269,0.0268,0.5120
29-MAY-2025,3IINFOLTD,25.03,25.19,-0.0064,0.0311,0.0310,0.5923
29-MAY-2025,3MINDIA,28810.00,28935.00,-0.0043,0.0176,0.0176,0.3362
29-MAY-2025,3PLAND,48.78,51.60,-0.0562,0.0371,0.0372,0.7107
29-MAY-2025,500009,38.79,38.56,0.0059,0.0339,0.0338,0.6457
29-MAY-2025,500012,56.28,56.32,-0.0007,0.0270,0.0270,0.5158
29-MAY-2025,500014,5.46,5.21,0.0469,0.0286,0.0287,0.5483
29-MAY-2025,500016,10.59,11.00,-0.0380,0.0348,0.0349,0.6668
29-MAY-2025,500028,35.52,34.97,0.0156,0.0351,0.0350,0.6687
29-MAY-2025,500058,12.45,12.23,0.0178,0.0307,0.0306,0.5846
29-MAY-2025,500068,14121.10,14108.80,0.0009,0.0180,0.0179,0.3420
29-MAY-2025,500069,387.35,380.85,0.0169,0.0301,0.0301,0.5751
29-MAY-2025,500123,9504.35,9568.30,-0.0067,0.0240,0.0240,0.4585
29-MAY-2025,500142,11.84,12.45,-0.0502,0.0422,0.0423,0.8081
29-MAY-2025,500143,157.25,155.30,0.0125,0.0337,0.0336,0.6419
29-MAY-2025,500147,3208.35,2765.35,0.1486,0.0334,0.0349,0.6668
29-MAY-2025,500159,128.70,128.00,0.0055,0.0250,0.0250,0.4776
29-MAY-2025,500166,192.20,197.85,-0.0290,0.0273,0.0273,0.5216
29-MAY-2025,500168,936.50,935.80,0.0007,0.0135,0.0135,0.2579
29-MAY-2025,500170,26.40,27.07,-0.0251,0.0316,0.0316,0.6037
29-MAY-2025,500192,2.37,2.57,-0.0810,0.0289,0.0294,0.5617
29-MAY-2025,500202,10.24,10.24,0.0000,0.0444,0.0443,0.8464
29-MAY-2025,500206,84.69,85.45,-0.0089,0.0358,0.0357,0.6820
29-MAY-2025,500213,502.80,503.50,-0.0014,0.0297,0.0296,0.5655
29-MAY-2025,500220,201.50,205.40,-0.0192,0.0351,0.0351,0.6706
29-MAY-2025,500239,18.20,17.65,0.0307,0.0317,0.0317,0.6056
29-MAY-2025,500240,179.15,180.90,-0.0097,0.0288,0.0287,0.5483
29-MAY-2025,500245,566.70,571.75,-0.0089,0.0249,0.0249,0.4757
29-MAY-2025,500246,94.91,103.45,-0.0862,0.0445,0.0448,0.8559
29-MAY-2025,500264,129.05,130.25,-0.0093,0.0332,0.0331,0.6324
29-MAY-2025,500267,321.75,320.65,0.0034,0.0299,0.0298,0.5693
29-MAY-2025,500270,137.90,140.50,-0.0187,0.0260,0.0260,0.4967
29-MAY-2025,500277,7.81,8.36,-0.0681,0.0380,0.0382,0.7298
29-MAY-2025,500285,45.16,44.48,0.0152,0.0355,0.0354,0.6763
29-MAY-2025,500298,973.50,965.35,0.0084,0.0340,0.0339,0.6477
29-MAY-2025,500306,159.05,165.40,-0.0391,0.0375,0.0375,0.7164
29-MAY-2025,500307,524.55,524.50,0.0001,0.0132,0.0132,0.2522
29-MAY-2025,500319,97.59,98.01,-0.0043,0.0343,0.0342,0.6534
29-MAY-2025,500322,129.90,130.00,-0.0008,0.0307,0.0306,0.5846
29-MAY-2025,500346,53.75,54.70,-0.0175,0.0346,0.0346,0.6610
29-MAY-2025,500360,67.42,70.16,-0.0398,0.0351,0.0352,0.6725
29-MAY-2025,500365,32.93,32.89,0.0012,0.0320,0.0319,0.6094
29-MAY-2025,500370,43.11,44.80,-0.0385,0.0374,0.0374,0.7145
29-MAY-2025,500388,49.14,46.80,0.0488,0.0327,0.0328,0.6266
29-MAY-2025,500389,11.06,11.21,-0.0135,0.0261,0.0261,0.4986
29-MAY-2025,500414,260.85,269.55,-0.0328,0.0354,0.0354,0.6763
29-MAY-2025,500421,17.38,16.96,0.0245,0.0307,0.0307,0.5865
29-MAY-2025,500422,41.11,41.59,-0.0116,0.0400,0.0400,0.7642
29-MAY-2025,500426,2.85,2.89,-0.0139,0.0305,0.0304,0.5808
29-MAY-2025,500449,36.44,35.86,0.0160,0.0376,0.0375,0.7164
29-MAY-2025,500450,582.20,612.80,-0.0512,0.0278,0.0280,0.5349
29-MAY-2025,500458,24.00,24.60,-0.0247,0.0331,0.0331,0.6324
29-MAY-2025,500672,1063.65,1053.65,0.0094,0.0209,0.0208,0.3974
29-MAY-2025,501110,7.15,7.15,0.0000,0.0009,0.0009,0.0172
29-MAY-2025,501111,11.57,11.57,0.0000,0.0025,0.0025,0.0478
29-MAY-2025,501144,177.70,177.70,0.0000,0.0233,0.0233,0.4451
29-MAY-2025,501148,396.95,402.45,-0.0138,0.0158,0.0158,0.3019
29-MAY-2025,501261,431.90,431.90,0.0000,0.0087,0.0087,0.1662
29-MAY-2025,501270,1.34,1.34,0.0000,0.0012,0.0012,0.0229
29-MAY-2025,501298,6130.15,6061.00,0.0113,0.0285,0.0284,0.5426
29-MAY-2025,501311,12.07,12.70,-0.0509,0.0293,0.0295,0.5636
29-MAY-2025,501314,0.77,0.82,-0.0629,0.0430,0.0431,0.8234
29-MAY-2025,501351,96.57,91.98,0.0487,0.0266,0.0268,0.5120
29-MAY-2025,501370,138.65,142.00,-0.0239,0.0362,0.0361,0.6897
29-MAY-2025,501386,11.73,11.73,0.0000,0.0125,0.0125,0.2388
29-MAY-2025,501391,765.25,780.10,-0.0192,0.0365,0.0364,0.6954
29-MAY-2025,501421,4476.00,4711.55,-0.0513,0.0352,0.0353,0.6744
29-MAY-2025,501430,1813.00,1806.05,0.0038,0.0334,0.0333,0.6362
29-MAY-2025,501477,224.20,230.30,-0.0268,0.0318,0.0318,0.6075
29-MAY-2025,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
29-MAY-2025,501622,56.00,56.00,0.0000,0.0284,0.0283,0.5407
29-MAY-2025,501630,24.48,24.48,0.0000,0.0030,0.0030,0.0573
29-MAY-2025,501700,11.01,11.26,-0.0225,0.0309,0.0308,0.5884
29-MAY-2025,501833,26.71,27.36,-0.0240,0.0379,0.0379,0.7241
29-MAY-2025,501848,76.92,80.59,-0.0466,0.0346,0.0347,0.6629
29-MAY-2025,502015,35.60,34.78,0.0233,0.0396,0.0396,0.7566
29-MAY-2025,502133,67.00,67.49,-0.0073,0.0276,0.0276,0.5273
29-MAY-2025,502250,516.40,543.55,-0.0512,0.0312,0.0314,0.5999
29-MAY-2025,502281,13.72,13.57,0.0110,0.0326,0.0325,0.6209
29-MAY-2025,502294,41.30,42.00,-0.0168,0.0413,0.0412,0.7871
29-MAY-2025,502445,47.00,47.50,-0.0106,0.0333,0.0332,0.6343
29-MAY-2025,502587,81.98,81.26,0.0088,0.0268,0.0267,0.5101
29-MAY-2025,502589,138.40,138.40,0.0000,0.0341,0.0340,0.6496
29-MAY-2025,502850,13.65,13.65,0.0000,0.0057,0.0056,0.1070
29-MAY-2025,502865,390.00,385.10,0.0126,0.0328,0.0328,0.6266
29-MAY-2025,502873,114.54,113.31,0.0108,0.0334,0.0333,0.6362
29-MAY-2025,502893,96.94,86.36,0.1156,0.0421,0.0428,0.8177
29-MAY-2025,502901,79.72,79.08,0.0081,0.0279,0.0279,0.5330
29-MAY-2025,502933,173.95,169.95,0.0233,0.0309,0.0309,0.5903
29-MAY-2025,502958,6270.45,6020.00,0.0408,0.0224,0.0225,0.4299
29-MAY-2025,503092,35.64,35.64,0.0000,0.0463,0.0462,0.8826
29-MAY-2025,503127,4850.00,4850.00,0.0000,0.0306,0.0305,0.5827
29-MAY-2025,503229,208.00,210.45,-0.0117,0.0393,0.0392,0.7489
29-MAY-2025,503349,6599.00,6598.35,0.0001,0.0324,0.0323,0.6171
29-MAY-2025,503622,7.35,7.35,0.0000,0.0000,0.0000,0.0000
29-MAY-2025,503624,9.10,8.88,0.0245,0.0371,0.0371,0.7088
29-MAY-2025,503626,10.50,10.50,0.0000,0.0000,0.0000,0.0000
29-MAY-2025,503635,14.58,14.58,0.0000,0.0038,0.0037,0.0707
29-MAY-2025,503639,9.55,9.55,0.0000,0.0107,0.0106,0.2025
29-MAY-2025,503641,10.89,10.84,0.0046,0.0276,0.0275,0.5254
29-MAY-2025,503657,19.71,19.38,0.0169,0.0360,0.0360,0.6878
29-MAY-2025,503663,3.26,3.27,-0.0031,0.0351,0.0350,0.6687
29-MAY-2025,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
29-MAY-2025,503675,1.10,1.09,0.0091,0.0344,0.0343,0.6553
29-MAY-2025,503681,130380.90,131105.00,-0.0055,0.5512,0.5498,10.5039
29-MAY-2025,503685,23.77,22.64,0.0487,0.0389,0.0389,0.7432
29-MAY-2025,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
29-MAY-2025,503696,82.50,82.50,0.0000,0.0000,0.0000,0.0000
29-MAY-2025,503772,59.00,59.00,0.0000,0.0304,0.0303,0.5789
29-MAY-2025,503776,44.00,44.24,-0.0054,0.0372,0.0371,0.7088
29-MAY-2025,503804,330.10,329.45,0.0020,0.0203,0.0203,0.3878
29-MAY-2025,503816,62.74,64.02,-0.0202,0.0343,0.0343,0.6553
29-MAY-2025,503837,13.41,14.00,-0.0431,0.0342,0.0342,0.6534
29-MAY-2025,503863,11.28,11.28,0.0000,0.0284,0.0283,0.5407
29-MAY-2025,504000,92.07,90.91,0.0127,0.0338,0.0338,0.6457
29-MAY-2025,504028,125.00,124.75,0.0020,0.0284,0.0283,0.5407
29-MAY-2025,504076,112.19,106.85,0.0488,0.0372,0.0373,0.7126
29-MAY-2025,504080,1414.00,1400.00,0.0100,0.0388,0.0387,0.7394
29-MAY-2025,504084,1421.25,1393.40,0.0198,0.1612,0.1608,3.0721
29-MAY-2025,504092,190.30,185.15,0.0274,0.0315,0.0315,0.6018
29-MAY-2025,504093,397.85,399.15,-0.0033,0.0251,0.0250,0.4776
29-MAY-2025,504132,735.35,757.50,-0.0297,0.0292,0.0292,0.5579
29-MAY-2025,504176,697.55,714.25,-0.0237,0.0337,0.0336,0.6419
29-MAY-2025,504180,66.22,67.21,-0.0148,0.0298,0.0297,0.5674
29-MAY-2025,504240,831.40,791.85,0.0487,0.0338,0.0339,0.6477
29-MAY-2025,504258,953.40,950.05,0.0035,0.0303,0.0302,0.5770
29-MAY-2025,504273,24.80,23.62,0.0487,0.0304,0.0305,0.5827
29-MAY-2025,504340,6.25,6.37,-0.0190,0.0174,0.0174,0.3324
29-MAY-2025,504346,1309.40,1283.75,0.0198,0.0182,0.0182,0.3477
29-MAY-2025,504351,1.61,1.64,-0.0185,0.0259,0.0259,0.4948
29-MAY-2025,504356,9.67,9.21,0.0487,0.0466,0.0466,0.8903
29-MAY-2025,504365,4.11,4.11,0.0000,0.0009,0.0009,0.0172
29-MAY-2025,504369,0.53,0.54,-0.0187,0.0130,0.0131,0.2503
29-MAY-2025,504375,125.50,125.50,0.0000,0.0097,0.0096,0.1834
29-MAY-2025,504378,4.06,4.02,0.0099,0.0332,0.0331,0.6324
29-MAY-2025,504380,68.32,71.99,-0.0523,0.0289,0.0291,0.5560
29-MAY-2025,504392,25.92,26.42,-0.0191,0.0370,0.0369,0.7050
29-MAY-2025,504398,53.47,53.47,0.0000,0.0138,0.0137,0.2617
29-MAY-2025,504605,3444.15,3127.35,0.0965,0.0313,0.0319,0.6094
29-MAY-2025,504646,343.80,339.95,0.0113,0.0325,0.0324,0.6190
29-MAY-2025,504648,63.18,64.46,-0.0201,0.0376,0.0376,0.7183
29-MAY-2025,504731,150.50,151.75,-0.0083,0.0316,0.0315,0.6018
29-MAY-2025,504746,556.90,546.00,0.0198,0.0268,0.0268,0.5120
29-MAY-2025,504786,917.75,959.00,-0.0440,0.0307,0.0307,0.5865
29-MAY-2025,504810,65.00,68.00,-0.0451,0.0432,0.0433,0.8272
29-MAY-2025,504840,1667.00,1699.00,-0.0190,0.0231,0.0230,0.4394
29-MAY-2025,504882,2987.50,3108.80,-0.0398,0.0272,0.0272,0.5197
29-MAY-2025,504903,30.87,31.10,-0.0074,0.0322,0.0321,0.6133
29-MAY-2025,504908,430.00,402.35,0.0665,0.0360,0.0363,0.6935
29-MAY-2025,504959,2397.80,2384.05,0.0058,0.0225,0.0225,0.4299
29-MAY-2025,504988,1200.00,1230.00,-0.0247,0.0302,0.0301,0.5751
29-MAY-2025,504998,0.44,0.44,0.0000,0.0189,0.0189,0.3611
29-MAY-2025,505036,1831.95,1869.30,-0.0202,0.0323,0.0322,0.6152
29-MAY-2025,505163,1154.50,1180.90,-0.0226,0.0365,0.0364,0.6954
29-MAY-2025,505212,161.00,163.30,-0.0142,0.0344,0.0343,0.6553
29-MAY-2025,505216,2461.00,2421.35,0.0162,0.0291,0.0291,0.5560
29-MAY-2025,505232,1170.00,1145.35,0.0213,0.0287,0.0287,0.5483
29-MAY-2025,505250,85.26,85.13,0.0015,0.0365,0.0364,0.6954
29-MAY-2025,505285,999.60,980.00,0.0198,0.0141,0.0142,0.2713
29-MAY-2025,505299,704.05,704.65,-0.0009,0.0386,0.0385,0.7355
29-MAY-2025,505302,2185.10,2155.00,0.0139,0.0336,0.0335,0.6400
29-MAY-2025,505336,1.77,1.86,-0.0496,0.1148,0.1145,2.1875
29-MAY-2025,505343,0.71,0.72,-0.0140,0.0298,0.0298,0.5693
29-MAY-2025,505358,211.70,210.80,0.0043,0.0287,0.0286,0.5464
29-MAY-2025,505502,1.23,1.25,-0.0161,0.0200,0.0200,0.3821
29-MAY-2025,505504,653.55,640.75,0.0198,0.0176,0.0176,0.3362
29-MAY-2025,505515,12.70,13.14,-0.0341,0.0349,0.0349,0.6668
29-MAY-2025,505520,27.64,27.64,0.0000,0.0166,0.0166,0.3171
