Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-FEB-2026,SILVERBEES,243.82,243.70,0.0005,0.0337,0.0336,0.6419
10-FEB-2026,SILVERBETA,246.31,246.16,0.0006,0.0335,0.0334,0.6381
10-FEB-2026,SILVERBND,255.12,255.18,-0.0002,0.0306,0.0305,0.5827
10-FEB-2026,SILVERCASE,25.87,25.80,0.0027,0.0323,0.0322,0.6152
10-FEB-2026,SILVERIETF,253.98,253.72,0.0010,0.0324,0.0323,0.6171
10-FEB-2026,SILVERTUC,1326.35,1377.50,-0.0378,0.0272,0.0272,0.5197
10-FEB-2026,SIMBHALS,9.01,8.89,0.0134,0.0273,0.0273,0.5216
10-FEB-2026,SIMPLEXINF,235.35,243.20,-0.0328,0.0297,0.0297,0.5674
10-FEB-2026,SINCLAIR,78.87,77.82,0.0134,0.0265,0.0265,0.5063
10-FEB-2026,SINDHUTRAD,26.93,26.02,0.0344,0.0363,0.0363,0.6935
10-FEB-2026,SINTERCOM,93.74,96.74,-0.0315,0.0253,0.0254,0.4853
10-FEB-2026,SIRCA,480.40,469.10,0.0238,0.0205,0.0205,0.3917
10-FEB-2026,SIS,348.35,345.60,0.0079,0.0163,0.0162,0.3095
10-FEB-2026,SITAL,74.09,74.10,-0.0001,0.0009,0.0009,0.0172
10-FEB-2026,SITINET,0.38,0.40,-0.0513,0.0540,0.0540,1.0317
10-FEB-2026,SIYSIL,577.55,581.85,-0.0074,0.0285,0.0285,0.5445
10-FEB-2026,SJS,1790.30,1822.90,-0.0180,0.0250,0.0250,0.4776
10-FEB-2026,SJVN,72.80,73.31,-0.0070,0.0241,0.0240,0.4585
10-FEB-2026,SKFINDIA,1737.35,1748.90,-0.0066,0.0086,0.0086,0.1643
10-FEB-2026,SKFINDUS,2487.30,2474.60,0.0051,0.0098,0.0098,0.1872
10-FEB-2026,SKIPPER,400.85,407.20,-0.0157,0.0298,0.0297,0.5674
10-FEB-2026,SKJPL,10.00,10.00,0.0000,0.0000,0.0000,0.0000
10-FEB-2026,SKMEGGPROD,189.05,193.50,-0.0233,0.0310,0.0310,0.5923
10-FEB-2026,SKYGOLD,328.80,349.65,-0.0615,0.0304,0.0307,0.5865
10-FEB-2026,SMALL250,16.35,16.29,0.0037,0.0058,0.0058,0.1108
10-FEB-2026,SMALLADD,16.37,16.24,0.0080,0.0049,0.0050,0.0955
10-FEB-2026,SMALLCAP,43.17,43.13,0.0009,0.0113,0.0113,0.2159
10-FEB-2026,SMARTLINK,132.00,125.85,0.0477,0.0249,0.0251,0.4795
10-FEB-2026,SMARTWORKS,466.60,465.05,0.0033,0.0148,0.0147,0.2808
10-FEB-2026,SMCGLOBAL,84.10,85.63,-0.0180,0.0279,0.0278,0.5311
10-FEB-2026,SML100CASE,9.88,9.82,0.0061,0.0063,0.0063,0.1204
10-FEB-2026,SMLMAH,4330.65,3936.90,0.0953,0.0335,0.0341,0.6515
10-FEB-2026,SMLT,79.69,74.23,0.0710,0.0298,0.0302,0.5770
10-FEB-2026,SMMIL,2.25,2.25,0.0000,0.0000,0.0000,0.0000
10-FEB-2026,SMSPHARMA,318.50,320.20,-0.0053,0.0291,0.0290,0.5540
10-FEB-2026,SNOWMAN,44.68,44.87,-0.0042,0.0239,0.0239,0.4566
10-FEB-2026,SNXT30BEES,41.21,40.97,0.0058,0.0057,0.0057,0.1089
10-FEB-2026,SNXT50BETA,93.87,93.24,0.0067,0.0107,0.0107,0.2044
10-FEB-2026,SOBHA,1533.70,1548.95,-0.0099,0.0246,0.0246,0.4700
10-FEB-2026,SOFTTECH,306.25,294.85,0.0379,0.0283,0.0284,0.5426
10-FEB-2026,SOLARA,490.25,478.65,0.0239,0.0296,0.0296,0.5655
10-FEB-2026,SOLARINDS,13423.00,13388.95,0.0025,0.0215,0.0215,0.4108
10-FEB-2026,SOLARWORLD,231.55,228.95,0.0113,0.0171,0.0171,0.3267
10-FEB-2026,SOLEX,1108.30,1042.95,0.0608,0.0217,0.0221,0.4222
10-FEB-2026,SOMANYCERA,412.35,400.10,0.0302,0.0212,0.0212,0.4050
10-FEB-2026,SOMATEX,116.75,113.85,0.0252,0.0378,0.0378,0.7222
10-FEB-2026,SOMICONVEY,118.36,119.72,-0.0114,0.0377,0.0376,0.7183
10-FEB-2026,SONACOMS,531.05,530.60,0.0008,0.0208,0.0207,0.3955
10-FEB-2026,SONAMLTD,41.05,42.39,-0.0321,0.0307,0.0307,0.5865
10-FEB-2026,SONATSOFTW,318.85,315.15,0.0117,0.0260,0.0260,0.4967
10-FEB-2026,SOTL,369.45,359.45,0.0274,0.0206,0.0206,0.3936
10-FEB-2026,SOUTHBANK,41.30,41.43,-0.0031,0.0262,0.0262,0.5006
10-FEB-2026,SOUTHWEST,210.65,221.55,-0.0505,0.0323,0.0324,0.6190
10-FEB-2026,SPAL,759.55,786.15,-0.0344,0.0313,0.0313,0.5980
10-FEB-2026,SPANDANA,266.35,259.30,0.0268,0.0283,0.0283,0.5407
10-FEB-2026,SPANGLE,10.00,10.00,0.0000,0.0000,0.0000,0.0000
10-FEB-2026,SPARC,140.55,138.00,0.0183,0.0295,0.0294,0.5617
10-FEB-2026,SPCENET,5.14,5.66,-0.0964,0.0355,0.0361,0.6897
10-FEB-2026,SPECIALITY,110.95,111.25,-0.0027,0.0246,0.0245,0.4681
10-FEB-2026,SPECTRUM,1290.70,1301.20,-0.0081,0.0240,0.0239,0.4566
10-FEB-2026,SPENCERS,39.12,38.05,0.0277,0.0302,0.0302,0.5770
10-FEB-2026,SPIC,73.67,73.52,0.0020,0.0261,0.0260,0.4967
10-FEB-2026,SPLIL,30.30,30.91,-0.0199,0.0256,0.0256,0.4891
10-FEB-2026,SPLPETRO,646.65,639.45,0.0112,0.0241,0.0240,0.4585
10-FEB-2026,SPMLINFRA,195.95,187.30,0.0451,0.0335,0.0336,0.6419
10-FEB-2026,SPORTKING,108.56,113.54,-0.0449,0.0294,0.0295,0.5636
10-FEB-2026,SRD,55.02,55.21,-0.0034,0.0249,0.0249,0.4757
10-FEB-2026,SREEL,215.10,211.40,0.0174,0.0181,0.0181,0.3458
10-FEB-2026,SRF,2961.90,2986.70,-0.0083,0.0171,0.0171,0.3267
10-FEB-2026,SRGHFL,273.15,276.55,-0.0124,0.0231,0.0230,0.4394
10-FEB-2026,SRHHYPOLTD,497.70,479.55,0.0371,0.0260,0.0261,0.4986
10-FEB-2026,SRM,422.05,428.10,-0.0142,0.0302,0.0301,0.5751
10-FEB-2026,SSDL,75.67,76.26,-0.0078,0.0189,0.0188,0.3592
10-FEB-2026,SSWL,228.05,223.90,0.0184,0.0222,0.0222,0.4241
10-FEB-2026,STALLION,187.85,184.10,0.0202,0.0404,0.0403,0.7699
10-FEB-2026,STANLEY,194.00,179.30,0.0788,0.0196,0.0204,0.3897
10-FEB-2026,STAR,882.55,886.10,-0.0040,0.0284,0.0283,0.5407
10-FEB-2026,STARCEMENT,218.55,221.55,-0.0136,0.0197,0.0197,0.3764
10-FEB-2026,STARHEALTH,468.75,463.25,0.0118,0.0162,0.0162,0.3095
10-FEB-2026,STARPAPER,146.10,145.75,0.0024,0.0171,0.0171,0.3267
10-FEB-2026,STARTECK,279.85,284.10,-0.0151,0.0238,0.0237,0.4528
10-FEB-2026,STCINDIA,123.90,123.80,0.0008,0.0314,0.0314,0.5999
10-FEB-2026,STCL,9.25,9.25,0.0000,0.0000,0.0000,0.0000
10-FEB-2026,STEADFAST,14.90,14.90,0.0000,0.0000,0.0000,0.0000
10-FEB-2026,STEELCAS,231.95,235.45,-0.0150,0.0296,0.0295,0.5636
10-FEB-2026,STEELCITY,84.20,84.18,0.0002,0.0217,0.0216,0.4127
10-FEB-2026,STEELXIND,8.12,8.03,0.0111,0.0257,0.0256,0.4891
10-FEB-2026,STEL,487.10,476.35,0.0223,0.0321,0.0320,0.6114
10-FEB-2026,STERTOOLS,238.55,237.95,0.0025,0.0285,0.0285,0.5445
