"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"EPIGRAL","Epigral Limited","EQ","Dividend - Rs 5 Per Share","10","01-Jun-2026","01-Jun-2026","-","-"
"COLPAL","Colgate Palmolive (India) Limited","EQ","Interim Dividend - Rs 24 Per Share","1","01-Jun-2026","01-Jun-2026","-","-"
