Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
21-MAY-2026,20MICRONS,174.96,179.46,-0.0254,0.0293,0.0293,0.5598
21-MAY-2026,21STCENMGM,31.90,31.49,0.0129,0.0199,0.0199,0.3802
21-MAY-2026,360ONE,1111.80,1107.40,0.0040,0.0216,0.0215,0.4108
21-MAY-2026,3BBLACKBIO,1202.30,1263.00,-0.0493,0.0335,0.0336,0.6419
21-MAY-2026,3IINFOLTD,17.58,17.64,-0.0034,0.0248,0.0247,0.4719
21-MAY-2026,3MINDIA,32200.00,31140.00,0.0335,0.0186,0.0187,0.3573
21-MAY-2026,3PLAND,31.66,32.49,-0.0259,0.0283,0.0283,0.5407
21-MAY-2026,500012,37.90,37.82,0.0021,0.0272,0.0271,0.5177
21-MAY-2026,500014,4.11,4.10,0.0024,0.0295,0.0295,0.5636
21-MAY-2026,500016,8.48,8.45,0.0035,0.0334,0.0333,0.6362
21-MAY-2026,500028,30.55,31.38,-0.0268,0.0308,0.0308,0.5884
21-MAY-2026,500051,5.35,5.25,0.0189,0.0226,0.0226,0.4318
21-MAY-2026,500058,13.02,12.99,0.0023,0.0313,0.0312,0.5961
21-MAY-2026,500069,274.70,269.00,0.0210,0.0243,0.0243,0.4643
21-MAY-2026,500142,11.46,11.59,-0.0113,0.0416,0.0415,0.7929
21-MAY-2026,500143,759.00,745.00,0.0186,0.0343,0.0342,0.6534
21-MAY-2026,500166,174.90,177.00,-0.0119,0.0220,0.0220,0.4203
21-MAY-2026,500170,24.57,26.23,-0.0654,0.0307,0.0310,0.5923
21-MAY-2026,500192,1.83,1.86,-0.0163,0.0329,0.0329,0.6286
21-MAY-2026,500202,7.65,7.65,0.0000,0.0332,0.0331,0.6324
21-MAY-2026,500206,67.70,64.83,0.0433,0.0348,0.0349,0.6668
21-MAY-2026,500213,324.05,315.45,0.0269,0.0250,0.0250,0.4776
21-MAY-2026,500220,154.10,158.70,-0.0294,0.0298,0.0298,0.5693
21-MAY-2026,500239,15.36,15.94,-0.0371,0.0319,0.0319,0.6094
21-MAY-2026,500240,223.95,225.30,-0.0060,0.0318,0.0317,0.6056
21-MAY-2026,500246,89.76,85.49,0.0487,0.0426,0.0427,0.8158
21-MAY-2026,500248,5.47,5.21,0.0487,0.0261,0.0263,0.5025
21-MAY-2026,500270,126.00,124.30,0.0136,0.0226,0.0225,0.4299
21-MAY-2026,500277,6.54,6.50,0.0061,0.0415,0.0414,0.7909
21-MAY-2026,500285,12.82,12.92,-0.0078,0.0371,0.0370,0.7069
21-MAY-2026,500298,599.90,601.35,-0.0024,0.0289,0.0288,0.5502
21-MAY-2026,500319,72.99,71.42,0.0217,0.0277,0.0277,0.5292
21-MAY-2026,500322,114.90,118.00,-0.0266,0.0346,0.0346,0.6610
21-MAY-2026,500346,50.52,50.72,-0.0040,0.0339,0.0338,0.6457
21-MAY-2026,500357,16.25,16.37,-0.0074,0.0335,0.0335,0.6400
21-MAY-2026,500360,181.50,187.40,-0.0320,0.0351,0.0351,0.6706
21-MAY-2026,500370,29.01,30.51,-0.0504,0.0359,0.0360,0.6878
21-MAY-2026,500371,40.46,39.67,0.0197,0.0316,0.0316,0.6037
21-MAY-2026,500388,122.00,122.00,0.0000,0.0329,0.0328,0.6266
21-MAY-2026,500389,6.62,6.61,0.0015,0.0327,0.0326,0.6228
21-MAY-2026,500421,20.98,17.91,0.1582,0.0325,0.0343,0.6553
21-MAY-2026,500422,175.65,167.30,0.0487,0.0358,0.0358,0.6840
21-MAY-2026,500426,1.75,1.65,0.0588,0.0362,0.0363,0.6935
21-MAY-2026,500449,36.01,35.31,0.0196,0.0335,0.0334,0.6381
21-MAY-2026,500450,524.00,499.50,0.0479,0.0331,0.0332,0.6343
21-MAY-2026,500458,30.00,30.44,-0.0146,0.0378,0.0377,0.7203
21-MAY-2026,500500,17.07,16.83,0.0142,0.0346,0.0345,0.6591
21-MAY-2026,501110,7.15,7.15,0.0000,0.0005,0.0005,0.0096
21-MAY-2026,501111,12.14,12.14,0.0000,0.0030,0.0030,0.0573
21-MAY-2026,501148,341.20,334.55,0.0197,0.0152,0.0152,0.2904
21-MAY-2026,501151,10110.25,10316.55,-0.0202,0.0236,0.0236,0.4509
21-MAY-2026,501270,2.45,2.34,0.0459,0.0120,0.0124,0.2369
21-MAY-2026,501311,21.52,21.42,0.0047,0.0316,0.0315,0.6018
21-MAY-2026,501314,0.69,0.68,0.0146,0.0383,0.0382,0.7298
21-MAY-2026,501351,97.21,97.21,0.0000,0.0303,0.0303,0.5789
21-MAY-2026,501370,131.90,122.70,0.0723,0.0352,0.0355,0.6782
21-MAY-2026,501386,20.17,20.17,0.0000,0.0136,0.0136,0.2598
21-MAY-2026,501391,555.80,561.00,-0.0093,0.0306,0.0305,0.5827
21-MAY-2026,501430,1636.40,1640.90,-0.0027,0.0263,0.0262,0.5006
21-MAY-2026,501477,224.95,228.00,-0.0135,0.0309,0.0308,0.5884
21-MAY-2026,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
21-MAY-2026,501622,71.11,67.73,0.0487,0.0277,0.0278,0.5311
21-MAY-2026,501630,24.48,24.48,0.0000,0.0016,0.0016,0.0306
21-MAY-2026,501700,7.21,7.51,-0.0408,0.0316,0.0317,0.6056
21-MAY-2026,501833,24.64,25.01,-0.0149,0.0328,0.0327,0.6247
21-MAY-2026,501848,42.97,41.58,0.0329,0.0368,0.0368,0.7031
21-MAY-2026,501945,8.95,8.79,0.0180,0.0145,0.0146,0.2789
21-MAY-2026,502015,23.82,24.07,-0.0104,0.0329,0.0329,0.6286
21-MAY-2026,502250,672.60,672.60,0.0000,0.0319,0.0319,0.6094
21-MAY-2026,502281,6.30,6.45,-0.0235,0.0367,0.0367,0.7012
21-MAY-2026,502294,40.20,40.20,0.0000,0.0441,0.0440,0.8406
21-MAY-2026,502445,42.95,42.77,0.0042,0.0428,0.0427,0.8158
