"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"679GS2027","GOVERNMENT OF INDIA","GS","Interest Payment","100","14-Nov-2024","14-Nov-2024","-","-"
"JTLIND","JTL INDUSTRIES LIMITED","EQ","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share","1","14-Nov-2024","15-Nov-2024","-","-"
"IRCTC","Indian Railway Catering And Tourism Corporation Limited","EQ","Interim Dividend - Rs 4 Per Share","2","14-Nov-2024","14-Nov-2024","-","-"
"KPIGREEN","KPI Green Energy Limited","EQ","Interim Dividend - Rs 0.20 Per Share","5","14-Nov-2024","14-Nov-2024","-","-"
"POWERGRID","Power Grid Corporation of India Limited","EQ","Interim Dividend - Rs 4.50 Per Share","10","14-Nov-2024","14-Nov-2024","-","-"
"SEITINVIT","Sustainable Energy Infra Trust","IV","Distribution - Rs 2.10184 Per Unit Consisting Of Rs 2.10184 Per Unit Of Interest","100","14-Nov-2024","14-Nov-2024","-","-"
"IMFA","Indian Metals & Ferro Alloys Limited","EQ","Interim Dividend - Rs 10 Per Share","10","14-Nov-2024","15-Nov-2024","-","-"
"OIL","Oil India Limited","EQ","Interim Dividend - Rs 3 Per Share","10","14-Nov-2024","15-Nov-2024","-","-"
"PAGEIND","Page Industries Limited","EQ","Interim Dividend - Rs 250 Per Share","10","14-Nov-2024","16-Nov-2024","-","-"
"ARE&M","Amara Raja Energy & Mobility Limited","EQ","Interim Dividend - Rs 5.30 Per Share","1","14-Nov-2024","14-Nov-2024","-","-"
"ASTRAL","Astral Limited","EQ","Interim Dividend - Rs 1.50 Per Share","1","14-Nov-2024","15-Nov-2024","-","-"
"CONCOR","Container Corporation of India Limited","EQ","Interim Dividend - Rs 3.25 Per Share","5","14-Nov-2024","15-Nov-2024","-","-"
"NHIT","National Highways Infra Trust","IV","Distribution - Rs 1.829 Per Unit Consisting Of Rs 1.806 As Interest / Re 0.023 Per Unit As Other Income","101","14-Nov-2024","15-Nov-2024","-","-"
"RITES","RITES Limited","EQ","Interim Dividend - Rs 1.75 Per Share","10","14-Nov-2024","15-Nov-2024","-","-"
"VIVIDHA","Visagar Polytex Limited","EQ","Extra Ordinary General Meeting","1","14-Nov-2024","-","18-Nov-2024","22-Nov-2024"
"APTUS","Aptus Value Housing Finance India Limited","EQ","Interim Dividend - Rs 2 Per Share","2","14-Nov-2024","15-Nov-2024","-","-"
"HMT","HMT Limited","EQ","Annual General Meeting","10","14-Nov-2024","-","16-Nov-2024","22-Nov-2024"
