"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"AMJLAND","Amj Land Holdings Limited","EQ","Annual General Meeting/Dividend - Rs 0.20 Per Share","2","29-Aug-2024","-","30-Aug-2024","06-Sep-2024"
"CLEAN","Clean Science and Technology Limited","EQ","Annual General Meeting/Dividend - Rs 3 Per Share","1","29-Aug-2024","-","30-Aug-2024","05-Sep-2024"
"HONDAPOWER","Honda India Power Products Limited","EQ","Annual General Meeting/Dividend - Rs 17.5 Per Share","10","29-Aug-2024","-","30-Aug-2024","05-Sep-2024"
"IGPL","IG Petrochemicals Limited","EQ","Annual General Meeting/Dividend - Rs 7.50 Per Share","10","29-Aug-2024","-","30-Aug-2024","03-Sep-2024"
"INDGN","Indegene Limited","EQ","Annual General Meeting","2","29-Aug-2024","-","30-Aug-2024","06-Sep-2024"
"JAMNAAUTO","Jamna Auto Industries Limited","EQ","Annual General Meeting/Dividend - Rs 1.30 Per Share","1","29-Aug-2024","-","30-Aug-2024","05-Sep-2024"
"SHREERAMA","Shree Rama Multi-Tech Limited","EQ","Annual General Meeting","5","29-Aug-2024","-","30-Aug-2024","05-Sep-2024"
"DIGIDRIVE","Digidrive Distributors Limited","EQ","Annual General Meeting","10","29-Aug-2024","-","30-Aug-2024","06-Sep-2024"
"DYNAMATECH","Dynamatic Technologies Limited","EQ","Annual General Meeting","10","29-Aug-2024","-","30-Aug-2024","05-Sep-2024"
"MEDICO","Medico Remedies Limited","EQ","Annual General Meeting","2","29-Aug-2024","-","30-Aug-2024","05-Sep-2024"
"NIRAJISPAT","Niraj Ispat Industries Limited","EQ","Annual General Meeting","10","29-Aug-2024","-","30-Aug-2024","08-Sep-2024"
"RADIANTCMS","Radiant Cash Management Services Limited","EQ","Dividend - Rs 2.50 Per Share","1","29-Aug-2024","29-Aug-2024","-","-"
"SCPL","Sheetal Cool Products Limited","EQ","Annual General Meeting","10","29-Aug-2024","-","30-Aug-2024","05-Sep-2024"
"PDMJEPAPER","Pudumjee Paper Products Limited","EQ","Annual General Meeting/Dividend - Rs  0.60 Per Share","1","29-Aug-2024","-","30-Aug-2024","06-Sep-2024"
