"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"REPRO","Repro India Limited","EQ","Annual General Meeting","10","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"SAHYADRI","Sahyadri Industries Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","10","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"SHAREINDIA","Share India Securities Limited","EQ","Interim Dividend - Rs 0.40 Per Share","2","02-Aug-2024","02-Aug-2024","-","-"
"SHAREINDIA","Share India Securities Limited","EQ","Dividend - Rs 0.20 Per Sh","2","02-Aug-2024","02-Aug-2024","-","-"
"SUPERSPIN","Super Spinning Mills Limited","EQ","Annual General Meeting","1","02-Aug-2024","-","04-Aug-2024","10-Aug-2024"
"TVSELECT","TVS Electronics Limited","EQ","Dividend - Re 1 Per Share","10","02-Aug-2024","03-Aug-2024","-","-"
"VEDL","Vedanta Limited","EQ","Interim Dividend - Rs 4 Per Share","1","02-Aug-2024","03-Aug-2024","-","-"
"ADSL","Allied Digital Services Limited","EQ","Dividend - Rs 1.50 Per Share","5","02-Aug-2024","02-Aug-2024","-","-"
"ADSL","Allied Digital Services Limited","EQ","Annual General Meeting","5","02-Aug-2024","-","03-Aug-2024","08-Aug-2024"
"ALBERTDAVD","Albert David Limited","EQ","Annual General Meeting","10","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"APCL","Anjani Portland Cement Limited","EQ","Annual General Meeting","10","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"AVTNPL","AVT Natural Products Limited","EQ","Annual General Meeting/Dividend - Re 0.50 Per Share","1","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"BHAGCHEM","Bhagiradha Chemicals & Industries Limited","EQ","Annual General Meeting/Dividend - Re 0.10 Per Share","1","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"ALBERTDAVD","Albert David Limited","EQ","Dividend - Rs 11.50 Per Share","10","02-Aug-2024","02-Aug-2024","-","-"
