"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"824GS2027","GOVERNMENT OF INDIA","GS","Interest Payment","100","14-Feb-2025","14-Feb-2025","-","-"
"TARIL","Transformers And Rectifiers (India) Limited","EQ","Bonus 1:1","1","14-Feb-2025","14-Feb-2025","-","-"
"AARTIPHARM","Aarti Pharmalabs Limited","EQ","Interim Dividend - Rs 2.50 Per Share","5","14-Feb-2025","14-Feb-2025","-","-"
"ADVANIHOTR","Advani Hotels & Resorts (India) Limited","EQ","Interim Dividend - Re 1 Per Share","2","14-Feb-2025","14-Feb-2025","-","-"
"ALKEM","Alkem Laboratories Limited","EQ","Interim Dividend - Rs 37 Per Share","2","14-Feb-2025","14-Feb-2025","-","-"
"APOLLOHOSP","Apollo Hospitals Enterprise Limited","EQ","Interim Dividend - Rs 9 Per Share","5","14-Feb-2025","15-Feb-2025","-","-"
"BANCOINDIA","Banco Products (I) Limited","EQ","Interim Dividend - Rs 11 Per Share","2","14-Feb-2025","14-Feb-2025","-","-"
"BDL","Bharat Dynamics Limited","EQ","Interim Dividend - Rs 4 Per Share","5","14-Feb-2025","14-Feb-2025","-","-"
"BEML","BEML Limited","EQ","Interim Dividend - Rs 5 Per Share","10","14-Feb-2025","14-Feb-2025","-","-"
"CUMMINSIND","Cummins India Limited","EQ","Interim Dividend - Rs 18 Per Share","2","14-Feb-2025","14-Feb-2025","-","-"
"ENGINERSIN","Engineers India Limited","EQ","Interim Dividend - Rs 2 Per Share","5","14-Feb-2025","14-Feb-2025","-","-"
"ESCORTS","Escorts Kubota Limited","EQ","Interim Dividend - Rs 10 Per Share","10","14-Feb-2025","14-Feb-2025","-","-"
"GOLDIAM","Goldiam International Limited","EQ","Interim Dividend - Re 1 Per Share","2","14-Feb-2025","14-Feb-2025","-","-"
"GULFOILLUB","Gulf Oil Lubricants India Limited","EQ","Interim Dividend - Rs 20 Per Share","2","14-Feb-2025","14-Feb-2025","-","-"
"MOIL","MOIL Limited","EQ","Interim Dividend - Rs 4.02 Per Share","10","14-Feb-2025","15-Feb-2025","-","-"
"MRF","MRF Limited","EQ","Interim Dividend - Rs 3 Per Share","10","14-Feb-2025","14-Feb-2025","-","-"
"MSTCLTD","Mstc Limited","EQ","Interim Dividend - Rs 32 Per Share","10","14-Feb-2025","14-Feb-2025","-","-"
"NATIONALUM","National Aluminium Company Limited","EQ","Interim Dividend - Rs 4 Per Share","5","14-Feb-2025","14-Feb-2025","-","-"
"PIIND","PI Industries Limited","EQ","Interim Dividend - Rs 6 Per Share","1","14-Feb-2025","14-Feb-2025","-","-"
"PREMIERENE","Premier Energies Limited","EQ","Interim Dividend - Re 0.50 Per Share","1","14-Feb-2025","14-Feb-2025","-","-"
"RECLTD","REC Limited","EQ","Interim Dividend - Rs 4.30 Per Share","10","14-Feb-2025","14-Feb-2025","-","-"
"SAREGAMA","Saregama India Limited","EQ","Interim Dividend - Rs 4.50 Per Share","1","14-Feb-2025","14-Feb-2025","-","-"
"TEMBO","Tembo Global Industries Limited","EQ","Interim Dividend - Re 1 Per Share","10","14-Feb-2025","14-Feb-2025","-","-"
"DHRUV","Dhruv Consultancy Services Limited","EQ","Interim Dividend - Re 0.10 Per Share","10","14-Feb-2025","14-Feb-2025","-","-"
"828GS2032","GOVERNMENT OF INDIA","GS","Interest Payment","100","14-Feb-2025","14-Feb-2025","-","-"
