"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SHRADHA","Shradha Infraprojects Limited","EQ","Extra Ordinary General Meeting","2","21-Jan-2025","-","22-Jan-2025","30-Jan-2025"
"ANGELONE","Angel One Limited","EQ","Interim Dividend - Rs 11 Per Share","10","21-Jan-2025","21-Jan-2025","-","-"
"SVLL","Shree Vasu Logistics Limited","EQ","Extra Ordinary General Meeting","10","21-Jan-2025","-","22-Jan-2025","28-Jan-2025"
