"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"FCL","Fineotex Chemical Limited","EQ","Dividend - Re 0.40 Per Share","2","03-Sep-2024","03-Sep-2024","-","-"
"SUZLON","Suzlon Energy Limited","EQ","Annual General Meeting","2","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"NUCLEUS","Nucleus Software Exports Limited","EQ","Buy Back","10","03-Sep-2024","03-Sep-2024","-","-"
"KTKBANK","The Karnataka Bank Limited","EQ","Dividend - Rs 5.50 Per Share","10","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"DEEPAKFERT","Deepak Fertilizers and Petrochemicals Corporation Limited","EQ","Annual General Meeting/Dividend - Rs 8.50 Per Share","10","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"GANECOS","Ganesha Ecosphere Limited","EQ","Annual General Meeting/Dividend - Rs 3 Per Share","10","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"IONEXCHANG","ION Exchange (India) Limited","EQ","Annual General Meeting/Dividend - Rs 1.50 Per Share","1","03-Sep-2024","-","04-Sep-2024","11-Sep-2024"
"GOACARBON","Goa Carbon Limited","EQ","Annual General Meeting/Dividend - Rs 10 Per Share","10","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"5PAISA","5Paisa Capital Limited","EQ","Annual General Meeting","10","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"BALLARPUR","Ballarpur Industries Limited","EQ","Annual General Meeting","2","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"BLSE","BLS E-Services Limited","EQ","Annual General Meeting","10","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"DHARSUGAR","Dharani Sugars & Chemicals Limited","EQ","Annual General Meeting","10","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"JSL","Jindal Stainless Limited","EQ","Annual General Meeting","2","03-Sep-2024","-","04-Sep-2024","04-Sep-2024"
"TBZ","Tribhovandas Bhimji Zaveri Limited","EQ","Annual General Meeting/Dividend - Rs 1.75 Per Share","10","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"VINATIORGA","Vinati Organics Limited","EQ","Dividend - Rs 7 Per Share","1","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
"FCL","Fineotex Chemical Limited","EQ","Annual General Meeting","2","03-Sep-2024","-","04-Sep-2024","10-Sep-2024"
