"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CONCOR","Container Corporation of India Limited","EQ","Annual General Meeting/Dividend - Rs 2.50 Per Share","5","17-Sep-2024","-","19-Sep-2024","25-Sep-2024"
"AARON","Aaron Industries Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","10","17-Sep-2024","-","18-Sep-2024","24-Sep-2024"
"AKG","Akg Exim Limited","EQ","Annual General Meeting","10","17-Sep-2024","-","19-Sep-2024","25-Sep-2024"
"ALLCARGO","Allcargo Logistics Limited","EQ","Dividend - Re 1 Per Share","2","17-Sep-2024","18-Sep-2024","-","-"
"ANDHRSUGAR","The Andhra Sugars Limited","EQ","Dividend - Re 1 Per Share","2","17-Sep-2024","17-Sep-2024","-","-"
"ANURAS","Anupam Rasayan India Limited","EQ","Dividend - Re 0.75 Per Share","10","17-Sep-2024","18-Sep-2024","-","-"
"APOLLOPIPE","Apollo Pipes Limited","EQ","Dividend - Re 1 Per Sh","10","17-Sep-2024","18-Sep-2024","-","-"
"ARCHIDPLY","Archidply Industries Limited","EQ","Annual General Meeting","10","17-Sep-2024","-","19-Sep-2024","25-Sep-2024"
"ARCHIES","Archies Limited","EQ","Annual General Meeting","2","17-Sep-2024","-","18-Sep-2024","24-Sep-2024"
"ASHIANA","Ashiana Housing Limited","EQ","Dividend - Rs 1.50 Per Share","2","17-Sep-2024","-","19-Sep-2024","25-Sep-2024"
"BBOX","Black Box Limited","EQ","Annual General Meeting","2","17-Sep-2024","-","19-Sep-2024","25-Sep-2024"
"BHARATWIRE","Bharat Wire Ropes Limited","EQ","Annual General Meeting","10","17-Sep-2024","-","19-Sep-2024","25-Sep-2024"
"BLUEJET","Blue Jet Healthcare Limited","EQ","Dividend - Re 1 Per Share","2","17-Sep-2024","18-Sep-2024","-","-"
"BLUEJET","Blue Jet Healthcare Limited","EQ","Annual General Meeting","2","17-Sep-2024","-","19-Sep-2024","25-Sep-2024"
"CARYSIL","CARYSIL LIMITED","EQ","Annual General Meeting/Dividend - Rs 2 Per Share","2","17-Sep-2024","-","18-Sep-2024","24-Sep-2024"
"CENTURYPLY","Century Plyboards (India) Limited","EQ","Annual General Meetingdividend - Rs 1 Per Share","1","17-Sep-2024","-","19-Sep-2024","25-Sep-2024"
