"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CYIENT","Cyient Limited","EQ","Interim Dividend - Rs 12 Per Share","5","06-Nov-2024","06-Nov-2024","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Interim Dividend - Rs 19 Per Share/Special Dividend - Rs 10 Per Share","1","06-Nov-2024","06-Nov-2024","-","-"
"LAURUSLABS","Laurus Labs Limited","EQ","Interim Dividend - Rs 0.40 Per Share","2","06-Nov-2024","06-Nov-2024","-","-"
"NAM-INDIA","Nippon Life India Asset Management Limited","EQ","Interim Dividend - Rs 8 Per Share","10","06-Nov-2024","06-Nov-2024","-","-"
"LTFOODS","LT Foods Limited","EQ","Interim Dividend - Re 0.50 Per Share","1","06-Nov-2024","06-Nov-2024","-","-"
"AJANTPHARM","Ajanta Pharma Limited","EQ","Interim Dividend - Rs 28 Per Share","2","06-Nov-2024","06-Nov-2024","-","-"
"ALLDIGI","Alldigi Tech Limited","EQ","Interim Dividend - Rs 30 Per Share","10","06-Nov-2024","06-Nov-2024","-","-"
"RAILTEL","Railtel Corporation Of India Limited","EQ","Interim Dividend - Re 1 Per Share","10","06-Nov-2024","06-Nov-2024","-","-"
"SIYSIL","Siyaram Silk Mills Limited","EQ","Interim Dividend - Rs 4 Per Share","2","06-Nov-2024","06-Nov-2024","-","-"
"ADFFOODS","ADF Foods Limited","EQ","Interim Dividend - Rs  0.60 Per Share","2","06-Nov-2024","06-Nov-2024","-","-"
