"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"KIRLOSENG","Kirloskar Oil Engines Limited","EQ","Annual General Meeting/Dividend - Rs 3.50 Per Share","2","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"UGROCAP","Ugro Capital Limited","EQ","Annual General Meeting","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"NAVA","NAVA LIMITED","EQ","Dividend - Rs 4 Per Share","2","01-Aug-2024","01-Aug-2024","-","-"
"NAVA","NAVA LIMITED","EQ","Annual General Meeting","2","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"OBEROIRLTY","Oberoi Realty Limited","EQ","Interim Dividend - Rs 2 Per Share","10","01-Aug-2024","01-Aug-2024","-","-"
"OSWALAGRO","Oswal Agro Mills Limited","EQ","Annual General Meeting","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"OSWALGREEN","Oswal Greentech Limited","EQ","Annual General Meeting","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"HEROMOTOCO","Hero MotoCorp Limited","EQ","Annual General Meeting/Dividend - Rs 40 Per Share","2","01-Aug-2024","-","02-Aug-2024","12-Aug-2024"
"IVP","IVP Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"KARURVYSYA","Karur Vysya Bank Limited","EQ","Dividend - Rs 2.40 Per Share","2","01-Aug-2024","-","02-Aug-2024","14-Aug-2024"
"MPSLTD","MPS Limited","EQ","Annual General Meeting/Dividend - Rs 45 Per Share","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"TASTYBITE","Tasty Bite Eatables Limited","EQ","Dividend - Rs 2 Per Share","10","01-Aug-2024","01-Aug-2024","-","-"
"TIPSMUSIC","Tips Music Limited","EQ","Interim Dividend - Rs 2 Per Share","1","01-Aug-2024","01-Aug-2024","-","-"
"ABSLAMC","Aditya Birla Sun Life AMC Limited","EQ","Annual General Meeting/Dividend - Rs 13.50 Per Share","5","01-Aug-2024","01-Aug-2024","-","-"
"EMKAY","Emkay Global Financial Services Limited","EQ","Annual General Meeting/Dividend - Rs 1.50 Per Share","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"ESABINDIA","Esab India Limited","EQ","Annual General Meeting/Dividend - Rs 30 Per Share","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"GREAVESCOT","Greaves Cotton Limited","EQ","Dividend - Rs 2 Per Share","2","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"BAJAJCON","Bajaj Consumer Care Limited","EQ","Annual General Meeting","1","01-Aug-2024","-","02-Aug-2024","09-Aug-2024"
"BANKA","Banka BioLoo Limited","EQ","Annual General Meeting","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"PGINVIT","POWERGRID Infrastructure Investment Trust","IV","Distribution - Rs 3 Per Unit Consists Of Interest- Rs 1.99 Per Unit/Total Dividend - Re 0.44 Per Unit/Repayment Of Spv Debt- Re 0.55 Per Unit/Treasury Income Re 0.02 Per Unit","100","01-Aug-2024","01-Aug-2024","-","-"
"21STCENMGM","21st Century Management Services Limited","EQ","Annual General Meeting","10","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"BAYERCROP","Bayer Cropscience Limited","EQ","Annual General Meeting/Dividend - Rs 35 Per Share","10","01-Aug-2024","-","02-Aug-2024","09-Aug-2024"
"SARLAPOLY","Sarla Performance Fibers Limited","EQ","Annual General Meeting","1","01-Aug-2024","-","02-Aug-2024","08-Aug-2024"
"LYKALABS","Lyka Labs Limited","EQ","Annual General Meeting","10","01-Aug-2024","-","02-Aug-2024","09-Aug-2024"
