"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"JKPAPER","JK Paper Limited","EQ","Annual General Meeting/Dividend - Rs 5 Per Share","10","20-Aug-2024","-","21-Aug-2024","03-Sep-2024"
"MARALOVER","Maral Overseas Limited","EQ","Annual General Meeting","10","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
"BALAJITELE","Balaji Telefilms Limited","EQ","Annual General Meeting","2","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
"BCONCEPTS","Brand Concepts Limited","EQ","Annual General Meeting","10","20-Aug-2024","-","21-Aug-2024","28-Aug-2024"
"CENTENKA","Century Enka Limited","EQ","Annual General Meeting/Dividend - Rs 10 Per Share","10","20-Aug-2024","-","21-Aug-2024","22-Aug-2024"
"CORALFINAC","Coral India Finance & Housing Limited","EQ","Annual General Meeting/Dividend - Re 0.40 Per Share","2","20-Aug-2024","-","21-Aug-2024","30-Aug-2024"
"IDEA","Vodafone Idea Limited","EQ","Annual General Meeting","10","20-Aug-2024","-","21-Aug-2024","28-Aug-2024"
"AIAENG","AIA Engineering Limited","EQ","Buy Back","2","20-Aug-2024","20-Aug-2024","-","-"
"SOUTHBANK","The South Indian Bank Limited","EQ","Annual General Meeting/Dividend - Rs 0.30 Per Share","1","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
"AIAENG","AIA Engineering Limited","EQ","Dividend - Rs 16 Per Share","2","20-Aug-2024","20-Aug-2024","-","-"
"BALKRISIND","Balkrishna Industries Limited","EQ","Interim Dividend - Rs 4 Per Share","2","20-Aug-2024","20-Aug-2024","-","-"
"INDOBORAX","Indo Borax & Chemicals Limited","EQ","Annual General Meeting","1","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
"INDOBORAX","Indo Borax & Chemicals Limited","EQ","Dividend - Re 1 Per Share","1","20-Aug-2024","20-Aug-2024","-","-"
"IRB","IRB Infrastructure Developers Limited","EQ","Interim Dividend - Re 0.1 Per Share","1","20-Aug-2024","20-Aug-2024","-","-"
"PIIND","PI Industries Limited","EQ","Annual General Meeting","1","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
"RATNAMANI","Ratnamani Metals & Tubes Limited","EQ","Annual General Meeting/Dividend - Rs 14 Per Share","2","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
"SAREGAMA","Saregama India Limited","EQ","Annual General Meeting","1","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
"TITAGARH","TITAGARH RAIL SYSTEMS LIMITED","EQ","Annual General Meeting/Dividend - Re 0.80 Per Share","2","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","EQ","Interim Dividend - Rs 6 Per Share","10","20-Aug-2024","20-Aug-2024","-","-"
"PHOENIXLTD","The Phoenix Mills Limited","EQ","Dividend - Rs 5 Per Share","2","20-Aug-2024","20-Aug-2024","-","-"
"PIIND","PI Industries Limited","EQ","Dividend - Rs 9 Per Share","1","20-Aug-2024","20-Aug-2024","-","-"
"RAIN","Rain Industries Limited","EQ","Interim Dividend - Re 1 Per Sh","2","20-Aug-2024","20-Aug-2024","-","-"
"SANGHVIMOV","Sanghvi Movers Limited","EQ","Dividend - Rs 6 Per Share","1","20-Aug-2024","20-Aug-2024","-","-"
"SUNTV","Sun TV Network Limited","EQ","Interim Dividend - Rs 5 Per Share","5","20-Aug-2024","20-Aug-2024","-","-"
"WEALTH","Wealth First Portfolio Managers Limited","EQ","Dividend - Rs 7 Per Share","10","20-Aug-2024","20-Aug-2024","-","-"
"APARINDS","Apar Industries Limited","EQ","Annual General Meeting/Dividend - Rs 51 Per Share","10","20-Aug-2024","-","21-Aug-2024","27-Aug-2024"
