"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CENTRALBK","Central Bank of India","EQ","Annual General Meeting","10","09-Jul-2024","-","10-Jul-2024","16-Jul-2024"
"GRINDWELL","Grindwell Norton Limited","EQ","Annual General Meeting/Dividend - Rs 17 Per Share","5","09-Jul-2024","-","10-Jul-2024","18-Jul-2024"
"BAIDFIN","Baid Finserv Limited","EQ","Dividend - Re 0.10 Per Share","2","09-Jul-2024","09-Jul-2024","-","-"
"BAIDFIN","Baid Finserv Limited","EQ","Annual General Meeting","2","09-Jul-2024","-","10-Jul-2024","16-Jul-2024"
"DCMSHRIRAM","DCM Shriram Limited","EQ","Dividend - Rs 2.60 Per Share","2","09-Jul-2024","09-Jul-2024","-","-"
"DEEPINDS","Deep Industries Limited","EQ","Dividend - Rs 2.44 Per Share","5","09-Jul-2024","09-Jul-2024","-","-"
"PERSISTENT","Persistent Systems Limited","EQ","Annual General Meeting/Dividend - Rs 10 Per Share","5","09-Jul-2024","-","10-Jul-2024","16-Jul-2024"
"POLYCAB","Polycab India Limited","EQ","Annual General Meeting/Dividend - Rs 30 Per Share","10","09-Jul-2024","-","10-Jul-2024","16-Jul-2024"
"INDINFR","IndInfravit Trust","IV","Distribution - Rs 1.92 Per Unit Consisting Of Interest Payment - Rs 1.30 Per Unit/ Return On Capital - Re 0.62 Per Unit","100","09-Jul-2024","09-Jul-2024","-","-"
"JKCEMENT","JK Cement Limited","EQ","Annual General Meeting/Dividend - Rs 15 Per Share/Special Dividend - Rs 5 Per Share","10","09-Jul-2024","-","10-Jul-2024","19-Jul-2024"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting/Dividend - Rs 7.30 Per Share","1","09-Jul-2024","-","10-Jul-2024","12-Jul-2024"
"LAGNAM","Lagnam Spintex Limited","EQ","Dividend - Re 0.50 Per Share","10","09-Jul-2024","09-Jul-2024","-","-"
"INGERRAND","Ingersoll Rand (India) Limited","EQ","Annual General Meeting/Dividend - Rs 20 Per Share","10","09-Jul-2024","-","10-Jul-2024","12-Jul-2024"
"DEEPINDS","Deep Industries Limited","EQ","Annual General Meeting","5","09-Jul-2024","-","10-Jul-2024","16-Jul-2024"
"LAGNAM","Lagnam Spintex Limited","EQ","Annual General Meeting","10","09-Jul-2024","-","10-Jul-2024","16-Jul-2024"
