,05-Jun-2026
The Nifty witnessed an intraday movement of about 233.7 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 128870.62
, Traded Quantity (in Lakhs), 57232.26
, Number of Trades, 36740162
, Total Market Capitalisation (Rs. Crores), 46168497.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     15323.15,     15395.90,     15474.20,     15339.60,     15409.35,86.20
,NIFTY CONSR DURBL,     35422.40,     35666.10,     35721.85,     35349.40,     35464.55,42.15
,NIFTY OIL AND GAS,     11159.40,     11172.80,     11188.75,     11080.05,     11106.20,-53.20
,NIFTY500 MULTICAP,     15885.10,     15937.60,     15970.50,     15803.70,     15864.25,-20.85
,NIFTY LARGEMID250,     16151.25,     16205.70,     16242.25,     16057.35,     16117.50,-33.75
,NIFTY MID SELECT,     14186.30,     14227.45,     14292.75,     14066.55,     14107.50,-78.80
,NIFTY TOTAL MKT,     12681.75,     12722.75,     12747.35,     12615.70,     12664.25,-17.50
,NIFTY MICROCAP250,     23894.20,     23996.25,     24045.65,     23803.40,     23892.75,-1.45
,NIFTY IND DIGITAL,      7864.60,      7888.30,      7920.40,      7797.85,      7814.05,-50.55
,Nifty Tata 25 Cap,     14273.20,     14326.00,     14354.00,     14046.40,     14122.85,-150.35
,Nifty MidSml Hlth,     47772.55,     47999.45,     48296.35,     47760.30,     47987.50,214.95
,Nifty Multi Mfg,     16088.65,     16143.25,     16155.50,     15994.40,     16042.10,-46.55
,Nifty Multi Infra,     14245.65,     14287.10,     14306.50,     14170.15,     14224.80,-20.85
,BHARATBOND-APR30,      1574.41,      1574.73,      1575.61,      1574.73,      1575.61,1.20
,BHARATBOND-APR31,      1427.85,      1428.13,      1428.14,      1428.13,      1428.14,0.29
,BHARATBOND-APR32,      1293.33,      1293.59,      1293.82,      1293.59,      1293.82,0.49
,BHARATBOND-APR33,      1254.05,      1254.30,      1254.30,      1254.30,      1254.30,0.25
,Nifty Ind Defence,      9067.30,      9094.60,      9167.50,      9031.55,      9072.80,5.50
,Nifty Ind Tourism,      7357.60,      7378.60,      7411.80,      7287.55,      7323.80,-33.80
,Nifty Capital Mkt,      5348.20,      5369.60,      5418.65,      5222.30,      5273.35,-74.85
,Nifty500Momentm50,     52510.20,     52692.05,     52905.25,     52166.70,     52409.60,-100.60
,NiftyMS400 MQ 100,     50179.10,     50391.20,     50477.40,     49625.45,     49848.55,-330.55
,NiftySml250MQ 100,     45004.10,     45136.25,     45207.90,     44676.65,     44863.30,-140.80
,Nifty Top 10 EW,      8406.00,      8440.75,      8457.55,      8355.25,      8378.45,-27.55
,Nifty AQL 30,     21979.65,     22061.55,     22078.05,     21931.25,     22000.30,20.65
,Nifty AQLV 30,     19694.15,     19736.80,     19751.35,     19593.05,     19667.20,-26.95
,Nifty EV,      3057.20,      3075.45,      3079.90,      3051.85,      3064.75,7.55
,Nifty HighBeta 50,      4208.15,      4224.70,      4250.80,      4176.30,      4216.90,8.75
,Nifty New Consump,     10911.35,     10942.65,     10979.65,     10854.30,     10896.95,-14.40
,Nifty Corp MAATR,     38539.80,     38730.50,     38816.30,     38312.05,     38545.25,5.45
,Nifty Low Vol 50,     23794.05,     23861.05,     23895.40,     23701.05,     23767.80,-26.25
,Nifty Mobility,     21468.55,     21538.50,     21582.65,     21366.85,     21465.25,-3.30
,Nifty Qlty LV 30,     15983.40,     16043.25,     16049.70,     15925.85,     15960.50,-22.90
,Nifty Sml250 Q50,     24405.70,     24476.85,     24603.80,     24366.95,     24415.50,9.80
,Nifty Top 15 EW,      9397.25,      9434.80,      9462.90,      9373.60,      9403.95,6.70
,Nifty100 Alpha 30,     17872.25,     17931.90,     17973.70,     17767.20,     17856.85,-15.40
,Nifty100 Enh ESG,      4821.55,      4838.15,      4853.80,      4809.95,      4832.95,11.40
,Nifty200 Value 30,     15450.10,     15470.75,     15508.20,     15296.90,     15384.05,-66.05
,Nifty500 EW,     14301.50,     14354.00,     14387.10,     14245.30,     14297.35,-4.15
,Nifty Multi MQ 50,     41804.55,     41944.25,     42023.20,     41332.45,     41542.50,-262.05
,Nifty500 Value 50,     16592.60,     16615.35,     16645.50,     16391.50,     16487.10,-105.50
,Nifty Top 20 EW,      8362.20,      8394.45,      8411.90,      8335.40,      8364.65,2.45
,Nifty CoreHousing,     14811.80,     14882.05,     14918.35,     14755.80,     14799.35,-12.45
,Nifty FinSerExBnk,     30083.90,     30142.95,     30694.00,     29996.20,     30138.30,54.40
,Nifty Housing,     11805.05,     11836.75,     11873.50,     11722.70,     11794.45,-10.60
,Nifty IPO,      2144.60,      2151.65,      2160.20,      2140.75,      2149.90,5.30
,Nifty MS Fin Serv,     21468.05,     21482.00,     21722.05,     21235.10,     21389.75,-78.30
,Nifty MS Ind Cons,     17514.55,     17601.00,     17630.95,     17448.65,     17481.90,-32.65
,Nifty MS IT Telcm,      9606.90,      9674.40,      9713.35,      9541.30,      9556.85,-50.05
,Nifty NonCyc Cons,     14538.35,     14566.10,     14588.60,     14468.45,     14525.75,-12.60
,Nifty Rural,     14856.00,     14909.50,     14973.90,     14805.45,     14864.35,8.35
,Nifty Shariah 25,      7741.65,      7789.10,      7795.20,      7698.65,      7722.25,-19.40
,Nifty Trans Logis,     23785.25,     23877.05,     23932.35,     23691.80,     23815.40,30.15
,Nifty50 Shariah,      4292.75,      4321.15,      4324.40,      4265.10,      4272.70,-20.05
,Nifty500 LMS Eql,     17721.25,     17781.75,     17820.00,     17630.65,     17697.55,-23.70
,Nifty500 Shariah,      6889.55,      6927.90,      6932.35,      6851.10,      6868.40,-21.15
,Nifty500 Qlty50,     19623.50,     19701.45,     19738.85,     19380.40,     19471.90,-151.60
,Nifty500 LowVol50,     21669.00,     21722.15,     21759.25,     21585.30,     21649.35,-19.65
,Nifty500 MQVLv50,     30519.40,     30615.80,     30656.55,     30381.80,     30480.15,-39.25
,Nifty500 Flexicap,      9602.35,      9655.05,      9676.70,      9557.90,      9583.70,-18.65
,Nifty TMMQ 50,     43957.85,     44137.80,     44214.00,     43608.25,     43799.05,-158.80
,Nifty FPI 150,      1516.25,      1521.10,      1523.80,      1508.15,      1513.90,-2.35
,Nifty SME Emerge,     13678.95,     13710.85,     13795.60,     13705.10,     13744.50,65.55
,Nifty Internet,      1194.70,      1193.75,      1208.15,      1187.00,      1192.80,-1.90
,Nifty Chemicals,     29055.50,     29208.30,     29280.20,     29008.90,     29126.95,71.45
,Nifty Waves,      1917.35,      1927.70,      1977.00,      1926.55,      1957.05,39.70
,Nifty InfraLog,     11986.45,     12034.60,     12064.25,     11923.55,     11985.85,-0.60
,Nifty500 Health,     19848.20,     19932.75,     20027.10,     19854.50,     19963.85,115.65
,Nifty RailwaysPSU,      2923.70,      2930.30,      2945.15,      2903.55,      2921.50,-2.20
