,02-Jun-2026
The Nifty witnessed an intraday movement of about 327.8 points.The closing index was 0.43 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 143327.01
, Traded Quantity (in Lakhs), 55472.64
, Number of Trades, 40028030
, Total Market Capitalisation (Rs. Crores), 46273226.88

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     15267.20,     15148.50,     15216.25,     15025.95,     15188.20,-79.00
,NIFTY CONSR DURBL,     34500.20,     34378.20,     35004.20,     34108.15,     34948.90,448.70
,NIFTY OIL AND GAS,     11159.10,     11084.15,     11170.95,     11034.25,     11138.90,-20.20
,NIFTY500 MULTICAP,     15818.90,     15728.30,     15899.45,     15678.95,     15878.90,60.00
,NIFTY LARGEMID250,     16121.20,     16026.80,     16194.20,     15975.80,     16167.70,46.50
,NIFTY MID SELECT,     14264.85,     14160.00,     14262.25,     14057.45,     14240.45,-24.40
,NIFTY TOTAL MKT,     12638.05,     12563.45,     12711.30,     12533.20,     12688.65,50.60
,NIFTY MICROCAP250,     23380.40,     23325.30,     23655.00,     23148.15,     23634.95,254.55
,NIFTY IND DIGITAL,      7915.90,      7925.55,      8078.90,      7898.90,      8068.50,152.60
,Nifty Tata 25 Cap,     14146.15,     14073.10,     14452.10,     14073.10,     14421.90,275.75
,Nifty MidSml Hlth,     47557.90,     47364.60,     47464.70,     46767.50,     47176.45,-381.45
,Nifty Multi Mfg,     16034.80,     15915.20,     16078.55,     15887.60,     16057.55,22.75
,Nifty Multi Infra,     14225.45,     14089.00,     14246.30,     14027.30,     14223.35,-2.10
,BHARATBOND-APR30,      1571.89,      1572.21,      1572.34,      1572.20,      1572.33,0.44
,BHARATBOND-APR31,      1426.16,      1426.44,      1426.71,      1426.44,      1426.71,0.55
,BHARATBOND-APR32,      1292.70,      1292.95,      1292.96,      1292.95,      1292.96,0.26
,BHARATBOND-APR33,      1253.62,      1253.88,      1254.17,      1253.88,      1254.17,0.55
,Nifty Ind Defence,      8924.50,      8875.90,      9022.65,      8802.95,      8990.45,65.95
,Nifty Ind Tourism,      7206.05,      7149.50,      7286.30,      7102.25,      7264.95,58.90
,Nifty Capital Mkt,      5366.95,      5329.55,      5352.70,      5266.70,      5339.90,-27.05
,Nifty500Momentm50,     52223.60,     51844.40,     52319.55,     51583.50,     52254.00,30.40
,NiftyMS400 MQ 100,     49944.30,     49725.10,     50138.65,     49451.00,     50073.60,129.30
,NiftySml250MQ 100,     44643.20,     44483.05,     44926.95,     44277.65,     44886.35,243.15
,Nifty Top 10 EW,      8432.85,      8403.40,      8544.65,      8403.40,      8520.50,87.65
,Nifty AQL 30,     21969.30,     21823.30,     22052.75,     21744.30,     22012.30,43.00
,Nifty AQLV 30,     19687.50,     19610.30,     19841.90,     19557.60,     19803.10,115.60
,Nifty EV,      3024.85,      3004.60,      3063.90,      2996.55,      3060.30,35.45
,Nifty HighBeta 50,      4195.30,      4172.95,      4223.45,      4148.25,      4219.70,24.40
,Nifty New Consump,     10790.10,     10696.40,     10874.05,     10647.45,     10851.00,60.90
,Nifty Corp MAATR,     38520.35,     38230.55,     38934.20,     38230.55,     38873.70,353.35
,Nifty Low Vol 50,     23822.55,     23662.75,     23940.60,     23636.35,     23888.15,65.60
,Nifty Mobility,     21270.30,     21045.95,     21448.60,     21031.35,     21388.05,117.75
,Nifty Qlty LV 30,     15934.20,     15861.85,     16085.05,     15824.70,     16057.20,123.00
,Nifty Sml250 Q50,     24424.00,     24324.55,     24623.95,     24187.25,     24591.15,167.15
,Nifty Top 15 EW,      9398.80,      9338.10,      9496.60,      9338.05,      9472.80,74.00
,Nifty100 Alpha 30,     17756.30,     17655.00,     17868.90,     17603.80,     17834.50,78.20
,Nifty100 Enh ESG,      4816.70,      4790.50,      4863.45,      4783.45,      4853.55,36.85
,Nifty200 Value 30,     15351.60,     15251.30,     15357.05,     15166.80,     15323.20,-28.40
,Nifty500 EW,     14186.20,     14116.10,     14270.70,     14043.25,     14259.55,73.35
,Nifty Multi MQ 50,     41789.00,     41571.55,     41911.25,     41333.85,     41843.95,54.95
,Nifty500 Value 50,     16504.35,     16408.75,     16532.10,     16337.65,     16500.65,-3.70
,Nifty Top 20 EW,      8355.90,      8308.40,      8435.65,      8303.05,      8416.25,60.35
,Nifty CoreHousing,     14826.70,     14731.55,     14926.35,     14649.75,     14887.80,61.10
,Nifty FinSerExBnk,     30515.65,     30222.95,     30317.60,     29886.95,     30233.75,-281.90
,Nifty Housing,     11837.60,     11757.05,     11860.75,     11690.60,     11834.75,-2.85
,Nifty IPO,      2101.30,      2100.55,      2126.30,      2095.10,      2124.10,22.80
,Nifty MS Fin Serv,     21588.05,     21439.80,     21540.15,     21179.45,     21480.80,-107.25
,Nifty MS Ind Cons,     17323.00,     17222.85,     17462.50,     17102.30,     17438.70,115.70
,Nifty MS IT Telcm,      9595.35,      9608.65,      9836.45,      9596.95,      9793.55,198.20
,Nifty NonCyc Cons,     14367.10,     14251.90,     14512.25,     14221.70,     14488.40,121.30
,Nifty Rural,     14839.25,     14710.70,     14881.75,     14667.95,     14851.00,11.75
,Nifty Shariah 25,      7779.25,      7771.05,      7900.80,      7754.60,      7892.55,113.30
,Nifty Trans Logis,     23522.80,     23256.95,     23749.80,     23247.60,     23687.20,164.40
,Nifty50 Shariah,      4312.95,      4323.95,      4411.25,      4323.95,      4405.55,92.60
,Nifty500 LMS Eql,     17631.30,     17534.90,     17714.70,     17465.70,     17696.85,65.55
,Nifty500 Shariah,      6871.20,      6860.60,      6959.80,      6842.40,      6952.90,81.70
,Nifty500 Qlty50,     19549.25,     19469.25,     19699.15,     19406.55,     19674.85,125.60
,Nifty500 LowVol50,     21688.85,     21520.30,     21778.70,     21490.35,     21746.90,58.05
,Nifty500 MQVLv50,     30361.50,     30175.80,     30497.75,     30081.90,     30457.60,96.10
,Nifty500 Flexicap,      9638.95,      9626.35,      9785.25,      9582.95,      9775.80,136.85
,Nifty TMMQ 50,     43791.05,     43539.30,     43849.00,     43225.60,     43773.25,-17.80
,Nifty FPI 150,      1515.60,      1506.15,      1525.75,      1504.35,      1522.65,7.05
,Nifty SME Emerge,     13536.80,     13512.05,     13629.35,     13486.00,     13610.75,73.95
,Nifty Internet,      1200.40,      1191.40,      1206.95,      1182.70,      1204.05,3.65
,Nifty Chemicals,     28933.35,     28743.60,     29091.40,     28568.55,     29051.70,118.35
,Nifty Waves,      1906.70,      1902.00,      1916.00,      1889.00,      1911.35,4.65
,Nifty InfraLog,     11969.50,     11873.95,     11993.30,     11809.80,     11976.05,6.55
,Nifty500 Health,     19746.70,     19593.75,     19663.20,     19443.90,     19642.10,-104.60
,Nifty RailwaysPSU,      2935.30,      2918.25,      2940.00,      2895.30,      2934.50,-0.80
,NiftyConglomerate,     14535.05,     14435.20,     14666.75,     14416.55,     14644.20,109.15
,Nifty MidSmall 50 50,     19656.30,     19558.95,     19743.90,     19450.20,     19726.30,70.00
,Nifty Cement,     14819.55,     14745.25,     14837.30,     14639.65,     14795.50,-24.05
,Nifty Smallcap 500,     19095.15,     19021.10,     19237.25,     18903.40,     19221.25,126.10
,Nifty REITs Realty,      1772.80,      1771.30,      1781.40,      1758.20,      1777.70,4.90
,India VIX,16.5425,16.5425,16.5425,15.1150,15.3550,-1.1875

,ADVANCES,2119
,DECLINES,1401
,UNCHANGED,105

,Total securities that have hit their price bands today,289

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,INFY,EQ,      1202.50,      1270.80,5.68,4551.91
,HDFCBANK,EQ,       742.70,       748.25,0.75,3525.25
,RELIANCE,EQ,      1320.00,      1314.60,-0.41,3060.66
