,01-Feb-2026
The Nifty witnessed an intraday movement of about 869.15 points.The closing index was 1.96 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 116984.25
, Traded Quantity (in Lakhs), 53082.33
, Number of Trades, 36659216
, Total Market Capitalisation (Rs. Crores), 44874409.45

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     13893.85,     13991.40,     14022.60,     13746.00,     13802.30,-91.55
,NIFTY CONSR DURBL,     34387.55,     34552.55,     34984.15,     33563.20,     34232.10,-155.45
,NIFTY OIL AND GAS,     11791.70,     11776.25,     11826.60,     11407.15,     11454.30,-337.40
,NIFTY500 MULTICAP,     15868.90,     15852.80,     15909.50,     15345.95,     15541.85,-327.05
,NIFTY LARGEMID250,     16309.00,     16309.85,     16370.25,     15760.70,     15976.10,-332.90
,NIFTY MID SELECT,     13400.05,     13408.45,     13439.20,     12795.55,     13020.25,-379.80
,NIFTY TOTAL MKT,     12937.95,     12931.65,     12984.90,     12525.05,     12678.40,-259.55
,NIFTY MICROCAP250,     21268.75,     21278.40,     21424.40,     20724.00,     20973.20,-295.55
,NIFTY IND DIGITAL,      9018.65,      9007.10,      9129.95,      8746.60,      9015.50,-3.15
,Nifty Tata 25 Cap,     14901.10,     14854.80,     15023.10,     14477.50,     14743.40,-157.70
,Nifty MidSml Hlth,     41723.60,     41783.90,     41962.40,     40992.35,     41188.35,-535.25
,Nifty Multi Mfg,     15287.90,     15291.55,     15418.80,     14785.90,     14929.10,-358.80
,Nifty Multi Infra,     13719.50,     13748.95,     13826.40,     13267.40,     13405.70,-313.80
,BHARATBOND-APR30,      1560.23,      1560.54,      1560.54,      1560.53,      1560.53,0.30
,BHARATBOND-APR31,      1417.92,      1418.18,      1418.19,      1418.18,      1418.19,0.27
,BHARATBOND-APR32,      1287.96,      1288.21,      1288.21,      1288.20,      1288.21,0.25
,BHARATBOND-APR33,      1250.84,      1251.09,      1251.09,      1251.09,      1251.09,0.25
,Nifty Ind Defence,      8184.00,      8251.05,      8359.10,      7458.65,      7767.75,-416.25
,Nifty Ind Tourism,      7704.85,      7733.20,      7781.95,      7446.90,      7589.85,-115.00
,Nifty Capital Mkt,      4649.30,      4572.70,      4578.85,      4231.05,      4381.00,-268.30
,Nifty500Momentm50,     50783.85,     50524.15,     50582.05,     48377.30,     49219.65,-1564.20
,NiftyMS400 MQ 100,     46821.65,     46500.80,     46519.40,     44526.50,     45356.20,-1465.45
,NiftySml250MQ 100,     42081.35,     41815.40,     41919.25,     40300.05,     40893.40,-1187.95
,Nifty Top 10 EW,      9572.95,      9581.85,      9642.40,      9354.75,      9450.05,-122.90
,Nifty AQL 30,     22140.40,     22212.85,     22266.85,     21593.85,     21742.50,-397.90
,Nifty AQLV 30,     20838.00,     20888.40,     20939.70,     20322.25,     20489.10,-348.90
,Nifty EV,      2954.35,      2962.60,      2979.90,      2862.35,      2905.55,-48.80
,Nifty HighBeta 50,      3774.70,      3749.70,      3769.25,      3560.90,      3632.65,-142.05
,Nifty New Consump,     10989.00,     11018.40,     11073.75,     10626.45,     10845.60,-143.40
,Nifty Corp MAATR,     37452.40,     37347.00,     37602.60,     36246.95,     36443.35,-1009.05
,Nifty Low Vol 50,     24904.90,     24961.35,     25023.00,     24348.00,     24546.10,-358.80
,Nifty Mobility,     21894.15,     21965.45,     22098.75,     21180.65,     21458.95,-435.20
,Nifty Qlty LV 30,     17010.55,     17056.60,     17068.90,     16651.00,     16763.05,-247.50
,Nifty Sml250 Q50,     24153.50,     24157.25,     24256.80,     23520.20,     23768.30,-385.20
,Nifty Top 15 EW,     10605.70,     10616.80,     10664.75,     10307.95,     10412.35,-193.35
,Nifty100 Alpha 30,     17562.00,     17562.25,     17671.80,     16881.90,     17125.75,-436.25
,Nifty100 Enh ESG,      5110.95,      5106.40,      5122.80,      4958.55,      5025.70,-85.25
,Nifty200 Value 30,     15205.60,     15073.70,     15186.10,     14547.00,     14720.40,-485.20
,Nifty500 EW,     13578.00,     13573.30,     13639.70,     13178.15,     13324.95,-253.05
,Nifty Multi MQ 50,     40474.20,     40151.50,     40197.55,     38207.80,     38981.20,-1493.00
,Nifty500 Value 50,     15969.90,     15796.45,     15926.35,     15276.05,     15454.10,-515.80
,Nifty Top 20 EW,      9338.25,      9358.00,      9391.30,      9065.00,      9193.40,-144.85
,Nifty CoreHousing,     14664.65,     14727.75,     14756.70,     14233.70,     14324.00,-340.65
,Nifty FinSerExBnk,     30928.45,     30782.90,     30839.10,     29300.15,     29953.60,-974.85
,Nifty Housing,     11564.65,     11561.50,     11645.80,     11175.20,     11260.95,-303.70
,Nifty IPO,      1942.10,      1939.50,      1945.40,      1885.50,      1917.10,-25.00
,Nifty MS Fin Serv,     20616.00,     20482.90,     20488.15,     19314.15,     19864.50,-751.50
,Nifty MS Ind Cons,     17463.30,     17523.05,     17665.15,     17009.60,     17247.50,-215.80
,Nifty MS IT Telcm,      9836.45,      9842.25,      9912.20,      9551.05,      9777.30,-59.15
,Nifty NonCyc Cons,     14926.30,     14957.15,     14983.10,     14519.85,     14714.80,-211.50
,Nifty Rural,     15581.55,     15606.05,     15654.85,     15037.55,     15165.80,-415.75
,Nifty Shariah 25,      8289.20,      8292.85,      8336.45,      8094.80,      8172.80,-116.40
,Nifty Trans Logis,     24460.45,     24550.80,     24736.65,     23663.75,     23991.35,-469.10
,Nifty50 Shariah,      4796.20,      4785.80,      4824.55,      4688.80,      4749.85,-46.35
,Nifty500 LMS Eql,     17363.55,     17341.70,     17397.95,     16778.45,     17001.70,-361.85
,Nifty500 Shariah,      6983.45,      6975.10,      7002.60,      6812.35,      6896.40,-87.05
,Nifty500 Qlty50,     18572.40,     18595.85,     18678.30,     17792.05,     18178.80,-393.60
,Nifty500 LowVol50,     22434.05,     22496.00,     22546.75,     21896.05,     22060.40,-373.65
,Nifty500 MQVLv50,     31097.40,     31026.60,     31104.90,     30077.55,     30355.70,-741.70
,Nifty500 Flexicap,     10417.15,     10421.40,     10454.35,     10078.35,     10220.95,-196.20
,Nifty TMMQ 50,     41170.55,     40888.40,     40908.30,     38934.15,     39720.40,-1450.15
,Nifty FPI 150,      1567.95,      1567.35,      1574.80,      1517.95,      1537.25,-30.70
,Nifty SME Emerge,     12816.90,     12829.35,     12905.65,     12718.80,     12751.55,-65.35
,Nifty Internet,      1286.00,      1284.75,      1295.10,      1230.75,      1273.80,-12.20
,Nifty Chemicals,     27819.35,     27831.70,     27960.85,     26876.05,     27091.00,-728.35
,Nifty Waves,      1909.80,      1900.45,      1906.80,      1867.30,      1880.00,-29.80
,Nifty InfraLog,     11068.00,     11111.35,     11165.05,     10607.45,     10751.35,-316.65
,Nifty500 Health,     17713.65,     17795.40,     17871.40,     17538.35,     17622.10,-91.55
,India VIX,13.6325,13.6325,16.1125,13.3475,15.0950,1.4625

,ADVANCES,1054
,DECLINES,2091
,UNCHANGED,84

,Total securities that have hit their price bands today,272

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,HINDCOPPER,EQ,       685.90,       599.25,-12.63,5238.74
,MCX,EQ,      2528.00,      2233.30,-11.66,4621.17
,BEL,EQ,       449.00,       425.35,-5.27,4429.73
,BSE,EQ,      2797.00,      2578.10,-7.83,4242.79
,VEDL,EQ,       681.55,       655.15,-3.87,3065.76
,GOLDBEES,EQ,       131.12,       122.31,-6.72,3057.84
,HINDZINC,EQ,       628.50,       570.10,-9.29,2603.49
,ANANTRAJ,EQ,       504.30,       531.05,5.30,1890.60
,HAL,EQ,      4619.40,      4376.90,-5.25,1817.07
,DIXON,EQ,     10446.00,     10196.00,-2.39,1565.91
,GROWW,EQ,       177.04,       168.10,-5.05,1439.55
,NATIONALUM,EQ,       385.45,       354.20,-8.11,1361.27
,RELIANCE,EQ,      1395.40,      1347.00,-3.47,1337.81
,SBIN,EQ,      1077.15,      1018.20,-5.47,1250.80
,RVNL,EQ,       343.40,       326.55,-4.91,1200.01
,GRSE,EQ,      2764.20,      2522.20,-8.75,1112.91
,MAZDOCK,EQ,      2572.90,      2394.50,-6.93,1109.47
,PAYTM,EQ,      1137.50,      1158.80,1.87,1102.52
,ITC,EQ,       322.15,       309.45,-3.94,1047.02
,LT,EQ,      3932.30,      3814.00,-3.01,1042.70
,INFY,EQ,      1641.00,      1654.50,0.82,1025.61
,BDL,EQ,      1538.20,      1384.10,-10.02,991.28
,ANGELONE,EQ,      2540.90,      2313.00,-8.97,978.15
,TCS,EQ,      3123.90,      3186.90,2.02,958.86
,CUPID,EQ,       401.00,       406.45,1.36,935.60

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MAXHEALTH,EQ,       976.70,       956.80,2.08
,WIPRO,EQ,       241.80,       236.90,2.07
,TCS,EQ,      3186.90,      3123.90,2.02
,SUNPHARMA,EQ,      1610.10,      1595.30,0.93
,INFY,EQ,      1654.50,      1641.00,0.82

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       908.20,       962.60,-5.65
,SBIN,EQ,      1018.20,      1077.15,-5.47
,ONGC,EQ,       254.30,       268.96,-5.45
,ADANIPORTS,EQ,      1344.90,      1419.80,-5.28
,BEL,EQ,       425.35,       449.00,-5.27

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,1003ISFL28,N4,      1000.00,                    60000.00,60
,1015ECL29,NR,      1016.30,                   101630.00,100
,1018GS2026,GS,       106.55,                   107352.35,1008
,1025SCL34B,N1,       985.00,                     5910.00,6
,1035UCL26,NA,       141.00,                     1422.47,10
,1050ISFL28,N5,      1001.50,                   147191.40,147
,1050NFL26,N7,      1009.32,                   150390.00,149
,1050UCL28,NH,      1019.99,                    10199.90,10
,105UCL2026,NB,      1000.00,                    50000.00,50
,1060ECL29,NS,      1005.98,                    70419.21,70
,1065NFL27,NC,      1010.00,                    16310.00,16
,1075SCL34C,N1,      1026.00,                   110808.00,108
,10IIFL29,N6,      1015.00,                   175595.00,173
,10NIDO26,N6,      1042.86,                     2085.67,2
,118VCCL27B,N0,    101100.00,                   101100.00,1
,1225IFL27,N0,      9501.00,                   133014.40,14
,125VCCL31,N0,     96000.00,                   384000.00,4
,12AFIL27A,N0,      9866.87,                    29600.61,3
,12AFIL28,N0,      9550.00,                    55560.00,6
,12VCCL27D,N0,     95000.00,                    95000.00,1
,12VCCL29C,N0,     96000.00,                    96000.00,1
,182D050226,TB,        99.70,                    29910.00,300
,182D080526,TB,        98.20,                     9820.00,100
,182D120326,TB,        99.00,                     9900.00,100
,182D160426,TB,        98.40,                    19680.00,200
,182D170726,TB,        97.25,                    97250.00,1000
,20MICRONS,EQ,       172.55,                 10001930.92,57259
,21STCENMGM,EQ,        37.24,                   263769.36,7019
,360ONE,EQ,      1101.80,               1187368182.80,1075542
,364D010526,TB,        98.21,                    19637.00,200
,364D020726,TB,        97.17,                     9717.00,100
,364D050326,TB,        99.45,                   198900.00,2000
,364D150127,TB,        94.55,                   189050.00,2000
,364D180626,TB,        98.00,                   431200.00,4400
,364D280127,TB,        94.07,                     9407.00,100
,3IINFOLTD,EQ,        14.95,                  2692791.21,180209
,3MINDIA,EQ,     34525.00,                 38921905.00,1132
,3PLAND,EQ,        34.56,                   226477.09,6646
,563GS2026,GS,       101.20,                      305.60,3
,585GS2030,GS,        96.12,                    96120.00,1000
,591GS2028,GS,        99.13,                   119049.00,1200
,5PAISA,EQ,       331.90,                 37581644.20,115317
,601GS2030,GS,        97.30,                   285954.15,2938
,619GS2034,GS,        96.02,                    36871.68,384
,628GS2032,GS,        96.62,                     9581.00,100
,633GS2035,GS,        99.40,                     9884.40,101
