,29-Jun-2026
The Nifty witnessed an intraday movement of about 195.45 points.The closing index was 0.46 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 183491.87
, Traded Quantity (in Lakhs), 62895.22
, Number of Trades, 47267541
, Total Market Capitalisation (Rs. Crores), 47291818.38

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     15963.40,     16048.70,     16272.65,     15964.85,     16113.40,150.00
,NIFTY CONSR DURBL,     36337.55,     36317.80,     36415.50,     35925.25,     36026.55,-311.00
,NIFTY OIL AND GAS,     11143.30,     11101.05,     11124.35,     10963.70,     11012.05,-131.25
,NIFTY500 MULTICAP,     16337.45,     16335.35,     16359.20,     16209.40,     16260.40,-77.05
,NIFTY LARGEMID250,     16532.75,     16528.75,     16558.30,     16401.30,     16462.30,-70.45
,NIFTY MID SELECT,     14434.55,     14414.90,     14449.50,     14298.55,     14367.40,-67.15
,NIFTY TOTAL MKT,     13038.00,     13037.50,     13057.20,     12942.30,     12975.10,-62.90
,NIFTY MICROCAP250,     24955.40,     24958.65,     24987.85,     24773.45,     24886.60,-68.80
,NIFTY IND DIGITAL,      7764.60,      7760.70,      7766.40,      7696.45,      7723.05,-41.55
,Nifty Tata 25 Cap,     14075.45,     14070.20,     14105.25,     13962.10,     14013.15,-62.30
,Nifty MidSml Hlth,     48968.90,     49050.00,     49637.15,     48975.60,     49450.50,481.60
,Nifty Multi Mfg,     16240.55,     16235.50,     16268.55,     16114.10,     16157.55,-83.00
,Nifty Multi Infra,     14682.30,     14674.05,     14684.65,     14558.95,     14606.25,-76.05
,BHARATBOND-APR30,      1605.79,      1606.11,      1606.13,      1606.09,      1606.13,0.34
,BHARATBOND-APR31,      1460.52,      1460.80,      1461.63,      1460.79,      1461.63,1.11
,BHARATBOND-APR32,      1324.98,      1325.24,      1326.63,      1325.24,      1326.63,1.65
,BHARATBOND-APR33,      1282.75,      1283.00,      1283.99,      1283.00,      1283.99,1.24
,Nifty Ind Defence,      9396.00,      9376.45,      9467.45,      9266.25,      9391.00,-5.00
,Nifty Ind Tourism,      8026.80,      8010.85,      8043.30,      7919.00,      7929.00,-97.80
,Nifty Capital Mkt,      5437.00,      5419.40,      5475.95,      5418.70,      5453.65,16.65
,Nifty500Momentm50,     54320.55,     54240.65,     54503.75,     53740.60,     53977.35,-343.20
,NiftyMS400 MQ 100,     50781.75,     50750.90,     50909.30,     50261.15,     50531.30,-250.45
,NiftySml250MQ 100,     46479.10,     46457.75,     46594.25,     46030.10,     46203.05,-276.05
,Nifty Top 10 EW,      8672.20,      8660.50,      8673.05,      8592.95,      8602.75,-69.45
,Nifty AQL 30,     22638.25,     22676.95,     22777.60,     22509.10,     22539.45,-98.80
,Nifty AQLV 30,     20019.85,     20035.00,     20113.55,     19903.80,     19933.40,-86.45
,Nifty EV,      3147.05,      3145.75,      3149.35,      3093.40,      3103.40,-43.65
,Nifty HighBeta 50,      4296.20,      4294.60,      4300.20,      4247.85,      4270.50,-25.70
,Nifty New Consump,     11387.55,     11374.50,     11407.75,     11265.45,     11290.20,-97.35
,Nifty Corp MAATR,     38552.70,     38431.75,     38497.90,     38110.35,     38146.95,-405.75
,Nifty Low Vol 50,     24365.50,     24411.00,     24468.90,     24202.50,     24221.15,-144.35
,Nifty Mobility,     22307.80,     22281.05,     22317.40,     21899.10,     21948.10,-359.70
,Nifty Qlty LV 30,     16307.75,     16333.85,     16395.25,     16205.35,     16214.50,-93.25
,Nifty Sml250 Q50,     25053.40,     25027.55,     25058.45,     24779.75,     24851.10,-202.30
,Nifty Top 15 EW,      9810.90,      9788.90,      9811.75,      9704.25,      9712.70,-98.20
,Nifty100 Alpha 30,     18079.70,     18067.10,     18095.45,     17872.60,     17941.10,-138.60
,Nifty100 Enh ESG,      4918.00,      4920.55,      4931.45,      4884.05,      4890.30,-27.70
,Nifty200 Value 30,     15198.15,     15191.65,     15221.00,     15089.40,     15121.95,-76.20
,Nifty500 EW,     14719.50,     14718.95,     14730.20,     14585.80,     14638.90,-80.60
,Nifty Multi MQ 50,     42021.30,     41934.80,     42078.50,     41489.75,     41637.50,-383.80
,Nifty500 Value 50,     16176.75,     16173.35,     16199.65,     16059.35,     16119.70,-57.05
,Nifty Top 20 EW,      8629.25,      8624.15,      8644.35,      8570.00,      8577.60,-51.65
,Nifty CoreHousing,     15318.65,     15323.65,     15355.40,     15170.25,     15214.80,-103.85
