,31-Aug-2026
The Nifty witnessed an intraday movement of about 135.1 points.The closing index was 0.39 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 181717.85
, Traded Quantity (in Lakhs), 66956.63
, Number of Trades, 40308351
, Total Market Capitalisation (Rs. Crores), 49038698.05

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     16798.50,     16806.70,     16941.70,     16638.05,     16941.50,143.00
,NIFTY CONSR DURBL,     40543.45,     40503.75,     40508.95,     40058.90,     40430.95,-112.50
,NIFTY OIL AND GAS,     11067.70,     11040.80,     11104.20,     10969.00,     11103.80,36.10
,NIFTY500 MULTICAP,     16729.70,     16698.70,     16703.60,     16566.45,     16671.80,-57.90
,NIFTY LARGEMID250,     16882.90,     16849.85,     16861.15,     16718.85,     16858.65,-24.25
,NIFTY MID SELECT,     14966.70,     14941.05,     15028.60,     14799.70,     15028.60,61.90
,NIFTY TOTAL MKT,     13296.05,     13269.60,     13273.55,     13172.30,     13255.65,-40.40
,NIFTY MICROCAP250,     26460.95,     26505.20,     26599.50,     26229.85,     26540.55,79.60
,NIFTY IND DIGITAL,      8873.40,      8860.70,      8864.25,      8765.65,      8863.25,-10.15
,Nifty Tata 25 Cap,     14525.00,     14492.00,     14540.20,     14340.00,     14540.20,15.20
,Nifty MidSml Hlth,     52722.55,     52811.05,     52843.35,     52125.35,     52539.75,-182.80
,Nifty Multi Mfg,     17039.35,     17000.65,     17013.85,     16855.30,     17013.85,-25.50
,Nifty Multi Infra,     14560.10,     14539.25,     14540.30,     14407.90,     14459.05,-101.05
,BHARATBOND-APR30,      1606.52,      1606.84,      1606.93,      1606.82,      1606.82,0.30
,BHARATBOND-APR31,      1458.66,      1458.94,      1458.95,      1458.83,      1458.83,0.17
,BHARATBOND-APR32,      1324.19,      1324.44,      1324.45,      1324.31,      1324.31,0.12
,BHARATBOND-APR33,      1282.59,      1282.85,      1282.85,      1282.67,      1282.67,0.08
,Nifty Ind Defence,      9751.65,      9733.55,      9734.70,      9601.90,      9718.40,-33.25
,Nifty Ind Tourism,      7898.05,      7867.05,      7920.80,      7804.20,      7919.65,21.60
,Nifty Capital Mkt,      5507.85,      5495.10,      5502.35,      5407.00,      5485.35,-22.50
,Nifty500Momentm50,     56142.85,     56054.55,     56076.75,     55312.65,     55985.80,-157.05
,NiftyMS400 MQ 100,     52472.65,     52400.45,     52548.45,     51866.40,     52543.45,70.80
,NiftySml250MQ 100,     49194.35,     49140.05,     49158.20,     48601.75,     48904.15,-290.20
,Nifty Top 10 EW,      8641.50,      8620.50,      8635.25,      8582.50,      8606.05,-35.45
,Nifty AQL 30,     22971.25,     22927.70,     23114.45,     22772.95,     23114.45,143.20
,Nifty AQLV 30,     20192.40,     20144.55,     20212.20,     20007.40,     20212.20,19.80
,Nifty EV,      3333.00,      3325.85,      3333.50,      3299.10,      3332.75,-0.25
,Nifty HighBeta 50,      4538.35,      4524.00,      4524.35,      4459.80,      4489.80,-48.55
,Nifty New Consump,     12202.10,     12179.90,     12206.45,     12096.50,     12205.80,3.70
,Nifty Corp MAATR,     39284.90,     39182.00,     39190.45,     38542.80,     38546.85,-738.05
,Nifty Low Vol 50,     24626.90,     24572.40,     24657.50,     24413.15,     24651.40,24.50
,Nifty Mobility,     23676.10,     23619.15,     23637.10,     23476.75,     23604.05,-72.05
,Nifty Qlty LV 30,     16686.05,     16663.15,     16734.05,     16550.90,     16734.05,48.00
