,26-May-2026
The Nifty witnessed an intraday movement of about 204.35 points.The closing index was 0.49 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 127513.37
, Traded Quantity (in Lakhs), 52480.56
, Number of Trades, 35596118
, Total Market Capitalisation (Rs. Crores), 46915279.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     15704.90,     15688.95,     15750.35,     15611.35,     15663.65,-41.25
,NIFTY CONSR DURBL,     35671.05,     35650.80,     35663.35,     35189.15,     35294.95,-376.10
,NIFTY OIL AND GAS,     11524.60,     11502.60,     11576.20,     11480.65,     11515.60,-9.00
,NIFTY500 MULTICAP,     16120.20,     16123.20,     16197.75,     16088.20,     16116.55,-3.65
,NIFTY LARGEMID250,     16476.00,     16480.95,     16544.00,     16447.35,     16484.80,8.80
,NIFTY MID SELECT,     14559.90,     14572.35,     14701.05,     14547.50,     14675.60,115.70
,NIFTY TOTAL MKT,     12909.10,     12908.95,     12961.95,     12874.20,     12895.45,-13.65
,NIFTY MICROCAP250,     23631.35,     23717.00,     23964.05,     23690.85,     23800.50,169.15
,NIFTY IND DIGITAL,      7862.45,      7868.30,      7933.95,      7859.35,      7899.20,36.75
,Nifty Tata 25 Cap,     14362.95,     14359.25,     14403.25,     14264.25,     14285.15,-77.80
,Nifty MidSml Hlth,     48454.50,     48458.00,     48620.55,     48336.40,     48430.70,-23.80
,Nifty Multi Mfg,     16340.75,     16332.20,     16402.75,     16313.15,     16346.95,6.20
,Nifty Multi Infra,     14546.60,     14539.95,     14576.40,     14479.55,     14503.35,-43.25
,BHARATBOND-APR30,      1566.95,      1567.27,      1567.27,      1567.27,      1567.27,0.32
,BHARATBOND-APR31,      1420.41,      1420.68,      1420.70,      1420.68,      1420.70,0.29
,BHARATBOND-APR32,      1286.22,      1286.47,      1286.49,      1286.47,      1286.49,0.27
,BHARATBOND-APR33,      1247.28,      1247.53,      1247.54,      1247.53,      1247.54,0.26
,Nifty Ind Defence,      9219.65,      9234.00,      9287.05,      9213.60,      9244.35,24.70
,Nifty Ind Tourism,      7356.60,      7370.40,      7375.70,      7294.65,      7309.75,-46.85
,Nifty Capital Mkt,      5648.90,      5661.25,      5683.60,      5633.20,      5671.50,22.60
,Nifty500Momentm50,     53637.20,     53690.15,     53890.50,     53530.60,     53663.35,26.15
,NiftyMS400 MQ 100,     50953.65,     51006.30,     51295.65,     50912.25,     51219.60,265.95
,NiftySml250MQ 100,     45478.90,     45517.35,     45831.60,     45433.75,     45551.35,72.45
,Nifty Top 10 EW,      8669.00,      8658.05,      8677.90,      8587.00,      8597.00,-72.00
,Nifty AQL 30,     22499.00,     22510.35,     22561.25,     22401.45,     22451.25,-47.75
,Nifty AQLV 30,     20090.60,     20101.35,     20166.55,     20019.40,     20052.95,-37.65
,Nifty EV,      3050.70,      3051.45,      3080.80,      3048.60,      3068.55,17.85
,Nifty HighBeta 50,      4214.60,      4217.95,      4256.90,      4211.50,      4241.70,27.10
,Nifty New Consump,     11031.35,     11037.25,     11076.50,     10989.65,     11014.30,-17.05
,Nifty Corp MAATR,     38947.60,     38899.00,     39248.60,     38842.35,     39104.90,157.30
,Nifty Low Vol 50,     24438.05,     24440.30,     24472.35,     24319.00,     24362.75,-75.30
,Nifty Mobility,     21694.05,     21685.20,     21782.70,     21604.15,     21668.50,-25.55
,Nifty Qlty LV 30,     16315.00,     16323.15,     16372.40,     16264.45,     16293.35,-21.65
,Nifty Sml250 Q50,     24856.80,     24890.80,     25004.30,     24803.40,     24849.55,-7.25
,Nifty Top 15 EW,      9702.80,      9694.65,      9720.85,      9625.85,      9639.15,-63.65
,Nifty100 Alpha 30,     17988.80,     17999.05,     18053.45,     17934.60,     18002.40,13.60
,Nifty100 Enh ESG,      4897.40,      4896.70,      4916.55,      4879.30,      4888.60,-8.80
,Nifty200 Value 30,     15608.90,     15625.70,     15705.00,     15580.10,     15612.60,3.70
,Nifty500 EW,     14356.45,     14370.85,     14457.15,     14346.65,     14376.10,19.65
,Nifty Multi MQ 50,     42892.05,     42951.90,     43141.90,     42912.20,     43023.35,131.30
,Nifty500 Value 50,     16691.30,     16707.30,     16823.70,     16689.60,     16736.65,45.35
,Nifty Top 20 EW,      8586.70,      8578.45,      8602.25,      8529.25,      8541.35,-45.35
,Nifty CoreHousing,     15215.25,     15207.00,     15237.95,     15117.30,     15162.95,-52.30
,Nifty FinSerExBnk,     32080.30,     32134.85,     32203.35,     31947.45,     32025.25,-55.05
,Nifty Housing,     12065.65,     12059.05,     12117.40,     12027.15,     12079.00,13.35
,Nifty IPO,      2103.55,      2113.30,      2142.05,      2111.20,      2123.60,20.05
,Nifty MS Fin Serv,     22413.70,     22465.60,     22646.55,     22406.05,     22600.35,186.65
,Nifty MS Ind Cons,     17828.40,     17853.75,     17870.40,     17737.55,     17796.95,-31.45
,Nifty MS IT Telcm,      9386.45,      9402.20,      9492.00,      9375.60,      9472.35,85.90
,Nifty NonCyc Cons,     14756.60,     14761.10,     14800.65,     14695.50,     14732.35,-24.25
,Nifty Rural,     15312.90,     15320.00,     15361.85,     15262.25,     15283.60,-29.30
,Nifty Shariah 25,      7841.65,      7842.10,      7874.15,      7834.80,      7850.80,9.15
,Nifty Trans Logis,     23989.15,     23979.40,     24124.85,     23892.90,     23989.75,0.60
,Nifty50 Shariah,      4343.20,      4340.35,      4363.35,      4337.10,      4343.95,0.75
,Nifty500 LMS Eql,     17932.70,     17941.80,     18033.60,     17914.85,     17949.20,16.50
,Nifty500 Shariah,      6908.45,      6909.85,      6938.95,      6902.15,      6918.75,10.30
,Nifty500 Qlty50,     19791.60,     19814.95,     19918.00,     19794.55,     19861.20,69.60
