,16-Sep-2026
The Nifty witnessed an intraday movement of about 168.65 points.The closing index was 0.43 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 110767.64
, Traded Quantity (in Lakhs), 48405.95
, Number of Trades, 43673752
, Total Market Capitalisation (Rs. Crores), 47229058.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY CONSR DURBL,     37961.50,     37967.10,     38153.70,     37615.00,     37985.95,24.45
,NIFTY OIL AND GAS,     10796.40,     10836.95,     10900.85,     10781.35,     10872.45,76.05
,NIFTY500 MULTICAP,     16010.45,     16036.40,     16080.40,     15865.10,     16034.80,24.35
,NIFTY LARGEMID250,     16087.45,     16123.95,     16171.80,     15978.95,     16120.65,33.20
,NIFTY MID SELECT,     14266.35,     14336.30,     14366.30,     14133.30,     14288.45,22.10
,NIFTY TOTAL MKT,     12713.50,     12739.15,     12776.70,     12626.10,     12742.05,28.55
,NIFTY MICROCAP250,     25780.30,     25745.30,     25787.15,     25131.05,     25743.90,-36.40
,NIFTY IND DIGITAL,      8540.20,      8594.75,      8601.90,      8448.45,      8505.75,-34.45
,Nifty Tata 25 Cap,     13934.65,     13977.30,     13995.40,     13830.10,     13876.35,-58.30
,Nifty MidSml Hlth,     51478.40,     51452.65,     51698.20,     50520.25,     51188.00,-290.40
,Nifty Multi Mfg,     16149.15,     16159.05,     16240.60,     16006.15,     16168.30,19.15
,Nifty Multi Infra,     13960.00,     13978.95,     14010.55,     13826.40,     13937.75,-22.25
,BHARATBOND-APR30,      1608.58,      1608.90,      1608.97,      1608.62,      1608.97,0.39
,BHARATBOND-APR31,      1456.95,      1457.23,      1457.25,      1457.02,      1457.02,0.07
,BHARATBOND-APR32,      1320.33,      1320.59,      1320.60,      1320.59,      1320.60,0.27
,BHARATBOND-APR33,      1279.92,      1280.18,      1280.18,      1280.18,      1280.18,0.26
,Nifty Ind Defence,      9144.15,      9145.90,      9178.80,      8936.05,      9129.10,-15.05
,Nifty Ind Tourism,      7551.35,      7561.10,      7581.50,      7451.60,      7538.25,-13.10
,Nifty Capital Mkt,      5255.60,      5238.25,      5255.40,      5142.95,      5219.45,-36.15
,Nifty500Momentm50,     53079.70,     53014.70,     53171.20,     52129.50,     53075.20,-4.50
,NiftyMS400 MQ 100,     50066.60,     50031.15,     50181.20,     49198.40,     50001.70,-64.90
,NiftySml250MQ 100,     47787.60,     47722.20,     47878.70,     46721.30,     47706.05,-81.55
,Nifty Top 10 EW,      8320.60,      8359.55,      8377.55,      8309.10,      8328.90,8.30
,Nifty AQL 30,     21853.20,     21882.85,     22054.60,     21814.50,     21978.10,124.90
,Nifty AQLV 30,     19344.45,     19385.70,     19514.10,     19335.35,     19460.35,115.90
,Nifty EV,      3116.65,      3114.60,      3138.30,      3090.85,      3118.10,1.45
,Nifty HighBeta 50,      4238.95,      4249.05,      4265.35,      4186.10,      4237.30,-1.65
,Nifty New Consump,     11548.45,     11572.10,     11621.05,     11451.70,     11587.50,39.05
