,25-Jun-2026
The Nifty witnessed an intraday movement of about 222.6 points.The closing index was 0.14 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 136051.69
, Traded Quantity (in Lakhs), 53226.65
, Number of Trades, 37874452
, Total Market Capitalisation (Rs. Crores), 47479950.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     15954.00,     15968.85,     16099.20,     15943.50,     15963.40,9.40
,NIFTY CONSR DURBL,     36581.45,     36688.25,     36750.55,     36297.15,     36337.55,-243.90
,NIFTY OIL AND GAS,     11241.60,     11305.00,     11315.70,     11116.00,     11143.30,-98.30
,NIFTY500 MULTICAP,     16365.95,     16435.35,     16452.70,     16321.80,     16337.45,-28.50
,NIFTY LARGEMID250,     16566.40,     16636.15,     16664.30,     16517.10,     16532.75,-33.65
,NIFTY MID SELECT,     14516.40,     14590.30,     14631.25,     14416.15,     14434.55,-81.85
,NIFTY TOTAL MKT,     13048.30,     13104.50,     13136.15,     13026.65,     13038.00,-10.30
,NIFTY MICROCAP250,     25111.80,     25255.80,     25329.80,     24923.35,     24955.40,-156.40
,NIFTY IND DIGITAL,      7823.05,      7864.20,      7885.95,      7754.05,      7764.60,-58.45
,Nifty Tata 25 Cap,     14063.95,     14141.45,     14157.80,     14061.40,     14075.45,11.50
,Nifty MidSml Hlth,     49201.00,     49364.75,     49445.90,     48910.50,     48968.90,-232.10
,Nifty Multi Mfg,     16228.70,     16285.15,     16367.35,     16224.65,     16240.55,11.85
,Nifty Multi Infra,     14714.50,     14778.90,     14811.05,     14657.15,     14682.30,-32.20
,BHARATBOND-APR30,      1602.84,      1603.16,      1603.16,      1602.99,      1602.99,0.15
,BHARATBOND-APR31,      1457.07,      1457.35,      1457.36,      1457.35,      1457.36,0.29
,BHARATBOND-APR32,      1323.09,      1323.35,      1323.39,      1323.35,      1323.39,0.30
,BHARATBOND-APR33,      1281.76,      1282.02,      1282.02,      1282.01,      1282.01,0.25
,Nifty Ind Defence,      9462.35,      9490.70,      9527.10,      9379.20,      9396.00,-66.35
,Nifty Ind Tourism,      7982.55,      8022.00,      8096.00,      8018.45,      8026.80,44.25
,Nifty Capital Mkt,      5455.45,      5463.85,      5498.75,      5429.85,      5437.00,-18.45
,Nifty500Momentm50,     54239.90,     54486.95,     54807.15,     54273.30,     54320.55,80.65
,NiftyMS400 MQ 100,     50970.05,     51146.40,     51263.50,     50734.50,     50781.75,-188.30
,NiftySml250MQ 100,     46530.80,     46651.20,     46708.80,     46440.60,     46479.10,-51.70
,Nifty Top 10 EW,      8675.20,      8723.10,      8756.70,      8662.35,      8672.20,-3.00
,Nifty AQL 30,     22542.75,     22614.00,     22813.35,     22605.40,     22638.25,95.50
,Nifty AQLV 30,     19988.20,     20087.35,     20175.65,     19997.35,     20019.85,31.65
,Nifty EV,      3104.95,      3122.20,      3171.85,      3120.95,      3147.05,42.10
,Nifty HighBeta 50,      4313.55,      4328.95,      4343.10,      4288.15,      4296.20,-17.35
,Nifty New Consump,     11353.50,     11404.50,     11474.55,     11377.30,     11387.55,34.05
,Nifty Corp MAATR,     38457.35,     38609.95,     38823.05,     38504.80,     38552.70,95.35
,Nifty Low Vol 50,     24326.05,     24418.85,     24532.25,     24345.10,     24365.50,39.45
,Nifty Mobility,     21986.20,     22095.00,     22495.10,     22095.00,     22307.80,321.60
,Nifty Qlty LV 30,     16258.05,     16336.25,     16432.55,     16290.20,     16307.75,49.70
,Nifty Sml250 Q50,     25218.50,     25320.00,     25353.30,     25021.55,     25053.40,-165.10
,Nifty Top 15 EW,      9760.00,      9814.55,      9904.00,      9801.85,      9810.90,50.90
,Nifty100 Alpha 30,     18059.25,     18107.65,     18224.90,     18064.20,     18079.70,20.45
,Nifty100 Enh ESG,      4918.25,      4940.40,      4961.25,      4914.65,      4918.00,-0.25
,Nifty200 Value 30,     15339.65,     15395.65,     15404.75,     15174.95,     15198.15,-141.50
,Nifty500 EW,     14777.90,     14841.50,     14856.45,     14700.40,     14719.50,-58.40
,Nifty Multi MQ 50,     42098.75,     42217.65,     42451.65,     41978.20,     42021.30,-77.45
,Nifty500 Value 50,     16352.05,     16393.95,     16399.90,     16154.45,     16176.75,-175.30
,Nifty Top 20 EW,      8613.25,      8650.85,      8706.00,      8622.25,      8629.25,16.00
,Nifty CoreHousing,     15369.25,     15441.35,     15492.95,     15290.30,     15318.65,-50.60
,Nifty FinSerExBnk,     31744.20,     31879.75,     32013.20,     31574.60,     31618.30,-125.90
,Nifty Housing,     12050.30,     12097.95,     12154.65,     12018.30,     12035.95,-14.35
,Nifty IPO,      2271.20,      2288.20,      2290.35,      2257.50,      2260.70,-10.50
,Nifty MS Fin Serv,     22319.20,     22404.15,     22462.15,     22155.55,     22177.55,-141.65
,Nifty MS Ind Cons,     18048.65,     18126.65,     18169.60,     17913.90,     17941.85,-106.80
,Nifty MS IT Telcm,      9462.25,      9519.80,      9553.75,      9427.30,      9445.10,-17.15
,Nifty NonCyc Cons,     15022.05,     15063.20,     15120.65,     15009.65,     15020.65,-1.40
,Nifty Rural,     15274.90,     15343.40,     15448.55,     15322.75,     15335.00,60.10
,Nifty Shariah 25,      7713.20,      7756.95,      7795.50,      7714.65,      7724.25,11.05
,Nifty Trans Logis,     24340.45,     24455.80,     24965.80,     24455.80,     24752.70,412.25
,Nifty50 Shariah,      4185.25,      4204.95,      4215.95,      4165.00,      4170.35,-14.90
,Nifty500 LMS Eql,     18279.45,     18356.90,     18375.25,     18208.95,     18228.20,-51.25
,Nifty500 Shariah,      6877.30,      6906.85,      6916.55,      6843.00,      6851.45,-25.85
,Nifty500 Qlty50,     19579.50,     19633.65,     19697.50,     19500.45,     19522.55,-56.95
,Nifty500 LowVol50,     21927.10,     22015.30,     22061.60,     21855.25,     21870.50,-56.60
,Nifty500 MQVLv50,     31065.35,     31169.85,     31263.50,     30978.85,     31009.75,-55.60
,Nifty500 Flexicap,      9677.35,      9720.20,      9737.30,      9619.55,      9627.80,-49.55
,Nifty TMMQ 50,     44133.00,     44252.10,     44471.65,     43956.70,     44000.50,-132.50
,Nifty FPI 150,      1547.90,      1554.55,      1558.75,      1544.65,      1546.10,-1.80
,Nifty SME Emerge,     14084.50,     14095.15,     14143.50,     14024.70,     14045.40,-39.10
,Nifty Internet,      1249.00,      1251.40,      1256.00,      1242.00,      1244.40,-4.60
,Nifty Chemicals,     29779.00,     29960.10,     29990.35,     29518.65,     29587.60,-191.40
,Nifty Waves,      1943.65,      1956.10,      1956.10,      1932.60,      1936.45,-7.20
,Nifty InfraLog,     12326.15,     12380.80,     12425.45,     12306.05,     12320.00,-6.15
,Nifty500 Health,     20625.40,     20665.65,     20797.50,     20620.55,     20642.45,17.05
,Nifty RailwaysPSU,      2913.45,      2913.60,      2929.15,      2889.85,      2893.95,-19.50
,NiftyConglomerate,     14722.10,     14782.05,     14856.15,     14719.55,     14736.60,14.50
,Nifty MidSmall 50 50,     20464.05,     20550.55,     20572.70,     20338.35,     20363.80,-100.25
,Nifty Cement,     15066.05,     15131.55,     15266.45,     14998.15,     15035.00,-31.05
,Nifty Smallcap 500,     20216.15,     20311.95,     20334.85,     20092.70,     20118.45,-97.70
,Nifty REITs Realty,      1831.70,      1832.95,      1848.35,      1832.00,      1835.70,4.00
,India VIX,13.3850,13.3850,13.3850,12.4325,13.0500,-0.3350

,ADVANCES,1281
,DECLINES,2174
,UNCHANGED,106

,Total securities that have hit their price bands today,197

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,HDFCBANK,EQ,       793.20,       796.30,0.39,3733.62
,INDIGO,EQ,      5207.20,      5450.00,4.66,2785.80
,ICICIBANK,EQ,      1373.60,      1387.50,1.01,2388.17
,M&M,EQ,      3064.50,      3182.20,3.84,1697.12
,SBIN,EQ,      1034.60,      1045.40,1.04,1678.44
,RELIANCE,EQ,      1313.60,      1318.10,0.34,1676.68
,INFY,EQ,      1056.60,      1041.20,-1.46,1662.85
,SILVERBEES,EQ,       213.35,       206.57,-3.18,1652.62
,BHARTIARTL,EQ,      1877.30,      1850.70,-1.42,1585.92
,RELAXO,EQ,       368.95,       413.55,12.09,1393.55
,MARUTI,EQ,     13248.00,     13745.00,3.75,1349.26
,LT,EQ,      4181.70,      4216.40,0.83,1314.25
,RAMCOSYS,EQ,       673.80,       709.80,5.34,1280.46
,BAJFINANCE,EQ,       990.95,       980.40,-1.06,1269.64
,HINDALCO,EQ,       976.60,       953.20,-2.40,1166.05
,OFSS,EQ,     10468.50,     10974.50,4.83,1162.25
,MOTHERSON,EQ,       144.58,       151.71,4.93,1130.64
,AXISBANK,EQ,      1384.50,      1377.20,-0.53,1107.84
,BSE,EQ,      3886.60,      3872.10,-0.37,1102.57
,VEDL,EQ,       282.55,       273.45,-3.22,1071.86
,TCS,EQ,      2109.00,      2094.70,-0.68,1003.57
,ASHOKLEY,EQ,       154.91,       160.68,3.72,975.00
,HSCL,EQ,       663.00,       678.10,2.28,966.39
,NATIONALUM,EQ,       348.55,       332.15,-4.71,938.43
,MSUMI,EQ,        37.82,        41.26,9.10,933.70

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDIGO,EQ,      5450.00,      5207.20,4.66
,MAXHEALTH,EQ,      1123.35,      1081.70,3.85
,M&M,EQ,      3182.20,      3064.50,3.84
,MARUTI,EQ,     13745.00,     13248.00,3.75
,TATACONSUM,EQ,      1131.30,      1098.10,3.02

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       233.10,       240.00,-2.88
,POWERGRID,EQ,       283.90,       290.90,-2.41
,HINDALCO,EQ,       953.20,       976.60,-2.40
,TECHM,EQ,      1437.10,      1461.60,-1.68
,BEL,EQ,       407.20,       413.55,-1.54

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,1003IIFL29,NC,      1004.75,                     5023.75,5
,1003ISFL28,N4,      1021.85,                   129409.06,128
,1003SCL30A,NV,       714.20,                     7142.00,10
,1003SCL31A,N1,      1020.60,                   357818.00,351
,1015ECL29,NR,      1010.11,                   201758.01,199
,1015SCL29,ZL,      1013.60,                    73401.00,73
,1018GS2026,GS,       103.13,                     1038.23,10
,1025SCL34,Z8,      1013.50,                    68803.90,68
,1025SCL34B,N1,      1025.00,                   205100.00,200
,1025VCCL28,N0,     95155.48,                    95155.48,1
,1039UCL26,NE,      1024.00,                    30720.00,30
,1040UCL27B,N1,      1004.04,                    55134.00,55
,1050NFL26,N7,      1004.90,                   100501.00,100
,105IIFL29,N7,      1092.00,                    32760.00,30
,1060ECL29,NS,      1079.00,                    70135.00,65
,1075SCFL34,Z6,      1015.00,                    30450.00,30
,1075SCL33A,N2,       822.70,                    16454.00,20
,10CAGL27,N5,      1020.05,                    14280.70,14
,10IIFL28A,NE,      1028.90,                   128556.00,125
,10IIFL29,N6,      1020.00,                    11220.00,11
,10NIDO26,N6,      1090.00,                    82840.00,76
,1102NFL26,N8,      1102.20,                    60621.00,55
,1119NFL27,ND,      1005.00,                   111128.00,111
,111ESFB31,N0,    101750.00,                   101750.00,1
,113ESFB31,N0,    102011.00,                   102011.00,1
,115VCCL28,N0,     99000.00,                   198000.00,2
,115VCCL31A,N0,      9849.00,                   226527.00,23
,1225IFL28,N0,      8650.00,                   113000.00,13
,12AFIL28,N0,      9949.99,                   266715.87,27
,12VCCL29B,N0,     98900.00,                    98900.00,1
,20MICRONS,EQ,       200.08,                 54378659.48,267243
,21STCENMGM,EQ,        33.20,                    97134.12,2935
,360ONE,EQ,      1085.40,                774179493.40,708654
,364D030926,TB,        98.09,                    19618.00,200
,364D031226,TB,        97.25,                    19450.00,200
,364D060527,TB,        94.30,                     9430.00,100
,364D060826,TB,        98.70,                    19740.00,200
,364D061126,TB,        97.08,                    19416.00,200
,364D070127,TB,        96.17,                     9617.00,100
,364D080427,TB,        94.75,                     9475.00,100
,364D081026,TB,        97.57,                    19514.00,200
,364D150127,TB,        96.04,                    19208.00,200
,364D190227,TB,        95.48,                    19096.00,200
,364D210127,TB,        96.30,                    38458.00,400
,3BBLACKBIO,EQ,      1159.70,                  9648059.70,8297
,3IINFOLTD,EQ,        17.29,                  1705347.08,98640
,3MINDIA,EQ,     33380.00,                 50577650.00,1511
,3PLAND,EQ,        31.64,                   111673.74,3506
,574GS2026,GS,       100.59,                      301.60,3
,591GS2028,GS,        99.00,                     9603.00,97
,5PAISA,EQ,       353.60,                 25022938.75,70508
,601GS2028,GS,       100.50,                    62310.00,620
,603GS2029,GS,       102.15,                   111565.00,1100
,610GS2031,GS,       105.00,                      105.00,1
,622GS2035,GS,        95.91,                   191820.00,2000
,636GS2031,GS,       100.01,                    50005.00,500
,63MOONS,EQ,       669.50,                 84254944.55,126222
,648GS2035,GS,        98.35,                   394173.60,3986
,654GS2032,GS,       100.61,                    18109.80,180
,664GS2035,GS,        97.50,                    29250.00,300
,667GS2050,GS,        92.80,                     4732.98,51
,668GS2040,GS,        99.32,                  1100027.30,11100
,676GS2061,GS,        92.77,                 17188383.41,185553
,68GS2060,GS,        90.25,                     4332.00,48
,690GS2065,GS,        93.61,                  9904185.83,105793
,694GS2036,GS,       100.50,                   110526.00,1100
,695GS2061,GS,        93.80,                   113467.00,1212
