,22-Sep-2026
The Nifty witnessed an intraday movement of about 203.25 points.The closing index was 0.36 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 104968.66
, Traded Quantity (in Lakhs), 49200.56
, Number of Trades, 38850535
, Total Market Capitalisation (Rs. Crores), 47988304.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     16796.90,     16822.65,     16844.25,     16679.75,     16720.00,-76.90
,NIFTY CONSR DURBL,     38207.30,     38258.60,     38359.05,     37942.80,     37962.20,-245.10
,NIFTY OIL AND GAS,     11006.25,     11023.35,     11046.40,     10899.05,     10958.90,-47.35
,NIFTY500 MULTICAP,     16301.15,     16333.95,     16358.75,     16231.05,     16262.05,-39.10
,NIFTY LARGEMID250,     16374.90,     16405.10,     16431.95,     16298.95,     16334.35,-40.55
,NIFTY MID SELECT,     14504.25,     14528.20,     14586.10,     14471.65,     14544.30,40.05
,NIFTY TOTAL MKT,     12932.70,     12958.30,     12978.15,     12875.80,     12899.65,-33.05
,NIFTY MICROCAP250,     26342.80,     26453.85,     26595.75,     26413.25,     26451.90,109.10
,NIFTY IND DIGITAL,      8556.90,      8562.65,      8581.75,      8509.75,      8568.00,11.10
,Nifty Tata 25 Cap,     13915.05,     13945.30,     13966.75,     13830.85,     13860.60,-54.45
,Nifty MidSml Hlth,     53096.00,     53185.30,     53278.05,     52739.80,     52838.85,-257.15
,Nifty Multi Mfg,     16521.05,     16557.95,     16594.30,     16417.60,     16456.30,-64.75
,Nifty Multi Infra,     14225.10,     14258.65,     14278.25,     14137.90,     14170.25,-54.85
,BHARATBOND-APR30,      1610.50,      1610.82,      1610.96,      1610.72,      1610.72,0.22
,BHARATBOND-APR31,      1458.61,      1458.89,      1458.91,      1458.89,      1458.91,0.30
,BHARATBOND-APR32,      1321.91,      1322.17,      1322.18,      1322.17,      1322.18,0.27
,BHARATBOND-APR33,      1281.03,      1281.29,      1281.29,      1281.29,      1281.29,0.26
,Nifty Ind Defence,      9416.90,      9443.15,      9518.85,      9439.85,      9471.55,54.65
,Nifty Ind Tourism,      7864.10,      7906.30,      7918.15,      7852.55,      7884.75,20.65
,Nifty Capital Mkt,      5255.85,      5263.40,      5307.65,      5262.30,      5281.65,25.80
,Nifty500Momentm50,     54502.15,     54697.55,     54963.35,     54236.25,     54263.70,-238.45
,NiftyMS400 MQ 100,     51096.95,     51228.85,     51354.60,     50857.35,     50959.10,-137.85
,NiftySml250MQ 100,     48960.30,     49107.80,     49261.30,     48708.60,     48786.90,-173.40
,Nifty Top 10 EW,      8334.05,      8342.25,      8351.95,      8271.00,      8281.05,-53.00
,Nifty AQL 30,     22277.35,     22333.95,     22364.30,     22154.40,     22203.70,-73.65
,Nifty AQLV 30,     19627.15,     19668.85,     19692.60,     19512.30,     19555.60,-71.55
,Nifty EV,      3156.90,      3163.75,      3168.00,      3136.65,      3140.55,-16.35
,Nifty HighBeta 50,      4340.45,      4351.15,      4365.80,      4317.15,      4335.15,-5.30
,Nifty New Consump,     11776.60,     11808.80,     11833.05,     11742.60,     11790.55,13.95
,Nifty Corp MAATR,     37610.45,     37692.45,     37777.25,     37398.75,     37464.75,-145.70
,Nifty Low Vol 50,     23881.20,     23926.25,     23950.15,     23756.00,     23790.70,-90.50
,Nifty Mobility,     22835.40,     22901.40,     22964.85,     22782.60,     22867.40,32.00
,Nifty Qlty LV 30,     16175.20,     16211.80,     16225.90,     16081.30,     16110.05,-65.15
