SECTOR_SLUG,SECTOR_NAME,EXCHANGE,SYMBOL,COMPANY_NAME,MARKET_CAP_CR,PE
"agriculture","Agriculture","NSE","BBTC","Bombay Burmah Trdg.","10,477","8.12"
"agriculture","Agriculture","NSE","JKPAPER","JK Paper","7,440","22.94"
"agriculture","Agriculture","NSE","WSTCSTPAPR","West Coast PaperMill","4,337","18.88"
"agriculture","Agriculture","NSE","KSCL","Kaveri Seed","3,837","15.37"
"agriculture","Agriculture","NSE","JUBLCPL","Jubilant Agri & Con.","3,504","26.98"
"agriculture","Agriculture","NSE","VENKEYS","Venky's (India)","2,362","13.62"
"agriculture","Agriculture","BSE","KSSMART","KS Smart Techno.","1,965","--"
"agriculture","Agriculture","NSE","SESHAPAPER","Seshasayee Paper","1,484","14.99"
"agriculture","Agriculture","NSE","ANDHRAPAP","Andhra Paper","1,260","45.62"
"agriculture","Agriculture","BSE","META","String Metaverse","1,139","9.39"
"agriculture","Agriculture","NSE","TNPL","TN Newsprints &Paper","1,069","4.1"
"agriculture","Agriculture","NSE","FRESHARA","Freshara Agro Export","1,033","28.53"
"agriculture","Agriculture","NSE","BSHSL","Bombay Super Hybrid","931","32.43"
"agriculture","Agriculture","NSE","PDMJEPAPER","Pudumjee Paper Prod.","900","9.88"
"agriculture","Agriculture","BSE","NRAIL","NR Agarwal Inds.","848","13.65"
"agriculture","Agriculture","BSE","APIS","Apis India","744","29.38"
"agriculture","Agriculture","BSE","EMAMIPAP","Emami Paper Mills","681","7.27"
"agriculture","Agriculture","NSE","KUANTUM","Kuantum Papers","663","18.35"
"agriculture","Agriculture","BSE","SATIA","Satia Industries","609","--"
"agriculture","Agriculture","BSE","PRABHATAM","Prabhatam Infra Vent","585","--"
"agriculture","Agriculture","BSE","SUBAM","Subam Papers","569","52.76"
"agriculture","Agriculture","BSE","MEGAMONT","Megamont","517","--"
"agriculture","Agriculture","NSE","RAMANEWS","Shree Rama News","488","--"
"agriculture","Agriculture","NSE","MGEL","Mangalam Global Ent.","477","10.11"
"agriculture","Agriculture","NSE","BBTCL","B&B Triplewall Cont.","466","14.0"
"agriculture","Agriculture","BSE","TRANSCHEM","Transchem","440","65.41"
"agriculture","Agriculture","NSE","SHEETAL","Sheetal Universal","408","35.43"
"agriculture","Agriculture","BSE","TIERRA","Tierra Agrotech","374","--"
"agriculture","Agriculture","NSE","ORIENTPPR","Orient Paper & Inds.","365","--"
"agriculture","Agriculture","NSE","KOTYARK","Kotyark Industries","364","19.37"
"agriculture","Agriculture","NSE","HARRMALAYA","Harrisons Malayalam","355","13.1"
"agriculture","Agriculture","BSE","PAKKA","Pakka","351","9.36"
"agriculture","Agriculture","NSE","GENUSPAPER","Genus Paper & Boards","319","33.82"
"agriculture","Agriculture","BSE","RUCHIRA","Ruchira Papers","314","9.41"
"agriculture","Agriculture","NSE","NATHBIOGEN","Nath Bio-Genes (I)","293","7.99"
"agriculture","Agriculture","BSE","SAPPL","Shree AjitPulp&Paper","257","6.19"
"agriculture","Agriculture","NSE","WORTHPERI","Worth Peripherals","244","15.87"
"agriculture","Agriculture","NSE","STARPAPER","Star Paper Mills","240","7.75"
"agriculture","Agriculture","BSE","SIPAPER","South India Paper","220","14.93"
"agriculture","Agriculture","BSE","SCAGRO","SC Agrotech","204","15.85"
"agriculture","Agriculture","NSE","SHREYANIND","Shreyans Industries","182","--"
"agriculture","Agriculture","NSE","NIKITA","Nikita Greentech","176","15.85"
"agriculture","Agriculture","BSE","WESTERNBIO","Ecoboard Industries","174","--"
"agriculture","Agriculture","BSE","INDOUS","Indo US Bio-Tech","163","14.2"
"agriculture","Agriculture","NSE","RAJPUTANA","Rajputana Biodiesel","152","16.81"
"agriculture","Agriculture","BSE","MSL","Mangalam Seeds","149","17.96"
"agriculture","Agriculture","NSE","AARADHYA","Aaradhya Disposal","142","23.48"
"agriculture","Agriculture","BSE","JKAGRI","JK Agri Genetics","136","--"
"agriculture","Agriculture","BSE","KANELOIL","Kanel Industries","135","--"
"agriculture","Agriculture","NSE","SHEEL","Sheel Biotech","131","11.17"
"agriculture","Agriculture","NSE","MAGNUM","Magnum Ventures","130","--"
"agriculture","Agriculture","BSE","SKPMIL","Shree Krishna Papers","128","5.15"
"agriculture","Agriculture","BSE","RDGAIL","Rukmani Devi Garg","124","13.99"
"agriculture","Agriculture","NSE","OSWALSEEDS","Shree Oswal Seeds","109","8.93"
"agriculture","Agriculture","BSE","SCOOBEEDAY","Scoobee Day Garments","107","--"
