SECTOR_SLUG,SECTOR_NAME,EXCHANGE,SYMBOL,COMPANY_NAME,MARKET_CAP_CR,PE
"agriculture","Agriculture","NSE","BBTC","Bombay Burmah Trdg.","10,241","7.94"
"agriculture","Agriculture","NSE","JKPAPER","JK Paper","6,885","21.23"
"agriculture","Agriculture","NSE","WSTCSTPAPR","West Coast PaperMill","4,027","17.53"
"agriculture","Agriculture","NSE","KSCL","Kaveri Seed","4,008","16.06"
"agriculture","Agriculture","NSE","JUBLCPL","Jubilant Agri & Con.","3,625","27.92"
"agriculture","Agriculture","NSE","VENKEYS","Venky's (India)","2,152","12.41"
"agriculture","Agriculture","BSE","KSSMART","KS Smart Techno.","1,807","--"
"agriculture","Agriculture","NSE","SESHAPAPER","Seshasayee Paper","1,462","14.76"
"agriculture","Agriculture","NSE","ANDHRAPAP","Andhra Paper","1,183","42.82"
"agriculture","Agriculture","NSE","TNPL","TN Newsprints &Paper","976","3.74"
"agriculture","Agriculture","BSE","META","String Metaverse","963","7.93"
"agriculture","Agriculture","NSE","BSHSL","Bombay Super Hybrid","919","32.02"
"agriculture","Agriculture","BSE","NRAIL","NR Agarwal Inds.","892","14.35"
"agriculture","Agriculture","NSE","PDMJEPAPER","Pudumjee Paper Prod.","839","9.21"
"agriculture","Agriculture","NSE","FRESHARA","Freshara Agro Export","835","23.04"
"agriculture","Agriculture","BSE","APIS","Apis India","763","30.14"
"agriculture","Agriculture","NSE","KUANTUM","Kuantum Papers","704","19.48"
"agriculture","Agriculture","BSE","EMAMIPAP","Emami Paper Mills","665","7.1"
"agriculture","Agriculture","BSE","SUBAM","Subam Papers","604","56.04"
"agriculture","Agriculture","BSE","SATIA","Satia Industries","597","--"
"agriculture","Agriculture","BSE","PRABHATAM","Prabhatam Infra Vent","585","--"
"agriculture","Agriculture","NSE","BBTCL","B&B Triplewall Cont.","503","24.35"
"agriculture","Agriculture","NSE","MGEL","Mangalam Global Ent.","477","10.1"
"agriculture","Agriculture","BSE","MEGAMONT","Megamont","461","--"
"agriculture","Agriculture","NSE","RAMANEWS","Shree Rama News","461","--"
"agriculture","Agriculture","NSE","KOTYARK","Kotyark Industries","458","24.42"
"agriculture","Agriculture","BSE","TRANSCHEM","Transchem","390","58.07"
"agriculture","Agriculture","NSE","SHEETAL","Sheetal Universal","383","33.25"
"agriculture","Agriculture","NSE","HARRMALAYA","Harrisons Malayalam","367","13.54"
"agriculture","Agriculture","NSE","ORIENTPPR","Orient Paper & Inds.","360","--"
"agriculture","Agriculture","BSE","PAKKA","Pakka","353","9.42"
"agriculture","Agriculture","BSE","RUCHIRA","Ruchira Papers","310","9.32"
"agriculture","Agriculture","NSE","NATHBIOGEN","Nath Bio-Genes (I)","296","8.09"
"agriculture","Agriculture","NSE","GENUSPAPER","Genus Paper & Boards","291","30.82"
"agriculture","Agriculture","BSE","TIERRA","Tierra Agrotech","291","--"
"agriculture","Agriculture","BSE","SAPPL","Shree AjitPulp&Paper","250","8.3"
"agriculture","Agriculture","BSE","SCAGRO","SC Agrotech","243","18.87"
"agriculture","Agriculture","NSE","WORTHPERI","Worth Peripherals","238","15.52"
"agriculture","Agriculture","NSE","STARPAPER","Star Paper Mills","232","7.5"
"agriculture","Agriculture","BSE","SIPAPER","South India Paper","198","13.41"
"agriculture","Agriculture","NSE","NIKITA","Nikita Greentech","180","16.12"
"agriculture","Agriculture","NSE","SHREYANIND","Shreyans Industries","180","--"
"agriculture","Agriculture","BSE","INDOUS","Indo US Bio-Tech","164","14.28"
"agriculture","Agriculture","NSE","RAJPUTANA","Rajputana Biodiesel","151","16.69"
"agriculture","Agriculture","BSE","MSL","Mangalam Seeds","149","17.93"
"agriculture","Agriculture","BSE","WESTERNBIO","Ecoboard Industries","147","--"
"agriculture","Agriculture","BSE","SKPMIL","Shree Krishna Papers","141","5.67"
"agriculture","Agriculture","BSE","JKAGRI","JK Agri Genetics","135","--"
"agriculture","Agriculture","NSE","MAGNUM","Magnum Ventures","131","--"
"agriculture","Agriculture","NSE","SHEEL","Sheel Biotech","130","11.08"
"agriculture","Agriculture","BSE","RDGAIL","Rukmani Devi Garg","129","14.54"
"agriculture","Agriculture","BSE","SCOOBEEDAY","Scoobee Day Garments","116","--"
"agriculture","Agriculture","NSE","NARMADA","Narmada Agrobase","115","29.88"
"agriculture","Agriculture","NSE","OSWALSEEDS","Shree Oswal Seeds","111","9.1"
