SECTOR_SLUG,SECTOR_NAME,EXCHANGE,SYMBOL,COMPANY_NAME,MARKET_CAP_CR,PE
"agriculture","Agriculture","NSE","BBTC","Bombay Burmah Trdg.","10,291","7.84"
"agriculture","Agriculture","NSE","JKPAPER","JK Paper","7,577","23.22"
"agriculture","Agriculture","NSE","WSTCSTPAPR","West Coast PaperMill","4,970","21.46"
"agriculture","Agriculture","NSE","KSCL","Kaveri Seed","3,626","14.61"
"agriculture","Agriculture","NSE","JUBLCPL","Jubilant Agri & Con.","3,192","25.84"
"agriculture","Agriculture","NSE","VENKEYS","Venky's (India)","2,406","13.76"
"agriculture","Agriculture","BSE","KSSMART","KS Smart Techno.","1,888","--"
"agriculture","Agriculture","NSE","SESHAPAPER","Seshasayee Paper","1,577","15.76"
"agriculture","Agriculture","NSE","ANDHRAPAP","Andhra Paper","1,436","51.11"
"agriculture","Agriculture","BSE","NRAIL","NR Agarwal Inds.","1,133","18.09"
"agriculture","Agriculture","BSE","META","String Metaverse","1,019","8.19"
"agriculture","Agriculture","NSE","TNPL","TN Newsprints &Paper","989","3.84"
"agriculture","Agriculture","NSE","FRESHARA","Freshara Agro Export","961","26.34"
"agriculture","Agriculture","NSE","PDMJEPAPER","Pudumjee Paper Prod.","947","10.27"
"agriculture","Agriculture","NSE","BSHSL","Bombay Super Hybrid","920","31.91"
"agriculture","Agriculture","NSE","KUANTUM","Kuantum Papers","744","19.93"
"agriculture","Agriculture","BSE","APIS","Apis India","721","28.49"
"agriculture","Agriculture","BSE","EMAMIPAP","Emami Paper Mills","695","7.38"
"agriculture","Agriculture","BSE","SATIA","Satia Industries","676","--"
"agriculture","Agriculture","BSE","MEGAMONT","Megamont","622","--"
"agriculture","Agriculture","BSE","SUBAM","Subam Papers","616","54.62"
"agriculture","Agriculture","BSE","PRABHATAM","Prabhatam Infra Vent","614","--"
"agriculture","Agriculture","NSE","MGEL","Mangalam Global Ent.","518","10.76"
"agriculture","Agriculture","BSE","TRANSCHEM","Transchem","506","74.63"
