Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-JUN-2026,503349,5690.00,6025.00,-0.0572,0.0256,0.0259,0.4948
01-JUN-2026,503622,7.71,7.71,0.0000,0.0019,0.0019,0.0363
01-JUN-2026,503624,8.39,8.25,0.0168,0.0415,0.0414,0.7909
01-JUN-2026,503626,14.03,14.03,0.0000,0.0080,0.0079,0.1509
01-JUN-2026,503635,249.10,255.00,-0.0234,0.0314,0.0314,0.5999
01-JUN-2026,503639,58.91,57.76,0.0197,0.0342,0.0342,0.6534
01-JUN-2026,503641,1.86,1.81,0.0272,0.0381,0.0381,0.7279
01-JUN-2026,503657,12.91,13.00,-0.0069,0.0308,0.0307,0.5865
01-JUN-2026,503659,95.48,95.48,0.0000,0.0287,0.0286,0.5464
01-JUN-2026,503663,1.20,1.19,0.0084,0.0356,0.0355,0.6782
01-JUN-2026,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,503675,1.14,1.15,-0.0087,0.0405,0.0404,0.7718
01-JUN-2026,503685,15.30,15.20,0.0066,0.0332,0.0331,0.6324
01-JUN-2026,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,503696,55.00,55.00,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,503772,57.00,57.00,0.0000,0.0284,0.0283,0.5407
01-JUN-2026,503776,44.00,44.00,0.0000,0.0417,0.0416,0.7948
01-JUN-2026,503804,300.00,302.55,-0.0085,0.0251,0.0251,0.4795
01-JUN-2026,503816,34.14,34.38,-0.0070,0.0323,0.0322,0.6152
01-JUN-2026,503837,15.05,15.83,-0.0505,0.0350,0.0351,0.6706
01-JUN-2026,503863,15.38,16.18,-0.0507,0.0262,0.0264,0.5044
01-JUN-2026,504028,78.78,79.05,-0.0034,0.0265,0.0264,0.5044
01-JUN-2026,504076,64.15,62.71,0.0227,0.0371,0.0370,0.7069
01-JUN-2026,504080,979.95,969.95,0.0103,0.0357,0.0357,0.6820
01-JUN-2026,504084,825.40,842.00,-0.0199,0.0334,0.0334,0.6381
01-JUN-2026,504092,562.75,583.30,-0.0359,0.0317,0.0317,0.6056
01-JUN-2026,504093,291.55,298.25,-0.0227,0.0228,0.0228,0.4356
01-JUN-2026,504132,871.75,875.05,-0.0038,0.0295,0.0294,0.5617
01-JUN-2026,504176,510.80,521.35,-0.0204,0.0304,0.0303,0.5789
01-JUN-2026,504180,52.79,51.54,0.0240,0.0296,0.0296,0.5655
01-JUN-2026,504240,412.35,413.55,-0.0029,0.0363,0.0362,0.6916
01-JUN-2026,504258,791.75,798.00,-0.0079,0.0241,0.0240,0.4585
01-JUN-2026,504273,15.63,15.12,0.0332,0.0287,0.0287,0.5483
01-JUN-2026,504340,6.92,7.06,-0.0200,0.0174,0.0174,0.3324
01-JUN-2026,504346,9259.35,9352.85,-0.0100,0.0000,0.0007,0.0134
01-JUN-2026,504356,12.64,13.30,-0.0509,0.0352,0.0353,0.6744
01-JUN-2026,504365,4.11,4.11,0.0000,0.0005,0.0005,0.0096
01-JUN-2026,504369,0.49,0.49,0.0000,0.0076,0.0075,0.1433
01-JUN-2026,504375,360.00,377.80,-0.0483,0.0179,0.0182,0.3477
01-JUN-2026,504378,2.55,2.58,-0.0117,0.0306,0.0305,0.5827
01-JUN-2026,504380,50.00,50.02,-0.0004,0.0364,0.0363,0.6935
01-JUN-2026,504392,26.38,26.46,-0.0030,0.0347,0.0346,0.6610
01-JUN-2026,504397,106.00,102.99,0.0288,0.0315,0.0315,0.6018
01-JUN-2026,504398,78.79,78.79,0.0000,0.0134,0.0134,0.2560
01-JUN-2026,504605,4144.00,4180.35,-0.0087,0.0276,0.0275,0.5254
01-JUN-2026,504646,528.40,560.05,-0.0582,0.0315,0.0317,0.6056
01-JUN-2026,504648,48.00,48.00,0.0000,0.0430,0.0429,0.8196
01-JUN-2026,504697,8.68,8.51,0.0198,0.0449,0.0448,0.8559
01-JUN-2026,504731,105.95,106.25,-0.0028,0.0279,0.0278,0.5311
01-JUN-2026,504746,883.30,889.35,-0.0068,0.0286,0.0285,0.5445
01-JUN-2026,504810,75.10,80.00,-0.0632,0.0436,0.0437,0.8349
01-JUN-2026,504840,1360.00,1332.70,0.0203,0.0255,0.0254,0.4853
01-JUN-2026,504903,19.63,18.76,0.0453,0.0319,0.0320,0.6114
01-JUN-2026,504908,399.70,390.55,0.0232,0.0377,0.0376,0.7183
01-JUN-2026,504959,1686.30,1691.50,-0.0031,0.0203,0.0202,0.3859
01-JUN-2026,504988,701.25,701.25,0.0000,0.0260,0.0260,0.4967
01-JUN-2026,504998,0.56,0.54,0.0364,0.0111,0.0113,0.2159
01-JUN-2026,505036,1975.65,1955.70,0.0101,0.0274,0.0273,0.5216
01-JUN-2026,505100,14.40,14.40,0.0000,0.0103,0.0103,0.1968
01-JUN-2026,505212,120.00,122.40,-0.0198,0.0344,0.0343,0.6553
01-JUN-2026,505216,2750.55,2871.45,-0.0430,0.0280,0.0281,0.5368
01-JUN-2026,505250,61.00,61.99,-0.0161,0.0338,0.0338,0.6457
01-JUN-2026,505285,1225.00,1225.00,0.0000,0.0132,0.0132,0.2522
01-JUN-2026,505299,458.40,509.30,-0.1053,0.0400,0.0406,0.7757
01-JUN-2026,505302,2100.00,2136.35,-0.0172,0.0309,0.0308,0.5884
01-JUN-2026,505320,186.65,186.65,0.0000,0.0127,0.0127,0.2426
01-JUN-2026,505336,0.35,0.36,-0.0282,0.0404,0.0403,0.7699
01-JUN-2026,505343,0.42,0.43,-0.0235,0.0377,0.0376,0.7183
01-JUN-2026,505358,224.00,236.50,-0.0543,0.0313,0.0314,0.5999
01-JUN-2026,505502,1.50,1.53,-0.0198,0.0167,0.0167,0.3191
01-JUN-2026,505504,221.65,217.70,0.0180,0.0262,0.0261,0.4986
01-JUN-2026,505515,13.04,12.97,0.0054,0.0393,0.0392,0.7489
01-JUN-2026,505520,106.40,106.40,0.0000,0.0118,0.0117,0.2235
01-JUN-2026,505523,0.36,0.36,0.0000,0.0316,0.0315,0.6018
01-JUN-2026,505585,14.13,14.13,0.0000,0.0038,0.0038,0.0726
01-JUN-2026,505594,32.80,32.80,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,505650,16.10,16.45,-0.0215,0.0397,0.0396,0.7566
01-JUN-2026,505685,19.71,19.71,0.0000,0.0603,0.0601,1.1482
01-JUN-2026,505690,810.00,839.55,-0.0358,0.0356,0.0356,0.6801
01-JUN-2026,505693,9.01,8.83,0.0202,0.0339,0.0339,0.6477
01-JUN-2026,505703,274.50,277.25,-0.0100,0.0246,0.0245,0.4681
01-JUN-2026,505712,209.95,216.35,-0.0300,0.0282,0.0282,0.5388
01-JUN-2026,505720,122.25,123.20,-0.0077,0.0320,0.0319,0.6094
01-JUN-2026,505737,496.55,509.00,-0.0248,0.0283,0.0282,0.5388
01-JUN-2026,505750,236.55,226.15,0.0450,0.0326,0.0327,0.6247
01-JUN-2026,505797,22.87,22.87,0.0000,0.0207,0.0207,0.3955
01-JUN-2026,505807,629.25,599.45,0.0485,0.0244,0.0245,0.4681
01-JUN-2026,505827,366.05,372.20,-0.0167,0.0189,0.0188,0.3592
01-JUN-2026,505840,25.32,24.75,0.0228,0.0384,0.0384,0.7336
01-JUN-2026,505893,848.00,847.70,0.0004,0.0329,0.0328,0.6266
01-JUN-2026,505978,1028.60,993.05,0.0352,0.0290,0.0290,0.5540
01-JUN-2026,506003,47.27,49.75,-0.0511,0.0336,0.0337,0.6438
01-JUN-2026,506042,179.25,179.25,0.0000,0.0574,0.0572,1.0928
01-JUN-2026,506105,68.40,68.41,-0.0001,0.0342,0.0341,0.6515
01-JUN-2026,506122,63.44,66.77,-0.0512,0.0325,0.0326,0.6228
01-JUN-2026,506128,120.80,142.95,-0.1684,0.0321,0.0342,0.6534
01-JUN-2026,506134,11.94,11.90,0.0034,0.0357,0.0356,0.6801
01-JUN-2026,506161,5.01,5.01,0.0000,0.0027,0.0027,0.0516
01-JUN-2026,506166,63.15,61.95,0.0192,0.1704,0.1700,3.2478
01-JUN-2026,506178,17.01,17.01,0.0000,0.0012,0.0012,0.0229
01-JUN-2026,506180,438.60,419.50,0.0445,0.0319,0.0320,0.6114
01-JUN-2026,506186,20.41,19.44,0.0487,0.0361,0.0361,0.6897
01-JUN-2026,506190,52.50,52.50,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,506196,4.25,4.25,0.0000,0.0005,0.0005,0.0096
