Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
POLICYBZR,EQ,1207.2,-36,55863.51,273.49,3509.72
SSRETAIL,EQ,797,6.44,5927.1,305.41,2572.07
HDFCBANK,EQ,728.9,-1.13,1123723.28,295.75,2158.84
BSE,EQ,3183.8,-2.66,129862.13,56.6,1835.04
RELIANCE,EQ,1219.2,-2.31,1649887.12,139.24,1711.76
HEROMOTORS,EQ,118.08,20,5363.38,1476.38,1682.78
OLAELEC,EQ,42.1,0.55,19485.6,3760.53,1605
MFSL,EQ,1410,-9.78,48661.18,114.22,1592.47
KSCL,EQ,777,9.33,3996.82,193.32,1539.85
MCX,EQ,3427.7,1.59,87403.55,41.33,1417.68
SBIN,EQ,978.5,-1.57,903230.53,137.25,1346.84
BAJFINANCE,EQ,982,-5.87,611355.32,133.86,1323.72
AXISBANK,EQ,1186.5,-4.56,369416.11,108.91,1297.81
RAYMONDREL,EQ,705,5,4693.45,181.95,1279.08
ICICIBANK,EQ,1334.5,-0.41,957949.43,86.54,1155.83
LTF,EQ,282,-9.03,70679.14,360.78,1027.53
HDFCLIFE,EQ,526.9,-6.16,114473.71,179.06,944.49
RAYMOND,EQ,1200.05,7.66,7989.18,74.66,874.48
CUPID,EQ,266,-2.87,35767.97,309.62,830.6
BHARTIARTL,EQ,1795.8,-2.04,1120669.18,45.67,825.59
INFY,EQ,1014.5,-0.59,411707.68,68.92,697.89
CHOLAFIN,EQ,1681.7,-5.2,143669.41,41.52,697.78
PCJEWELLER,EQ,14.26,-1.45,13890.79,4736.39,676.83
NEPHROPLUS,EQ,709.85,-4.32,7138.18,93.82,663.77
DIVISLAB,EQ,9602,-0.23,254902.93,6.67,642.58
LT,EQ,3858.4,-1.82,530875.32,16.49,638.51
HGINFRA,EQ,459,1.84,2991.35,130.68,635.56
WHIRLPOOL,EQ,860.1,-0.6,10912.25,74.98,623.83
PAYTM,EQ,1735.5,-2.23,111351.04,35.38,621.74
SBILIFE,EQ,1755,-0.28,176087.85,34.5,608.21
LICI,EQ,406,-0.37,513589.81,147.41,602.12
PINELABS,EQ,180,-4.41,20769.45,328.03,594.71
M&M,EQ,2982.7,-1.72,370907.34,19.04,572.35
FIRSTCRY,EQ,178.82,-0.88,9336.02,312.66,563.41
BLUESTONE,EQ,799,-6.6,12207.02,67.98,560.92
IFCI,EQ,75.25,-5.33,20274.72,707.83,539.44
SUZLON,EQ,40.74,-3.89,55999.52,1312.41,538.88
INDUSINDBK,EQ,919.5,-4.15,71641.97,58.62,538.87
KAYNES,EQ,3509.5,1.49,23525.81,15.26,536.92
STARHEALTH,EQ,547,-0.4,32197.71,96.5,530.11
KOTAKBANK,EQ,405,-2,402880.07,128,520.47
IDEA,EQ,14.12,-2.75,152980.37,3640.51,518.77
ETERNAL,EQ,335.5,-2.09,323769.26,149.89,508.07
ATHERENERG,EQ,1499,-0.03,59134.53,32.76,493.24
MARUTI,EQ,11990,-1.96,376968.69,3.94,475.42
CARBORUNIV,EQ,1285,1.62,24479.94,35.29,468.2
SAIL,EQ,184,-0.78,76001.67,248.16,465.81
GNA,EQ,617.3,3.46,2650.12,73.16,458.58
ABDL,EQ,722,9.99,20195.07,65.91,457.08
ESDS,EQ,1858,4.93,21777.8,24.69,450.3
ICICIGI,EQ,1577,5.09,78788.22,27.44,428.34
HINDALCO,EQ,982,-2.17,220677.64,43.31,425.61
SWIGGY,EQ,267.45,-3.97,73824.59,156.64,425.56
ADANIPOWER,EQ,199.48,-2.6,384691.09,202.84,408.43
