Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,711,-2.23,1095730.7,465.15,3329.55
BBTC,EQ,1592,11.63,11107.69,143.2,2305.6
WEL,EQ,124.74,-20,1671.62,1295.67,1944.28
ICICIBANK,EQ,1443,0.91,1035562.44,115.4,1667.4
BHARTIARTL,EQ,1878.3,-1.25,1172153.31,87.58,1658.26
ADANIPOWER,EQ,215,3.76,414620.94,700.25,1489.5
ICICIAMC,EQ,3093,-4.03,152874.16,47.75,1474.75
RELIANCE,EQ,1282.2,-1.22,1735142.11,112.71,1456.48
KOTAKBANK,EQ,424.2,1.8,421967.47,329.14,1396.71
MILKYMIST,EQ,215.15,-3.13,16563.18,592.35,1318.34
HINDCOPPER,EQ,538.5,-3.16,52074.24,241.03,1307.68
ETERNAL,EQ,328.5,0.46,317014.02,348.78,1145.74
NETWEB,EQ,5295.1,0.44,31477.2,20.78,1107.11
WELCORP,EQ,2406,4.3,63468.03,40.76,979.16
INOXINDIA,EQ,2160.3,12.12,19607.64,44.85,951.2
MVELECTRO,EQ,641.2,14.47,1749.37,146.89,943.32
KALYANKJIL,EQ,629.3,3.06,64991.02,146.31,915.49
AXISBANK,EQ,1256,0.08,391003.2,70.06,882.3
BHEL,EQ,433.95,4.44,151104.14,199.68,861.34
BSE,EQ,3328,0.07,135743.82,24.98,835.11
LAURUSLABS,EQ,1929.4,2.25,104247.84,42.5,811.1
SAIL,EQ,193,-0.97,79719.14,418.45,803.46
GVT&D,EQ,4407.8,1.56,112860.19,17.78,791.21
INFY,EQ,1110.8,-0.82,450768.93,69.34,771.41
TATASTEEL,EQ,186.8,-0.64,233192.29,409.22,770.39
LENSKART,EQ,642,-0.8,111663.46,116.01,755.27
ADANIENSOL,EQ,1617,2.96,197751.74,45.15,725.06
MCX,EQ,3273,-2.3,83458.83,20.88,690.14
IDEA,EQ,14.97,-0.6,162189.52,4306.78,646.88
SILVERBEES,EQ,226.01,-1.79,32279.78,277.67,628.78
M&M,EQ,3330,-2.01,414095.1,18.53,623.33
PAYTM,EQ,1679,-2.16,107646.25,33.95,579.97
GOLDBEES,EQ,130.19,-1.65,59780.07,438.45,570.12
TATAPOWER,EQ,352,-3.3,112475.95,162.36,569.99
BAJFINANCE,EQ,1083,-0.18,674234.03,52.2,569.8
ADANIENT,EQ,3169,1.83,428901.84,17.94,565.39
TITAN,EQ,5139.3,0.77,456259.94,11.02,565.13
CUPID,EQ,277.36,-2.33,37295.51,198.79,549.85
HDFCAMC,EQ,2575,-3.48,110418.71,21.02,544.28
PINELABS,EQ,169.25,1.42,19529.05,316.51,540.34
DHOOTTRANS,EQ,1486,-5.68,30395.84,34.97,536.83
HSCL,EQ,674.95,1.67,34056.23,79.25,528.72
HCC,EQ,25.2,5.53,6601.06,2020.03,511.27
VBL,EQ,418.75,-0.59,141640.72,119.89,504.58
SBIN,EQ,1042.9,-0.87,962661.11,47.89,501.22
CGPOWER,EQ,897.9,3.8,141459.66,54.31,483.7
LIQUIDBEES,EQ,1000,0,10857.37,48.28,482.83
SHRIRAMFIN,EQ,1101,-1.48,259063.49,43.59,480.29
DIVISLAB,EQ,9060,0.39,240514.53,5.27,479.12
TMCV,EQ,474,-2.02,174559.99,100.11,472.97
HFCL,EQ,245.67,4.15,37602.31,193.91,472.37
AMBER,EQ,7701,3.15,27159.71,6.11,469.58
LT,EQ,4027,-0.27,554061.27,11.61,469.56
PFC,EQ,355.85,-1.21,117434.12,127.46,453.08
GROWW,EQ,197.25,0.51,123746.69,228.97,451.82
WHIRLPOOL,EQ,844,9.37,10707.98,54.53,448.31
POLYCAB,EQ,9079,0.21,136799.3,4.78,432.02
RAMBHAJO,EQ,260.5,1.88,1193.35,164.11,430.53
NTPC,EQ,330.9,-1.11,320862.68,129.12,426.19
VOGL,EQ,41.79,1.41,16341.51,1007.84,426.12
MARUTI,EQ,13440,-0.59,422557.06,3.16,424.45
DIXON,EQ,14711,-0.16,89946.19,2.79,412.44
ATHERENERG,EQ,1495.3,0.05,58988.57,27.54,412.32
VAML,EQ,452.3,-2.23,176866.85,89.49,409.33
LICHSGFIN,EQ,535.5,2.12,29455.87,73.76,394.1
SOLARINDS,EQ,20580,2.4,186228.53,1.93,393.99
NSLNISP,EQ,45.07,8.76,13208.24,866.68,385.85
IFCI,EQ,84.16,-1.5,22675.35,445.99,385.69
TCS,EQ,2248.4,-0.95,813490.8,17.09,385.49
MOSCHIP,EQ,218.25,6.18,4249.6,174.74,384.28
APARINDS,EQ,17835,4.52,74679.31,2.15,381.93
VEDL,EQ,281,-1.92,109881.9,134.42,380.51
BEL,EQ,411,1.01,300431.91,91.56,375.76
ULTRACEMCO,EQ,11717,0,345275.58,3.2,375.76
HINDALCO,EQ,1024,-2.75,230116,36.35,375.13
KAYNES,EQ,4018.8,-0.33,26939.89,9.19,372.92
ZYDUSLIFE,EQ,1189.2,3.41,118623.16,31.68,371.2
PCJEWELLER,EQ,10.96,-2.4,10642.75,3328.71,369.49
MANAPPURAM,EQ,348,-4.76,32688.9,104.34,368
INDUSTOWER,EQ,379.95,0.6,100236.99,94.15,355.77
JSWSTEEL,EQ,1337.5,-0.26,327079.47,26.48,354.26
LALITHAA,EQ,245.99,0.82,13768.3,141.89,352.79
MUTHOOTFIN,EQ,3085,-3.8,123853.02,11.2,349.29
ADANIPORTS,EQ,1714,1.33,394898.59,20.44,348.75
ENRIN,EQ,3257,-2.07,115988.45,10.42,341.29
COFORGE,EQ,1901.8,1.16,84226.63,17.6,334.03
POLICYBZR,EQ,1837.9,-0.11,85038.69,17.35,319.43
TECHM,EQ,1585,0.89,155351.2,19.79,314.48
HINDZINC,EQ,610.1,-2.62,257786.71,48.39,298.93
BHARATFORG,EQ,2050,2.24,97993.83,14.65,297.88
EICHERMOT,EQ,8100,0.81,222362.58,3.69,297.79
POWERINDIA,EQ,33880,2.28,151011.17,0.88,297.14
HEROMOTOCO,EQ,5550,-0.8,111078.37,5.33,295.93
CUMMINSIND,EQ,5190,-0.19,143866.8,5.54,286.77
JINDALSAW,EQ,310,2.5,19824.76,85.85,267.45
ONGC,EQ,232,-0.09,291862.48,112.2,260.99
SWIGGY,EQ,284.7,-0.65,78586.13,91.51,260.95
ZEEL,EQ,103.7,-0.69,9960.59,247.41,260.35
BAJAJ-AUTO,EQ,11720,-0.03,322070.1,2.21,258.55
TVSMOTOR,EQ,4409.8,-1.21,209503.92,5.8,254.9
TMPV,EQ,316,0.93,116387.21,80.28,254.08
WABAG,EQ,2125.9,-1.36,13282.23,11.66,252.67
ASHOKLEY,EQ,177.4,-0.92,104202.18,141.51,251.87
HCLTECH,EQ,1282,-1.27,347891.87,19.37,249.24
AYE,EQ,182.8,3.48,4511.22,136.72,243.08
GRASIM,EQ,3258,-1.27,221719.19,7.33,240.28
LIQUID1,EQ,1120.02,0.02,2665.98,21.41,239.84
ITC,EQ,269,-0.46,337120.3,88.35,237.84
APOLLOHOSP,EQ,8800,0.38,126530.5,2.7,237.52
GODREJPROP,EQ,2069.4,1.69,62335.81,11.43,236.16
WOCKPHARMA,EQ,1971,4.72,32025.91,12.1,236.05
APLAPOLLO,EQ,2188,1.34,60751.66,10.62,233.51
JNPR,EQ,249.49,-6.71,14195.94,88.44,232.08
CYIENT,EQ,1050.6,0.28,11005.35,21.73,227.87
LICI,EQ,413.95,-0.33,523646.56,54.22,225.61
VISL,EQ,38.86,0.21,15195.77,576.99,225.14
ENTERO,EQ,1745.2,5.9,7595.65,12.78,221.31
RRKABEL,EQ,2824,0.48,31940.99,7.74,220.6
OFSS,EQ,11855,0.47,103237.05,1.87,220.58
CDSL,EQ,1410.8,-1.62,29485.72,15.44,219.08
SHYAMMETL,EQ,1040,-0.05,29029.71,20.75,218.14
RAMRAT,EQ,570.2,8.88,5322.76,37.85,213.78
LIQUIDADD,EQ,1142.1,0.01,1692.83,18.68,213.32
CARTRADE,EQ,3067.7,-2.37,14882.04,6.7,212.37
SUNPHARMA,EQ,1913.3,0.73,459053.94,11.08,211.69
DCBBANK,EQ,217.05,1.51,6992.24,97.13,211.21
SHANTIGOLD,EQ,246.25,-7.45,1889.71,85,210.91
HYUNDAI,EQ,2253,0.13,183065.51,9.29,210.46
VIYASH,EQ,258.9,-1.71,11389.21,80.09,209.82
LUPIN,EQ,2158.1,-1.23,98675.86,9.64,209.06
DATAPATTNS,EQ,4671,-2.27,26150.11,4.43,208.48
COCHINSHIP,EQ,1543,-0.26,40593.36,13.34,207.9
RATNAVEER,EQ,295.03,5.64,2107.3,70.99,206.04
MOTHERSON,EQ,166,0.61,175196.63,123.01,203.69
GRWRHITECH,EQ,7080,-0.5,16448.53,2.86,202.12
HAPPSTMNDS,EQ,419.8,-6.26,6392.5,46.63,201.18
SHILPAMED,EQ,909.8,5.7,17794.03,22.74,200.81
IMAGICAA,EQ,60.21,19.99,3407.05,342.43,199.88
RECLTD,EQ,320.9,-0.4,84500.16,62.23,199.73
HINDUNILVR,EQ,2009,-0.59,472032.88,9.89,198.89
IOLCP,EQ,193,3.76,5665.08,103.66,197.57
MEESHO,EQ,207.5,-0.31,95939.07,93.21,194.6
CASHIETF,EQ,1077,0.01,1046.14,17.89,192.66
TDPOWERSYS,EQ,738.6,1.48,23078.06,25.52,191.54
POWERGRID,EQ,264.9,-0.11,246373,71.19,188.04
SIEMENS,EQ,4095,1.29,145831.35,4.55,186.28
DELHIVERY,EQ,466,3.79,34911.18,40.21,185.55
LIQUIDCASE,EQ,115.66,0.03,10286.4,159.52,184.48
INDIGO,EQ,5189,-1.17,200641.3,3.53,183.71
NIFTYBEES,EQ,275.82,-0.43,67111.6,66.48,183.63
