Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
EPL,EQ,239.9,-8.47,7685.71,1354.32,3268.39
SYMBIOTEC,EQ,1094,10.73,7029.62,301.03,3199.82
HDFCBANK,EQ,711.9,0.41,1097117.7,444.17,3144.2
BHARTIARTL,EQ,1877.2,3.6,1171466.86,99.01,1846.79
ATHERENERG,EQ,1725.6,0.46,68073.74,95.63,1643.29
RELIANCE,EQ,1309,2.51,1771409.32,126.18,1639.93
ENGINERSIN,EQ,280.7,7.18,15776.53,575.37,1617.54
VTL,EQ,598,4.54,17310.65,263.84,1615.26
INFY,EQ,1156,1.96,469131.67,135.16,1548.14
ICICIBANK,EQ,1438,-1.1,1031981.26,106.28,1522.62
MARUTI,EQ,12950,-4.41,407151.33,9.16,1194.02
ADANIENSOL,EQ,1382,-2.5,169012.31,81.62,1140.19
ADANIENT,EQ,2863.9,0.17,387608.7,38.62,1116.41
BSE,EQ,3242,-1.22,132236.02,31.37,1018.48
SSWL,EQ,351.3,14.94,5524.72,282.71,971.43
HSCL,EQ,676,2.55,34109.21,141.61,952.04
WELCORP,EQ,2556.3,6.91,67432.8,36.08,902.28
SOTL,EQ,760.2,10.41,5211.96,117.19,891.83
LALITHAA,EQ,267.8,3.84,14989.03,320.21,879.75
TATASTEEL,EQ,184.07,-0.15,229784.28,466.63,861.78
ITC,EQ,266.6,4.34,334112.53,312.59,830.48
TVSMOTOR,EQ,4203,-3.19,199679.11,19.09,811.44
SBIN,EQ,1034.5,-2.41,954907.39,76.05,788.64
ADANIPOWER,EQ,204.36,3.21,394102.02,380.32,773.42
KALYANKJIL,EQ,573,-4.66,59176.63,132.2,767.84
NETWEB,EQ,5152,-0.71,30626.53,14.22,740.85
GODREJAGRO,EQ,652,5.96,12545.22,108.61,728.17
SKYWAYS,EQ,125.38,1.11,1822.32,560.82,724.58
SILVERBEES,EQ,217.8,-2.42,31205.76,327.58,721.99
HINDCOPPER,EQ,526,0.12,50865.46,136.97,720.48
AXISBANK,EQ,1258,-3.23,391625.82,55.88,707.14
ETERNAL,EQ,327.75,-0.11,316290.24,215.02,702.35
SUNPHARMA,EQ,1929,-2.81,462820.81,35.95,695.09
LENSKART,EQ,661,-0.21,114968.14,104.97,694.74
HEROMOTOCO,EQ,5555,1.93,111178.44,12.31,686.86
LAURUSLABS,EQ,1861.6,-2.79,100584.52,35.3,655.99
TCS,EQ,2369,-1.26,857124.93,26.78,630.45
M&M,EQ,3259,-0.7,405266.05,18.87,619.82
ADANIPORTS,EQ,1647.5,3.41,379577.26,37.7,619.8
BAJAJ-AUTO,EQ,12361,1.9,339685.02,4.95,611.14
EICHERMOT,EQ,7970,0.21,218793.8,7.6,603.79
SHRIRAMFIN,EQ,1059.1,-4.58,249204.49,56.74,602.7
DYCL,EQ,543,10.1,2631.3,109.74,595.14
POLYCAB,EQ,8895.5,-5.82,134034.39,6.53,588.06
HAPPSTMNDS,EQ,360.9,-11.32,5495.6,155.38,574.38
SAIL,EQ,193,-1.03,79719.14,291.2,571.81
HCLTECH,EQ,1351.4,2.99,366724.7,40.32,544.51
MILKYMIST,EQ,232.03,10,17862.68,239.26,543.19
ADANIGREEN,EQ,1265,4.12,207636.32,43.09,540.75
CAPLIPOINT,EQ,2720,8.05,20675.18,19.93,538.47
OMAXE,EQ,130.3,3.81,2383.19,420.77,529.33
JINDWORLD,EQ,41.98,9.58,4208.92,1203.94,509.75
BAJFINANCE,EQ,1053.9,-0.29,656117.49,48.13,507.39
MCX,EQ,3303,-2.85,84223.81,15.06,498.22
TBZ,EQ,366.8,19.99,2447.68,141.34,497.76
GROWW,EQ,189.3,-1.44,118759.18,254.08,484.56
GRAPHITE,EQ,733.8,4.45,14336.66,64.72,479.44
MANALIPETC,EQ,84.89,3.84,1460.1,555.87,478.22
PCJEWELLER,EQ,10.32,-6.1,10021.27,4451.58,474.54
CUPID,EQ,275.7,-1.71,37072.3,170.11,467.73
TEMPSENS,EQ,540,-4.19,4526.97,83.43,462.2
PAYTM,EQ,1633.5,-4.87,104729.09,27.53,452.71
IDEA,EQ,14.06,-1.88,152330.31,3167.9,451.43
GVT&D,EQ,4324,-2.73,110714.52,10.44,450.5
GOLDBEES,EQ,125.5,-1.43,57623.52,355.22,448.97
DIVISLAB,EQ,9165,-3.19,243301.95,4.86,444.59
KAYNES,EQ,3600.5,-2.29,24135.83,11.33,411.61
TMCV,EQ,464.05,-1.5,170895.71,88.08,408.35
COFORGE,EQ,1988.9,0.18,88084.1,20.56,406.6
SAILIFE,EQ,1528.7,4.73,32456.38,26.44,403.52
INDIGO,EQ,5052,-3.48,195343.96,7.88,398.92
TECHM,EQ,1638,0.61,160545.91,24.12,394.88
LT,EQ,3980.1,-1.6,547608.46,9.45,379.08
BALRAMCHIN,EQ,667.2,-3.79,14109.09,55.71,375.68
NESTLEIND,EQ,1438.2,-3.9,277330.17,25.56,371.63
KEI,EQ,5348,-6.84,51127.2,6.59,357.2
OLAELEC,EQ,40.37,-1.82,18684.88,871.86,355.28
