Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
IFCI,EQ,97.72,11.99,26328.84,4280.62,4103.83
HDFCBANK,EQ,700.8,-1.56,1080225.67,369.5,2594.69
BSE,EQ,3168,-2.28,129217.68,65.11,2070.38
RELIANCE,EQ,1313.1,0.31,1776957.66,134.98,1766.8
COALINDIA,EQ,417.85,4.05,257509.6,341.31,1423.74
SBIN,EQ,1020.9,-1.31,942353.75,138.44,1415.56
MILKYMIST,EQ,249.6,7.57,19215.29,565.6,1399.47
KALYANKJIL,EQ,590,2.97,60932.31,212.12,1228.33
ICICIBANK,EQ,1426.5,-0.8,1023728.28,85.16,1214.64
TBZ,EQ,414,13.64,2762.65,279.77,1127.77
ANTELOPUS,EQ,951.15,20,3344.47,124.46,1122.33
ATHERENERG,EQ,1686.1,-2.29,66515.5,63.13,1073.55
INFY,EQ,1140,-1.38,462638.5,85.64,972.05
HEROMOTOCO,EQ,5300,-4.59,106074.84,17.47,919.44
M&M,EQ,3190,-2.12,396685.7,28.83,916.24
TEMPSENS,EQ,572,6.11,4795.23,158.79,902.57
SYMBIOTEC,EQ,1095.5,-0.2,7039.26,79.98,896.19
EICHERMOT,EQ,7711.5,-3.24,211697.41,11.18,852.16
AXISBANK,EQ,1253.9,-0.33,390349.46,64.37,809
MCX,EQ,3286,-0.51,83790.32,24.49,806.55
MARUTI,EQ,12849,-0.78,403975.87,6.14,781.7
BHARTIARTL,EQ,1862.8,-0.77,1162480.54,41.26,769.63
IDEA,EQ,14.53,3.34,157422.43,5270.25,759.44
DHOOTTRANS,EQ,1516,4.54,31009.49,48.34,737.97
HSCL,EQ,657,-3.5,33150.52,109.83,735.73
INDIGO,EQ,5020,-0.63,194106.63,14.38,711.19
SHRIRAMFIN,EQ,1047,-1.14,246357.38,65.35,677.21
TVSMOTOR,EQ,4200,-0.07,199536.59,15.96,659.19
ETERNAL,EQ,327.3,-0.14,315855.98,201.39,654.09
NETWEB,EQ,5120,-0.32,30436.3,12.73,652.98
BAJFINANCE,EQ,1055.9,0.19,657362.61,62.34,652.38
TCS,EQ,2348,-0.89,849526.95,25.33,592.29
LENSKART,EQ,669.25,0.83,116403.07,87.67,587.49
ADANIENSOL,EQ,1396.6,1.06,170797.82,42.15,580.74
WELCORP,EQ,2524,-1.16,66580.76,22.59,575.31
CENTENKA,EQ,619,13.77,1352.55,95.9,572.63
INDOCO,EQ,273.11,12,2520.9,192.25,529.42
LT,EQ,3981,0.02,547732.29,13.07,520.51
TMCV,EQ,446,-3.95,164248.43,115.06,515.86
MEESHO,EQ,211.62,3.15,97843.98,231.53,484.52
PAYTM,EQ,1619,-0.89,103799.45,30.08,483.08
BEL,EQ,405.75,-1.33,296594.28,119.19,482.87
NIACL,EQ,198.5,6.85,32712.8,243.35,479.08
ADANIENT,EQ,2891.8,0.97,391384.77,16.42,472.88
SWIGGY,EQ,267.7,-2.65,73893.59,169.96,453.46
GOLDBEES,EQ,123.57,-1.41,56801.12,361.73,447.28
TATAPOWER,EQ,364,3.84,116310.36,122.3,438.54
AUGMONT,EQ,952.85,10,8706.52,47.01,431.24
SAILIFE,EQ,1580,4.08,33545.55,27.47,429.93
KOTAKBANK,EQ,423.5,-0.35,421283.23,100.23,423.04
BODALCHEM,EQ,143.6,13.28,1808.56,302.72,422.23
LAURUSLABS,EQ,1864,0.13,100714.2,22.66,415.51
TITAN,EQ,5074,0.48,450462.7,8.13,407.2
PFC,EQ,346.5,0.2,114348.53,117.46,405.81
BAJAJ-AUTO,EQ,12130,-1.87,333337.06,3.34,402.39
SILVERBEES,EQ,215.58,-0.98,30953.85,185.91,400.97
MOREPENLAB,EQ,111.79,7.85,6125.57,363.93,399.05
GROWW,EQ,189.7,0.15,119010.13,210.61,396.41
SOTL,EQ,743,-3.68,5094.04,51.45,395.71
HFCL,EQ,225.98,-4.5,34588.55,170.46,393.5
NTPC,EQ,330,1.85,319989.98,119.93,392.76
ITC,EQ,266.3,-0.11,333736.56,146.43,390.91
ADANIPORTS,EQ,1672.7,1.53,385383.24,23.39,389.08
REDINGTON,EQ,362.95,3.82,28374.5,107.66,387.55
OMAXE,EQ,133.6,5.39,2443.55,295.71,387.03
POLYCAB,EQ,8804,-1.03,132655.69,4.35,383.01
SAIL,EQ,196.5,1.81,81164.82,194.58,378.19
JIOFIN,EQ,236.9,0.45,156428.43,159.26,374.95
ADANIPOWER,EQ,207.7,1.63,400543.11,181.75,372.72
DIVISLAB,EQ,9220,0.6,244762.03,4.04,371.88
HCLTECH,EQ,1331.5,-1.47,361324.51,27.39,364.62
TATASTEEL,EQ,183.85,-0.12,229509.65,194.96,356.6
GRASIM,EQ,3294.9,-0.31,224230.37,10.86,354.57
GVT&D,EQ,4240,-1.94,108563.73,8.36,352.94
PERSISTENT,EQ,5690,-1.9,89759.75,6.1,347.25
KEI,EQ,5170,-3.33,49425.51,6.66,346.27
HINDCOPPER,EQ,521.85,-0.91,50464.15,66.17,344.05
ADANIGREEN,EQ,1296,2.45,212724.64,26.35,337.55
PINELABS,EQ,162.8,1.82,18784.81,203.68,328.79
EMSLIMITED,EQ,383.4,2.95,2129.05,82.14,326.72
COFORGE,EQ,1965.7,-1.17,87056.62,16.65,326.69
VBL,EQ,415,2.25,140372.29,78.05,321.57
DIXON,EQ,14590,0.89,89206.37,2.17,313.53
RRKABEL,EQ,2636,-8.15,29814.61,11.5,310.92
ONGC,EQ,237.5,0.44,298781.63,130.74,310.06
UJJIVANSFB,EQ,64.15,-1.85,12499.89,494.32,309.84
MOTHERSON,EQ,163.3,-1.39,172347.05,189.44,305.61
KAYNES,EQ,3583,-0.49,24018.52,8.35,298.08
HINDUNILVR,EQ,1975,-0.99,464044.27,14.97,294.8
MANIPALHOS,EQ,713.5,-4.47,93852.16,40.67,293.25
OFSS,EQ,12158,-0.24,105875.67,2.39,288.67
IIFL,EQ,635.8,-0.52,27045.73,44.81,286.38
SONACOMS,EQ,782.65,-3.32,48828.8,36.09,281.84
SOLARINDS,EQ,20600,2.69,186409.51,1.39,281.76
PCJEWELLER,EQ,10.17,-1.45,9875.61,2748.4,279.51
HINDPETRO,EQ,359,-1.13,76388.83,77.06,276.29
MUTHOOTFIN,EQ,2937.7,1.13,117939.39,9.5,274.95
ASHOKLEY,EQ,167.9,-1.54,98622.02,164.13,273.34
POWERINDIA,EQ,32200,-1.35,143523.01,0.85,271.57
BHARATFORG,EQ,2031.8,-0.99,97123.83,13.41,270.54
NUVAMA,EQ,1836,2.86,33822.47,14.38,266.25
VAML,EQ,437.2,0.59,170962.17,61.15,265.59
BALRAMCHIN,EQ,669.8,0.14,14172.8,40.12,264.1
ICICIAMC,EQ,2980,-1.91,147289.04,8.8,261.91
BPCL,EQ,319.6,0.61,138656.32,82.77,261.59
INDUSINDBK,EQ,978,-1.47,76199.95,26.73,260.71
CUPID,EQ,280.7,2.05,37744.63,93.28,260.36
ULTRACEMCO,EQ,11393,-0.06,335727.98,2.29,257.61
EPL,EQ,238.9,-0.6,7653.67,104.96,251.18
HAL,EQ,4780,-0.57,319674.45,5.26,249.38
TRENT,EQ,2852.3,-0.09,152093.85,8.74,248.2
PNB,EQ,117,1.54,134467.44,211,245.82
TECHM,EQ,1623,-0.92,159075.71,15.09,243.89
BHEL,EQ,427.5,0.22,148858.21,57.42,242.96
POWERGRID,EQ,266.8,0.85,248140.11,90.69,241.49
HDFCAMC,EQ,2525.7,-0.75,108304.68,9.62,240.61
SUZLON,EQ,45.46,-2.24,62487.44,526.79,240.48
SUNPHARMA,EQ,1931.7,0.14,463468.62,12.45,240.46
LIQUIDBEES,EQ,1000.01,0,11101.09,23.98,239.76
BOSCHLTD,EQ,47250,-2.68,139369.07,0.51,237.87
DLF,EQ,673.55,-0.24,166724.84,35.79,236.68
CHENNPETRO,EQ,1412.8,1.86,21038.2,16.73,235.21
HINDZINC,EQ,588.4,-1.44,248617.77,39.88,234.53
