Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
LENSKART,EQ,685.3,-3.1,119194.65,449.05,3071.97
HDFCBANK,EQ,739.5,1.16,1140064.98,354.83,2622.38
GLASSWALL,EQ,300.7,11.57,2644.21,772.19,2174.63
BSE,EQ,3161,-3.23,128932.16,67.39,2128.59
BHARTIARTL,EQ,1830.2,-3.33,1142136.5,97.17,1781.43
CUPID,EQ,251,-5.28,33750.98,518.31,1323.35
RELIANCE,EQ,1247.4,1.71,1688048.88,100.07,1241.76
JPPOWER,EQ,16.51,7.42,11315.06,5878.59,989.96
TEGA,EQ,2135.6,9.91,16044.27,45.81,957.72
KANOHAR,EQ,873,10.96,6913.01,114.08,952.44
SAMBHV,EQ,154.93,4.99,4565.34,598.34,932.39
PAYTM,EQ,1810,-2.16,116131.02,50.52,916.47
PATANJALI,EQ,396.2,7.96,43110.86,231.62,904.2
JASH,EQ,580.9,11.47,3670.92,146.85,852.98
ICICIBANK,EQ,1345,0.46,965429.55,57.06,767.12
ANURAS,EQ,1150.7,-4.72,13100.7,60.31,705.86
RAYMOND,EQ,1093,11.76,7276.51,67.12,704.21
WELCORP,EQ,2755,3.57,72674.32,25.45,693.61
RATNAVEER,EQ,334,11.61,2803.14,206.51,677.08
ETERNAL,EQ,335.9,2.77,324155.28,202.75,675.16
LIQUIDBEES,EQ,1000,0,10658.11,66.37,663.67
JYOTICNC,EQ,1113,6.03,25312.19,57.23,633.94
OFSS,EQ,10911,-8.28,95016.4,5.65,630.89
INFY,EQ,1038.5,-1.23,421447.44,60.74,629.93
RENTOMOJO,EQ,539.95,5.3,5621.68,116.14,613.62
KPIGREEN,EQ,321.1,12.88,6347.25,183.26,580.96
SWIGGY,EQ,272.7,-0.13,75273.75,203.55,559.92
INDOMIM,EQ,1161.45,10,57431.48,43.92,498.87
TCS,EQ,2128.7,1.13,770182.29,23.31,494.71
APOLLO,EQ,387.6,4.56,14403.2,125.86,489.45
SUNPHARMA,EQ,1868.9,1.72,448401.15,25.34,475.15
AXISBANK,EQ,1250,-0.56,389178.27,36.8,459.52
CARBORUNIV,EQ,1177,4.68,22422.48,37.68,448.33
PROTEAN,EQ,588.35,20,2389.95,79.96,448.27
LAURUSLABS,EQ,2017.5,3.25,109007.99,21.7,434.67
BAJFINANCE,EQ,1021.3,-1.83,635821.99,41.71,428.52
NETWEB,EQ,4722,1.23,28071.13,8.88,417.32
IDEA,EQ,13.84,-0.57,149946.76,2986.33,416.89
ADANIPORTS,EQ,1787.1,-2.02,411740.53,23.18,413.69
MARUTI,EQ,12153,0.41,382093.45,3.39,413.4
SOLARINDS,EQ,19265,3.83,174329.09,2.15,412.52
COHANCE,EQ,458,4.57,17522.96,87.99,411.54
MCX,EQ,3209,-1.56,81826.88,12.67,406.88
KAYNES,EQ,3650,3.84,24467.65,11.31,405.48
EMMVEE,EQ,340,3.66,23539.73,114.48,395.74
PCJEWELLER,EQ,12.73,0.08,12361.51,3041.34,388.99
BEL,EQ,398.5,1.32,291294.69,97.55,387.13
WOCKPHARMA,EQ,2187,4.84,35535.59,17.71,386.73
VAML,EQ,413.1,-0.82,161538.13,92.29,384.7
SKYWAYS,EQ,126.67,1.8,1841.07,292.47,383.43
HAL,EQ,4826,0.54,322750.82,7.85,380.81
MVELECTRO,EQ,878,5.43,2395.42,42.54,372.72
LT,EQ,3904.8,0.51,537248.19,9.47,369.34
PINELABS,EQ,192.6,0.29,22223.31,187.45,362.3
LALITHAA,EQ,320.1,4.99,17916.31,113.05,359.21
SHADOWFAX,EQ,272.5,8.33,15988.41,134.65,358.65
DIVISLAB,EQ,9410.5,0.38,249819.21,3.8,357.83
IFCI,EQ,74.08,-3.18,19959.48,480.67,357.71
ATHERENERG,EQ,1593,-2.87,62842.76,22.34,357.25
SBIN,EQ,996,-0.02,919384.37,35.9,356.79
KARAMTARA,EQ,360,1.25,11585.62,98.26,354.02
KOTAKBANK,EQ,414.8,0.56,412628.77,84.71,353.84
HCLTECH,EQ,1281,2.54,347620.5,27.52,350.66
COFORGE,EQ,1814,-1.47,80338.15,19.32,349.01
HINDALCO,EQ,981.2,-0.54,220497.87,33.48,328.67
AHCL,EQ,27.48,20,1460.6,1302.44,328.08
MANKIND,EQ,2437.8,5.96,100692.13,13.43,325.13
M&M,EQ,3055.3,0.11,379935.36,10.57,324.16
TITAN,EQ,4875,1.59,432795.75,6.65,322.22
PAISALO,EQ,92.45,3.28,8451.31,342.51,320.32
PFC,EQ,344.75,0.64,113771.01,91.74,317.61
