Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
PINELABS,EQ,198.85,14.83,22944.47,2766.96,5309.24
MOLBIO,EQ,1406.7,-6.8,16210.81,220.58,3417.11
HDFCBANK,EQ,708.25,2.08,1091709.23,314.12,2177.79
PAYTM,EQ,1807.5,3.94,115970.61,92.69,1662.89
RAYMOND,EQ,1003,17.47,6677.35,162.45,1570.43
BSE,EQ,3384,2.36,138027.97,43.26,1408.44
ESDS,EQ,1740.4,10,20399.4,74.99,1274.28
RELIANCE,EQ,1257.5,-1.3,1701716.74,87.78,1105.35
ICICIBANK,EQ,1379.3,-0.38,990003.41,70.64,974.6
DHOOTTRANS,EQ,1728.7,10,35360.22,58.63,969.6
IFCI,EQ,82.67,-2.91,22273.9,1108.86,921.8
COCHINSHIP,EQ,1381,-9.17,36331.46,63.9,898.07
IDEA,EQ,14.97,0.47,162189.52,5479.07,823.5
ATHERENERG,EQ,1656,-0.14,65328.07,48.82,808.78
SBIN,EQ,995.7,-1.39,919092.59,77.71,774.45
BHARTIARTL,EQ,1831.1,-0.43,1142698.15,41.81,770.4
ETERNAL,EQ,323.5,0.43,312188.84,227.12,728.6
DIXON,EQ,13425,-0.56,82083.31,5.5,728.37
GRANULES,EQ,913.8,1.62,22643.68,78.51,702.97
SILVERBEES,EQ,217.05,-2.9,31276.61,318.07,687.28
AWFIS,EQ,293.7,17.67,2101.81,239.46,678.69
LICHSGFIN,EQ,562.9,1.92,30963.05,115.56,649.91
ONGC,EQ,232.5,-2.01,292491.49,271.29,645.2
INDUSTOWER,EQ,388,4.3,102360.71,167.07,642.85
INFY,EQ,1037.7,0.12,421122.78,61.68,641.29
MARUTI,EQ,12400,-1.51,389859.19,5.15,639.86
KOTAKBANK,EQ,419,0.59,416806.79,151.97,631.62
GROWW,EQ,200,2.12,125471.93,311.36,615.47
MEESHO,EQ,219.44,0.7,101488.11,271.72,596
TCS,EQ,2200.8,-0.15,796268.7,26.34,582.39
SHANKESH,EQ,101.3,2.94,1489.43,538.77,574.7
TATASTEEL,EQ,183,-2.02,228448.55,315.1,574.65
PCJEWELLER,EQ,13.74,-0.65,13342.27,4201.62,571
AXISBANK,EQ,1246,0,387932.9,45.62,568.17
BAJFINANCE,EQ,1034.5,-0.86,644039.8,54.11,556.23
MCX,EQ,3276,-0.73,83535.33,16.87,554.34
PWL,EQ,136.1,7.39,39481.07,411.62,552.02
ADANIENT,EQ,3060,-0.56,414149.63,18.15,550.87
YESBANK,EQ,23.48,5.29,73698.52,2347.93,546.83
KEI,EQ,4578,-1.34,43765.95,11.38,512.27
JIOFIN,EQ,229.9,-0.15,151806.23,221.03,504.2
WABAG,EQ,2282,3.17,14260.58,22.31,503.63
QUADFUTURE,EQ,481.5,10.49,1926,103.63,503.51
COFORGE,EQ,1846.5,0.73,81777.51,26.87,494.55
VAML,EQ,422.6,-3.31,165253,115.88,487.56
DIVISLAB,EQ,9322,-1.23,247469.81,5.17,483.35
