Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
LUMINO,EQ,111.2,1.09,3386.64,1783.16,2019.25
BSE,EQ,3306.1,4.36,134850.55,60.36,1972.05
HDFCBANK,EQ,706.65,0.83,1089242.96,277.71,1967.05
ANTELOPUS,EQ,990.6,4.15,3483.18,191.96,1956.46
IFCI,EQ,95.7,-2.66,25784.59,1663.55,1636.77
SWIGGY,EQ,269.3,0.6,74335.24,563.03,1515.69
ICICIBANK,EQ,1430,0.25,1026325.64,105.03,1512.63
ANANTRAJ,EQ,627,6.48,22564.28,221.87,1397.02
RELIANCE,EQ,1302.5,-0.81,1762613.17,97.21,1272.24
NETWEB,EQ,5279,3.31,31381.49,23.66,1248.41
RAYMOND,EQ,753.8,12.97,5018.33,165.94,1244.05
MILKYMIST,EQ,252.55,0.2,19442.4,442.04,1136.79
WELCORP,EQ,2631.1,4.26,69405.96,41.91,1103.92
SOLARINDS,EQ,21500,4.37,194553.62,4.82,1032.21
RBLBANK,EQ,408.1,4.8,63293.84,198.62,805.54
MCX,EQ,3170.2,-3.52,80837.51,24.13,774.24
GRASIM,EQ,3310,0.46,225257.99,23.11,763.37
SBIN,EQ,1023.4,0.24,944661.4,73.72,758.35
KRT,RR,112.8,2.52,50020.03,630.79,714.24
BAJFINANCE,EQ,1049,-0.65,653066.94,66.27,695.96
BHARTIARTL,EQ,1869,0.33,1166349.65,37.01,690.51
ATHERENERG,EQ,1638.9,-2.8,64653.49,41.63,684.41
INFY,EQ,1130.3,-0.85,458702.02,57.86,654.19
HINDOILEXP,EQ,182.8,10,2417.41,352.51,652.46
SHRIRAMFIN,EQ,1044.2,-0.27,245698.54,62.36,652.32
COALINDIA,EQ,420.05,0.53,258865.4,152.86,644.95
GODREJCP,EQ,880,-2.76,90050.84,72.84,635.81
MVELECTRO,EQ,729,6.26,1988.91,87.4,630.87
BALRAMCHIN,EQ,703.45,5.03,14884.83,85.96,602.37
M&M,EQ,3150,-1.25,391711.58,18.26,579.49
DHOOTTRANS,EQ,1578.5,3.71,32287.91,36.31,574.33
ADANIPORTS,EQ,1706.5,2.02,393170.62,33.7,574.14
ETERNAL,EQ,324.8,-0.76,313443.39,156.04,511.01
JINDWORLD,EQ,48.22,19.98,4834.55,1108.2,509.33
ITC,EQ,263,-1.24,329600.88,178.14,471.15
MARUTI,EQ,12857,0.06,404227.39,3.63,467.04
HIKAL,EQ,240.72,20,2968.1,201.96,466.3
PCJEWELLER,EQ,10.45,2.65,10147.51,4407.57,464.12
DIVISLAB,EQ,9250,0.33,245558.44,4.97,458.8
KALYANKJIL,EQ,585.3,-0.8,60446.91,75.96,447.85
TCS,EQ,2320.1,-1.19,839432.49,18.93,441.47
AXISBANK,EQ,1267,1.04,394427.59,33.09,420.96
MAHABANK,EQ,86.32,4.76,66393.38,486.47,419.67
IDFCFIRSTB,EQ,87.5,2.83,75439.96,481.79,419.54
KIRIINDUS,EQ,577.5,10.28,3763.45,71.83,412.91
TATASTEEL,EQ,184.2,0.19,229946.57,219.65,404.27
LALITHAA,EQ,281.9,6.64,15778.22,146.43,403.74
INDIGO,EQ,4980,-0.8,192559.97,8.01,398.48
ALEMBICLTD,EQ,108.8,8.65,2793.79,350.36,394.97
MOREPENLAB,EQ,117.4,4.85,6432.98,338.24,392.93
BHARATFORG,EQ,1981,-2.5,94695.5,19.21,383.42
IDEA,EQ,14.48,-0.34,156880.71,2612.99,379.93
DIXON,EQ,14445,-0.99,88319.81,2.59,377.14
LT,EQ,3975,-0.15,546906.77,9.41,376.18
GOLDBEES,EQ,126.15,2.13,58061.24,297.07,375.14
BRIGADE,EQ,725,13.28,23653.8,53.91,373.43
SILVERBEES,EQ,219.69,1.97,31766.68,169.03,372.67
KAYNES,EQ,3485,-2.74,23361.58,10.54,371.26
COFORGE,EQ,1971.8,0.31,87326.78,18.98,370.92
BAJAJ-AUTO,EQ,11920,-1.73,327566.17,3.04,367.31
ADANIPOWER,EQ,208.29,0.28,401680.91,175.39,366.83
APARINDS,EQ,17687,5.2,74059.6,2.09,366.27
MEESHO,EQ,209.7,-0.9,96983.49,172.41,362.97
LENSKART,EQ,671.9,0.45,116863.98,53.94,362.91
TORNTPOWER,EQ,1287,3.05,64852.39,27.62,361.34
CGCL,EQ,272.1,6.04,26180.21,133.62,358.44
SAIL,EQ,197,0.25,81371.35,177.23,350.07
TEJASNET,EQ,568,3.49,10114.11,61,347.78
MANALIPETC,EQ,89,7.54,1530.79,391.46,347.46
JYOTICNC,EQ,1030.1,7.79,23426.85,34.13,347.04
AUGMONT,EQ,916.4,-3.83,8373.47,36.52,346.46
GROWW,EQ,190,0.06,119198.34,180.98,343.94
TMCV,EQ,460.55,2.93,169606.76,75.18,343.38
REDINGTON,EQ,373.55,2.85,29203.18,90.43,334.95
IIFL,EQ,640,1.07,27224.39,51.67,334.8
EICHERMOT,EQ,7690,-0.28,211107.19,4.37,334.45
ELECON,EQ,436.5,4.78,9795.06,73.94,329.89
HINDUNILVR,EQ,1962,-0.66,460989.81,16.38,321.88
BEL,EQ,408.6,0.7,298677.56,78.04,318.6
LICHSGFIN,EQ,554,2.36,30473.49,57.98,318.3
URBANCO,EQ,177.6,3.35,27389.13,174.45,308.29
TVSMOTOR,EQ,4200,0,199536.59,7.27,304.05
PFC,EQ,345.5,-0.29,114018.52,86.43,299.69
APLAPOLLO,EQ,2159.4,-2.29,59957.56,13.85,299.37
MANIPALHOS,EQ,726,2.27,95496.38,41.22,297.42
KIRLOSENG,EQ,2260.4,4.6,32893.31,13.3,295.12
TBZ,EQ,443.95,6.14,2962.51,69.5,294.61
TEMPSENS,EQ,567,0.12,4753.31,51.54,294.56
INOXWIND,EQ,74,4.83,12788.96,397.47,287.65
PAYTM,EQ,1637,1.11,104953.49,17.68,287.43
TITAN,EQ,5027,-0.93,446290.1,5.72,285.94
KEI,EQ,5327,3.04,50926.44,5.36,283.97
HINDCOPPER,EQ,517.8,-0.6,50072.5,54.11,282.26
PERSISTENT,EQ,5657,-0.58,89239.18,5.02,281.28
ULTRACEMCO,EQ,11275,-1.04,332250.77,2.48,280.82
LAURUSLABS,EQ,1868.5,0.24,100957.34,15.06,280.67
HEROMOTOCO,EQ,5308.5,0.16,106244.96,5.25,277.66
PINELABS,EQ,156.25,-3.74,18029.03,171.43,273.21
ADANIENSOL,EQ,1385.7,-0.78,169464.8,19.4,269.26
NTPC,EQ,330.9,0.27,320862.68,81.01,267.95
GODREJPROP,EQ,2001.5,1.56,60290.48,13.24,266.02
INDOMIM,EQ,923.95,4.05,45687.56,28.86,265.18
CHENNPETRO,EQ,1440,1.84,21443.24,18.28,264.42
TECHM,EQ,1598,-1.54,156625.37,16.47,263.63
OFSS,EQ,12149,-0.07,105797.29,2.18,263.61
POWERGRID,EQ,265.6,-0.45,247024.04,98.27,263.4
LIQUIDBEES,EQ,1000.01,0,10986.11,26.26,262.6
GOCLCORP,EQ,417.1,6.48,2067.67,60.31,261.73
SAILIFE,EQ,1579,-0.5,33524.32,16.34,261.58
GVT&D,EQ,4362,2.88,111687.5,5.98,259.41
UNIONBANK,EQ,189,1.15,144275.15,136.72,258.57
BHEL,EQ,431.8,1.01,150355.5,59.8,256.72
OLAELEC,EQ,37.45,-3.93,17333.39,667.33,254.99
EPL,EQ,245.7,3.98,7871.52,102.98,254.22
KOTAKBANK,EQ,421.15,-0.55,418945.53,59.91,253.78
FIRSTCRY,EQ,180.3,5.55,9413.25,142.87,252.57
BFUTILITIE,EQ,540,7.86,2034.05,44.6,251.61
SBICARD,EQ,661,4.07,62903.61,37.86,250.03
GRANULES,EQ,857,3.04,21236.2,28.29,241.44
ASTERDM,EQ,785.3,3.34,68452.44,30.78,239.39
ADANIENT,EQ,2901,0.32,392629.93,8.16,236.73
CAPLIPOINT,EQ,2835.1,4.21,21550.08,8.41,236.42
FEDERALBNK,EQ,344.6,-2.48,85153.29,66.84,231.88
DLF,EQ,681.65,1.2,168729.85,34.01,231.71
SUNPHARMA,EQ,1916,-0.81,459701.75,12.05,231.39
HINDZINC,EQ,587.95,-0.08,248427.63,38.96,229.76
FINCABLES,EQ,1270.1,6.62,19424.83,18.09,227.27
JIOFIN,EQ,237.45,0.23,156791.6,92.94,221.09
OBEROIRLTY,EQ,1902,1.93,69157.15,11.27,213.86
RBZJEWEL,EQ,193.76,20,775.04,116.95,212.88
LICI,EQ,416.9,2.12,527378.31,51.01,211.8
TATAPOWER,EQ,365.7,0.47,116853.57,57.63,211.74
APOLLOHOSP,EQ,8692,-0.31,124977.62,2.41,210.5
SYMBIOTEC,EQ,1078.95,-1.27,6932.91,19.21,209.57
ENGINERSIN,EQ,280.8,1.52,15782.15,73.96,208.03
DATAPATTNS,EQ,4595,1.73,25724.63,4.52,208
LODHA,EQ,1234,2.13,123304.15,16.94,207.83
POWERINDIA,EQ,32000,-0.62,142631.56,0.64,205.84
WOCKPHARMA,EQ,1950,2.4,31684.69,10.56,205.56
LIQUIDCASE,EQ,115.77,0.03,10127.29,177.35,205.3
CGPOWER,EQ,895,1.97,141002.78,22.85,203.37
NAM-INDIA,EQ,1164.9,-0.56,74528.15,17.23,200.03
AFFLE,EQ,1524,0.4,21470.02,13.26,199.67
HCLTECH,EQ,1319,-0.94,357932.43,15.15,199.49
CUPID,EQ,280.25,-0.16,37684.12,70.9,198.4
INDUSINDBK,EQ,1004.8,2.74,78288.04,19.6,195.2
BALUFORGE,EQ,570.2,-1.42,6921.77,32.85,193.1
HAL,EQ,4765.6,-0.3,318711.41,4.01,191.56
PTCIL,EQ,23635,4.05,35434.89,0.81,189.34
VAML,EQ,435.8,-0.3,170414.71,42.67,187.04
EDELWEISS,EQ,134.65,6.71,12745.05,141.08,187.04
HDFCAMC,EQ,2510.8,-0.59,107665.75,7.46,186.26
TFCILTD,EQ,146.75,0.42,6794.19,125.1,182.79
HSCL,EQ,660,0.06,33301.9,27.51,181.93
PAISALO,EQ,70.8,6.43,6439.41,260.83,181.56
RRKABEL,EQ,2639,0.33,29848.54,6.86,180.07
POLYCAB,EQ,8807.5,0.04,132708.43,2.03,179.41
SHILPAMED,EQ,960,3.39,18775.85,18.65,177.62
VBL,EQ,407.15,-1.89,137717.06,43.25,177.48
