Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
POLICYBZR,EQ,1166,-3.41,53956.97,415.9,4895.25
SSRETAIL,EQ,725,-10.69,5391.65,344.23,2747.81
WHIRLPOOL,EQ,903.55,5.87,11463.5,279.43,2582.85
RELIANCE,EQ,1226,0.56,1659089.25,131.39,1603.5
HDFCBANK,EQ,735.6,0.92,1134052.46,198.53,1456.54
ICICIBANK,EQ,1326.8,-0.58,952422.11,108.41,1438.14
BSE,EQ,3191.5,0.24,130176.2,45.02,1431.65
HEROMOTORS,EQ,141.69,19.99,6435.78,1026.18,1418.18
SHANTIGOLD,EQ,316.3,11.52,2427.27,364.07,1148.54
INFY,EQ,1000.2,-1.41,405904.41,102.41,1022.13
ANTELOPUS,EQ,1260,11.41,4438.07,78.78,974.38
PAYTM,EQ,1674,-3.54,107405.15,51.74,867.85
BHARTIARTL,EQ,1785.4,-0.58,1114179.06,47.66,854.16
AXISBANK,EQ,1222.4,3.03,380603.24,69.23,839.25
ETERNAL,EQ,335,-0.15,323286.75,245.08,819.36
MCX,EQ,3324.9,-3,84782.24,23.87,804.55
WELCORP,EQ,2824.4,4.91,74505.03,27.64,776.11
KSCL,EQ,814,3.85,4187.14,94.25,762.48
OLAELEC,EQ,38.34,-9.83,17745.32,1945.68,761.35
KOTAKBANK,EQ,404,-0.25,401885.3,181.76,733.44
MEESHO,EQ,217.29,-6.68,100523.15,314.97,693.03
TCS,EQ,2082,-0.24,753285.82,33.42,692.7
ARTEMISMED,EQ,358.1,7.63,5667.78,189.8,692.57
TMPV,EQ,290.45,-1.54,106976.79,226.35,660.67
M&M,EQ,3035,1.75,377411,20.8,626.47
RAYMONDREL,EQ,708,-0.04,4713.42,86.89,625.65
ENGINERSIN,EQ,313.35,5.63,17611.6,196.16,611.03
LLOYDSENGG,EQ,98.62,8.48,14565.15,606.74,588.24
OFSS,EQ,10770,-1.42,93788.53,5.45,575.62
BAJFINANCE,EQ,996.9,1.52,620631.49,54.68,541.34
TCI,EQ,886,6.31,6807.24,57.71,534.99
MFSL,EQ,1458,3.4,50317.73,36.18,522.41
KAYNES,EQ,3650,4,24467.65,13.28,479.74
CHOLAFIN,EQ,1662.7,-1.13,142046.22,28.79,475.88
LT,EQ,3876.2,0.46,533324.42,12.31,475.18
LICI,EQ,409.05,0.75,517448.06,115.95,472.24
LALITHAA,EQ,366.5,-1.08,20513.36,119.64,443.4
PCJEWELLER,EQ,14.17,-0.56,13803.12,3093.43,440.2
IDEA,EQ,14.26,0.99,154497.17,3092.6,440.08
GLASSWALL,EQ,275.2,1.15,2419.98,161.12,438.22
LIQUIDBEES,EQ,1000.01,0,10757.02,42.13,421.31
TFCILTD,EQ,138.55,-3.42,6414.55,300.56,418.11
HBLENGINE,EQ,810.5,4.54,22466.65,52,415.11
DEEPA,EQ,212.65,9.51,2044.08,192.16,406.84
POWERINDIA,EQ,31035,1.04,138330.33,1.3,405.64
APOLLOHOSP,EQ,8889,0.01,127810.18,4.38,389.44
DIVISLAB,EQ,9619.5,0.18,255367.5,3.89,373.01
CUPID,EQ,270.1,1.43,36319.29,136.8,370.87
RAYMOND,EQ,1183,-1.73,7875.67,31,370
DIXON,EQ,13390,0.68,81907.41,2.76,369.25
SBIN,EQ,983,0.46,907384.38,37.59,368.74
MARUTI,EQ,12065,0.63,379326.71,2.84,341.29
KANOHAR,EQ,865.4,0.24,6852.83,38.72,337.63
HYUNDAI,EQ,2115,2.64,171852.44,15.47,326.9
ADANIPOWER,EQ,202.75,1.64,390997.19,161.71,324.57
NETWEB,EQ,4559,-2.2,27102.14,6.96,320.51
PINELABS,EQ,176.33,-1.66,20345.98,176.66,315.17
SILVERBEES,EQ,218.94,1.38,31933.11,143.23,311.24
BALRAMCHIN,EQ,686,4.03,14515.59,45.11,307.77
TATASTEEL,EQ,187.97,-0.03,234652.86,158.91,299.6
ABDL,EQ,714.5,0.33,19985.29,40.71,296.76
AETHER,EQ,1772,7.64,23519.37,16.86,294.26
PFC,EQ,338,-0.4,111543.44,86.24,291.41
LAURUSLABS,EQ,2007,-0.95,108440.66,14.42,288.04
BHEL,EQ,418.95,0.87,145881.04,68.52,285.81
ATHERENERG,EQ,1497,-0.13,59055.63,18.96,283.78
TRENT,EQ,2669.3,-1.14,142335.7,10.55,282
FCL,EQ,60.4,7.72,7033.59,470.42,277.92
TMCV,EQ,440,0.65,162042.73,62.74,276.64
SEDEMAC,EQ,3450,4.12,15238.82,8.01,271.64
SHRIRAMFIN,EQ,994.1,0.41,233916.21,27.01,268.35
IFCI,EQ,73.85,-1.78,19897.51,361.4,267.54
CASTROLIND,EQ,201.59,3.49,19938.56,132.37,264.17
GROWW,EQ,187.25,0.38,117473.1,140.81,263.06
SONACOMS,EQ,824.5,1,51459.39,31.01,256.22
AUBANK,EQ,1018,1.79,76450.76,25.24,255.53
SWIGGY,EQ,264.85,-0.97,73106.9,95.96,254.14
VAML,EQ,426,-0.79,166582.53,59.13,253.07
BAJAJFINSV,EQ,1771,0.49,283725.06,14.19,250.76
POLYCAB,EQ,8408.5,0.5,126709.02,2.97,249.11
GREAVESCOT,EQ,234.52,5.72,5463.18,107.3,246.09
GRASIM,EQ,3191,0.77,217159.59,7.73,246.08
AHCL,EQ,31.51,9.98,1674.8,802.11,242.96
DLF,EQ,683,1.88,169064.02,35.73,242.27
HINDALCO,EQ,977,-0.51,219554.03,24.69,241.37
PROTEAN,EQ,695,8.26,2834.15,35.6,240.23
ZYDUSLIFE,EQ,1203.9,2,120089.49,19.92,238.45
BEL,EQ,393.55,0.4,287676.35,60.83,238.33
SOLARINDS,EQ,19745,1.36,178672.61,1.2,236.94
MOTHERSON,EQ,165.71,1.98,174890.56,142.4,232.51
VBL,EQ,434.8,0.82,147070.87,53.65,232.28
SUZLON,EQ,40.8,0.15,56082,570.74,231.32
HDFCLIFE,EQ,531,0.78,115364.47,42.86,226.37
MOTISONS,EQ,17.87,-4.9,2032.72,1195.58,221.42
ULTRACEMCO,EQ,11155,0.9,328714.62,1.91,212.28
INDOMIM,EQ,1271,-3.06,62848.52,16.38,212.06
FORTIS,EQ,837.85,-4.5,63254.17,24.33,206.13
RATNAVEER,EQ,333.4,2.92,2798.1,61.23,204.39
ADANIENSOL,EQ,1338.5,-0.15,163692.46,15.35,204.16
COALINDIA,EQ,426.1,0.97,262593.85,47.98,203.97
INDIGO,EQ,4940,1.02,191013.3,4.09,201.18
DELTACORP,EQ,76.8,5.67,2056.48,264.45,200.45
FEDERALBNK,EQ,322,-2.28,79585.74,61.29,200.11
HINDZINC,EQ,588.95,0.31,248850.16,33.49,197.83
NTPC,EQ,326.6,0,316693.12,60.76,197.81
HCLTECH,EQ,1258,1.16,341379.07,15.68,196.99
LIQUIDCASE,EQ,116.11,0.04,10700.12,168.75,195.92
MAXHEALTH,EQ,1014,-3.06,98693.66,19.01,194.18
TORNTPHARM,EQ,4988.5,1.22,189741.72,3.87,191.9
