Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
RENTOMOJO,EQ,546,13.17,5684.67,458.89,2349.35
KANOHAR,EQ,824,9.65,6525,230.03,1916.43
GLASSWALL,EQ,257.82,20,2267.15,640.16,1546.04
HDFCBANK,EQ,713,-1.18,1099030.97,215.43,1541.92
SYRMA,EQ,1616.1,6.94,31163.33,91.82,1494.08
IFCI,EQ,77.05,2.65,20759.69,1768.98,1375.56
POLICYBZR,EQ,1765,-3.4,81665.64,66.41,1168.92
TATACHEM,EQ,774.65,5.86,19734.7,143.22,1118.99
ICICIBANK,EQ,1347.6,-0.82,967295.8,78.68,1065.11
RELIANCE,EQ,1243.9,0.31,1683312.49,77.53,964.75
KARAMTARA,EQ,352,10,11328.16,274.34,931.94
BSE,EQ,3259,0.59,132929.42,27.7,905.54
PINELABS,EQ,183.85,-1,21213.68,478.71,903.81
ETERNAL,EQ,322.35,1.69,311079.05,275.43,894.24
SBIN,EQ,988.7,-0.27,912645.91,86.24,853.92
STEAMHOUSE,EQ,101.38,7.28,2802.21,811.39,804.82
BHARTIARTL,EQ,1836,0.05,1145755.99,43.68,802.12
TEGA,EQ,1909.4,11.2,14344.88,39.1,735.1
RIR,EQ,199,10.7,1583.49,363.91,729.1
TCS,EQ,2190,0.05,792361.17,32.96,724.81
PAYTM,EQ,1763,-1.51,113115.46,40.86,723.79
NIACL,EQ,196.76,6.82,32426.05,346.51,678.64
RATNAVEER,EQ,302.9,5.63,2542.13,213.39,649.04
SHAREINDIA,EQ,219.25,11.83,4768.51,289.24,620.63
HBLENGINE,EQ,758,7.57,21011.38,80.35,598.48
M&M,EQ,3076.5,0.21,382571.64,18.75,581.75
INFY,EQ,1058.6,-0.13,429604.49,54.7,577.39
AXISBANK,EQ,1240,-0.08,386064.84,44.14,550.7
TATASTEEL,EQ,187.29,2.34,233803.98,293.98,545.74
DHOOTTRANS,EQ,1567,-1.5,32052.68,33.06,522.18
HDFCLIFE,EQ,557,5.05,121013.21,93.74,519.66
NETWEB,EQ,4572,0.22,27179.42,11.2,511.32
LT,EQ,3836.2,0.75,527809.75,13.19,508.23
MOLBIO,EQ,1279,-2.14,14739.2,38.01,502.16
MCX,EQ,3265.2,1.68,83259.94,15.31,499.25
BAJFINANCE,EQ,1015,0.87,631899.85,48.17,489.31
GNFC,EQ,584.3,8.25,8585.74,82.5,484.81
KOTAKBANK,EQ,416.5,0.36,414319.87,114.75,476.22
DIVISLAB,EQ,9323,1.8,247496.36,4.94,459.07
GROWW,EQ,187.17,-1.36,117422.91,236.14,448.1
PNBHOUSING,EQ,1103.5,-2.69,28779.71,39.85,447.1
KAYNES,EQ,3520,3.99,23596.2,12.42,437.62
SHRIRAMFIN,EQ,995,1.63,234121.86,42.86,425.85
ARCIL,EQ,137.15,-1.33,4455.96,310.12,425.49
TECHM,EQ,1561,0.19,152998.88,27.3,424.69
TVSMOTOR,EQ,4101.7,1.7,194866.48,10.26,422.9
MOTISONS,EQ,18.05,8.6,2053.2,2362.63,421.49
WELCORP,EQ,2463,1.59,64971.64,16.99,420.13
SOLARINDS,EQ,18815,-0.45,170257.04,2.15,404.79
LCCPROJECT,EQ,170.1,-10,4927.31,224.68,403.53
ATHERENERG,EQ,1550,-1.12,61146.44,25.13,389.48
YATHARTH,EQ,1077,9.64,10377.36,36.79,388.6
INDUSINDBK,EQ,958.2,1.24,74657.25,39.74,382.07
TMPV,EQ,314.5,4.49,115834.74,119.04,370.43
BHEL,EQ,429.2,4.53,149450.16,86.85,368.78
EMAMILTD,EQ,377.9,2.33,16495.34,94.68,363.91
RAYMOND,EQ,974.5,-1.95,6487.61,36.34,357.74
DIXON,EQ,13290,0.83,81295.71,2.67,356.76
ITC,EQ,266.2,0.78,333611.41,133.65,355.68
LENSKART,EQ,677.55,0.25,117846.69,51.64,353.64
MAZDOCK,EQ,2210,-0.98,89146.98,15.6,344.51
APARINDS,EQ,17737,3.88,74268.96,1.96,343.03
DATAPATTNS,EQ,4410.9,2.06,24693.97,7.63,337.87
MOREPENLAB,EQ,119.9,4.51,6569.96,275.14,326.37
LAURUSLABS,EQ,1948.1,2.24,105258.22,16.45,320.25
CHOLAFIN,EQ,1764.5,-0.06,150699.94,18.02,317.54
KALYANKJIL,EQ,581.45,0.09,60049.31,53.95,315.78
SBILIFE,EQ,1766.9,4.06,177281.84,17.61,308.06
BEL,EQ,395.45,2.51,289065.2,78.2,307.79
MARUTI,EQ,12338,1.41,387909.9,2.49,306.84
POWERINDIA,EQ,31230,3.41,139199.49,0.99,304.89
EMUDHRA,EQ,629.45,-2,5212.58,47.59,299.18
LIQUIDCASE,EQ,115.96,0.03,10355.92,257.71,298.81
SILVERBEES,EQ,216.69,-0.81,31509.55,137.37,297.13
LICI,EQ,400,1.14,505999.82,74.1,296.86
LIQUIDBEES,EQ,1000.01,0,10827.37,29.63,296.27
HEROMOTOCO,EQ,5325,1.72,106575.19,5.36,285.1
MPIMANIPAL,EQ,348.1,5.48,8069.12,85.11,283.95
PCJEWELLER,EQ,12.35,-2.29,11992.51,2255.54,283.75
GOLDBEES,EQ,124.41,-0.4,57553.01,227.69,283.07
REDINGTON,EQ,401.5,3.44,31388.24,70.93,282.46
JIOFIN,EQ,229.3,1.98,151410.04,123.03,281.36
VAML,EQ,403.8,-1.34,157901.47,68.8,279.84
CHENNPETRO,EQ,1414.5,-2.85,21063.52,18.91,272.34
DRREDDY,EQ,1175,3.07,98072.42,23.12,270.59
VENUSPIPES,EQ,2107,8.71,4364.88,12.96,267.91
HINDALCO,EQ,980.5,0.8,220340.56,27.24,267.09
IDEA,EQ,14.22,-0.28,154063.8,1864.55,266.26
TATAINVEST,EQ,718.95,5.43,36375.33,37.32,264.91
ONGC,EQ,232.43,-1.85,292403.43,110.62,257.4
SUNPHARMA,EQ,1867.3,0.74,448017.26,13.78,256.03
SWIGGY,EQ,276.5,2.22,76322.67,92.41,255.08
HAL,EQ,4788,1.97,320209.47,5.29,251.55
INDIGO,EQ,4845,2.36,187339.97,5.1,245.4
CDSL,EQ,1349.4,3.88,28202.46,18.23,244.83
GRAPHITE,EQ,813.2,1.01,15887.94,29.9,244.55
SONACOMS,EQ,777.9,1.29,48550.95,30.94,241.6
TITAN,EQ,4841,-1.38,429777.28,4.89,238.09
TEMPSENS,EQ,538.8,-0.32,4516.91,43.9,237.72
LODHA,EQ,1103.1,1.44,110236.65,21.57,237.02
PAISALO,EQ,88.51,4.63,8050.18,265.02,236.14
GRASIM,EQ,3173.1,-0.44,215941.42,7.38,234.93
COFORGE,EQ,1793,1.49,79408.11,13.05,232.19
MUTHOOTFIN,EQ,2770.2,-0.04,111214.8,8.3,229.88
HINDUNILVR,EQ,1942.2,-1.01,456337.61,11.71,229.16
AWHCL,EQ,383,10.85,1087.03,59.32,228.51
HINDCOPPER,EQ,486.2,0.96,47016.71,46.9,227.55
AFCONS,EQ,265.9,2.9,9779.39,87.54,227.51
PFOCUS,EQ,334.9,4.51,26081.14,65.93,220.25
GVT&D,EQ,4341,1.73,111149.8,5.04,218.78
PFC,EQ,344.95,-0.3,113837.01,62.59,216.88
LUMINO,EQ,107.99,7.68,3288.88,207.59,216.68
POLYCAB,EQ,8208.5,1.07,123695.19,2.61,214.2
INDOMIM,EQ,990.9,4.74,48998.11,21.52,211.83
FOSECOIND,EQ,6731,-1.69,5073.33,2.93,207.43
APOLLO,EQ,378.5,2.2,14065.04,54.79,207.23
ENTERO,EQ,1662,-4.03,7233.53,12.34,207.01
TMCV,EQ,436.45,2.88,160735.34,47.75,206.06
CGPOWER,EQ,880,3.34,138639.61,23.43,204.36
SRF,EQ,2536,2.25,75173.34,7.97,202.36
TATACONSUM,EQ,1013.7,1.36,100285.5,19.67,199.09
TORNTPHARM,EQ,4875,1.3,185424.65,4.11,198.85
GLAND,EQ,2900,2.6,47840.33,6.79,197.23
SAIL,EQ,175.01,0.84,72288.32,112.47,196.64
ULTRACEMCO,EQ,10764,0.6,317192.66,1.81,194.9
EICHERMOT,EQ,7493.5,-0.09,205712.84,2.56,192.69
AEGISVOPAK,EQ,310.85,4.68,34441.92,60.87,189.06
PNB,EQ,116.47,-0.28,133858.31,159.25,187.67
LICHSGFIN,EQ,545.9,0.53,30027.94,33.78,185.19
NTPC,EQ,329.6,0.8,319602.12,55.9,184.21
KRSNAA,EQ,535.6,-0.15,1737.42,32.67,184.17
ADANIPOWER,EQ,205.92,1.77,397110.43,87.95,179.91
FEDERALBNK,EQ,332.75,-2.65,82235.92,53.21,179.1
POWERGRID,EQ,263.75,0.36,245303.43,65.34,172.85
HCLTECH,EQ,1258.3,0.42,341460.48,13.86,172.74
HINDZINC,EQ,572.3,0.85,241815.01,30.2,172.36
ADANIENT,EQ,2923.2,0.11,395634.71,5.88,172.24
NYKAA,EQ,323.75,-0.57,92731.54,52.16,169.49
JSWSTEEL,EQ,1253.4,0.36,306513.2,13.52,169.02
TFCILTD,EQ,138.76,-0.04,6424.27,120.33,167.94
APOLLOHOSP,EQ,8768.5,0.83,126077.58,1.91,167.61
CUPID,EQ,279.2,-0.29,37542.93,59.23,165.1
IIFL,EQ,594.7,1.54,25297.41,27.22,162.17
YESBANK,EQ,23.13,-1.15,72601.13,699.14,161.78
ADANIENSOL,EQ,1386.8,2.79,169599.33,11.85,161.02
OLAELEC,EQ,36.74,-1.34,17004.77,434.08,160.05
MEESHO,EQ,206.92,-2.97,95725.76,76.38,159.5
DLF,EQ,640,2.76,158420.16,24.78,158.15
FINCABLES,EQ,1389,1.94,21243.28,11.23,157.36
BRITANNIA,EQ,4982,-0.35,120000.59,3.09,154.71
PRANAV,EQ,111,3.92,1250.11,136.66,153.64
OFSS,EQ,11620,0.96,101190.59,1.32,152.57
LALITHAA,EQ,290.4,-4.99,16253.97,51.87,152.08
WIPRO,EQ,166.4,-0.29,164818.12,91.3,151.88
HYUNDAI,EQ,2160,0.23,175508.88,6.87,150.45
NESTLEIND,EQ,1370.6,-1,264294.76,10.83,149.15
BAJAJ-AUTO,EQ,11500,-0.8,316024.41,1.29,148.86
CPPLUS,EQ,3370.4,-5,39871.98,4.32,148.7
MFSL,EQ,1554,4.46,53630.84,9.58,147.67
PRASOLCHEM,EQ,680.8,1.46,4029.21,22.05,147.53
ABB,EQ,7130.5,2.16,151101.27,2.07,146.82
NEOGEN,EQ,2380,3.37,6516.84,6.05,146.19
IDFCFIRSTB,EQ,86.33,1.55,74431.22,169.99,145.69
PARAS,EQ,1375,4.26,11080.76,10.67,145.04
TDPOWERSYS,EQ,722.5,3.81,22575.01,20.3,144.94
VBL,EQ,415.45,1.23,140524.5,34.73,144.67
MARICO,EQ,817,0.85,106225.4,17.62,144.46
INDUSTOWER,EQ,381.35,1.53,100606.34,37.56,143.02
DMART,EQ,3711.2,-0.24,242061.53,3.82,142.52
SIEMENS,EQ,3763.5,0.57,134025.95,3.74,141.42
KIRLOSENG,EQ,2120,3.9,30850.21,6.64,140.74
COALINDIA,EQ,418,-1.01,257602.04,33.29,139.5
BANKINDIA,EQ,138.17,0.26,62904.21,99.76,138.8
ASHOKLEY,EQ,158.62,1.35,93171.08,87.26,138.41
ADANIPORTS,EQ,1738.3,0.84,400497.21,7.91,137.21
CANBK,EQ,123.9,0.57,112385.37,111,137.21
MAHABANK,EQ,80.8,0.74,62147.65,164.54,134.43
SUZLON,EQ,42.54,0.93,58473.73,311.54,132.65
HFCL,BE,210.01,-1.36,32144.18,61.41,129.41
TRENT,EQ,2789,0.7,148718.49,4.6,128.15
CUMMINSIND,EQ,5020,1.62,139154.4,2.55,127.53
PERSISTENT,EQ,5473,0.61,86336.58,2.33,127.47
AUROPHARMA,EQ,1690,2.86,97238.86,7.59,127.33
NIFTYBEES,EQ,266.36,0.51,66005.11,47.33,125.85
ICICIPRULI,EQ,490.5,4.36,71182.37,25.51,124.69
WOCKPHARMA,EQ,2084,3.09,33861.99,6.03,123.85
NAUKRI,EQ,1265,0.72,82025.21,9.71,123.43
ALKEM,EQ,5348.5,3.35,63949.34,2.32,122.83
INDHOTEL,EQ,726.65,1.86,103433.7,16.98,122.78
ZYDUSLIFE,EQ,1135.1,2.49,113226.66,10.86,122.53
LIQUID1,EQ,1122.95,0.01,2396.92,10.81,121.36
PATANJALI,EQ,354.45,-2.89,38568.01,33.51,119.87
ANTELOPUS,EQ,1128,-3.67,3966.31,10.3,119.14
ASIANPAINT,EQ,2454,1.55,235387.14,4.86,118.51
HDFCAMC,EQ,2387.7,0.62,102387.09,4.92,118.03
GESHIP,EQ,1423,2.26,20315.77,8.32,117.66
QUADFUTURE,EQ,517.25,5.14,2069,22.51,116.55
MAXHEALTH,EQ,1037,1.17,100932.27,11.18,115.85
SETL,EQ,401.45,-4.99,8008.59,28.42,115.62
DELHIVERY,EQ,425.95,0.98,31910.77,27.15,115.27
BIOCON,EQ,380,1.5,61928.38,30.43,115.15
SBICARD,EQ,636.95,3.05,60614.91,18.12,114.71
MOTHERSON,EQ,161.87,2.27,170837.82,70.26,113.69
ANANTRAJ,EQ,594.55,1.89,21396.48,18.98,112.84
WAAREEENER,EQ,2473,-1.12,71136.18,4.53,112.79
NAM-INDIA,EQ,1119,-0.44,71591.56,9.97,111.18
AZAD,EQ,2616,1.33,16894.58,4.23,111.04
MANKIND,EQ,2300,2.4,95000.37,4.88,110.95
FORCEMOT,EQ,17650,1.54,23003.09,0.63,110.38
SUNSHINE,EQ,394,8.33,1227.26,29.11,110.24
MOBIKWIK,EQ,200,0.82,1574.94,53.93,110.17
MILKYMIST,EQ,275,-0.45,21170.69,39.75,109.73
GMRAIRPORT,EQ,95.04,2.79,100352.51,115.55,109.62
IPCALAB,EQ,1977.8,1.39,50177.62,5.56,109.62
LUPIN,EQ,2098.1,2.6,95938.95,5.26,109.15
NATIONALUM,EQ,355.7,-0.08,65328.99,30.33,108.32
WELSPUNLIV,EQ,212.25,4.65,20052.37,51.53,108.32
ABCAPITAL,EQ,390,2.28,106764.39,27.83,108.05
STLTECH,BE,832,1.71,42757.42,12.99,107.88
ICICIGI,EQ,1486.7,3.24,74275.95,7.28,107.77
QPOWER,EQ,1494,5,11570.15,7.29,107.7
ZENSARTECH,EQ,440.05,-2.24,10014.69,24.56,107.55
BANKBARODA,EQ,232.3,-1.14,120130.74,45.77,106.93
AHCL,EQ,22.07,10.13,1173.05,497.45,105.71
ROSSTECH,EQ,1351.3,0.13,5093.92,7.59,105.33
LTF,EQ,302.3,2.3,75767.04,35,105.18
TATAPOWER,EQ,369,2.39,117908.03,28.6,104.58
FORTIS,EQ,886.1,1.82,66896.84,11.75,104.53
AEROFLEX,EQ,496.5,3.2,6570.22,20.62,103.47
ZEEL,EQ,78.15,-1.82,7506.46,131.55,103.35
COCHINSHIP,EQ,1334.3,1.16,35102.87,7.79,103.02
RECLTD,EQ,310.5,-0.69,81761.61,32.23,100.74
MRPL,EQ,163.76,-1.41,28700.56,61.13,100.64
CIPLA,EQ,1376.3,1.35,111185.56,7.31,100.32
BHARATFORG,EQ,1918.7,1.79,91717.44,5.22,100.07
UPL,EQ,554.75,0.75,46830.29,18.05,99.94
KEI,EQ,4560,1.2,43593.87,2.19,99.08
JSFB,EQ,516.7,1.99,5464.23,18.66,97.67
KISSHT,EQ,360.15,5.11,6384.35,27.25,97.41
CYIENTDLM,EQ,889.4,2.54,7060.36,10.59,96.19
LTM,EQ,4265.3,0.76,126517.89,2.26,95.95
GODREJPROP,EQ,1678.2,0.77,50551.83,5.7,95.9
MOSCHIP,EQ,208.5,4.69,4066.75,45.43,95.21
KRN,EQ,1404.2,-2.37,9191.68,6.76,95.13
UNIONBANK,EQ,178.09,-0.06,135946.88,53,94.25
CASTROLIND,EQ,191.7,1.51,18960.37,49.24,94.12
JSL,EQ,722.5,-1.14,59564.32,12.87,94.01
MVELECTRO,EQ,789,-3.67,2152.61,11.64,93.59
CAMS,EQ,714.95,1.31,17760.67,13.04,93.01
BPCL,EQ,307,1.2,133189.89,30.06,91.99
WABAG,EQ,2077.1,1.04,12980.12,4.39,91.88
RBLBANK,EQ,404.15,0.04,62681.22,22.54,91.62
ADANIGREEN,EQ,1274.2,0.31,209146.41,7.17,91.09
IBULLSLTD,EQ,29.51,2.5,6882.33,303.73,90.08
SEDEMAC,EQ,3102.5,-0.64,13703.9,2.85,90.03
MANINDS,EQ,828,4.77,6210.79,10.88,89.11
KMCSHIL,EQ,157.91,7.47,2575.28,56.87,88.56
NAVINFLUOR,EQ,8222,0.75,42172.59,1.07,87.79
NHPC,EQ,75.2,-0.28,75538.66,116.27,87.58
NPST,EQ,1866,1.71,3893.13,4.61,86.31
TEJASNET,EQ,526.25,2.22,9370.69,16.6,86.22
PRESTIGE,EQ,1440.1,1.13,62029.46,5.98,85.9
BAJAJFINSV,EQ,1859.2,1.21,297855.25,4.61,85.14
KIMS,EQ,798,4.09,33516.52,10.82,85.07
VEDL,EQ,257.45,0.57,100672.94,32.97,84.59
GOLDIETF,EQ,128.84,-0.46,27860.35,64.97,83.74
KOPRAN,EQ,267.89,2.69,1293.58,31.37,83.49
BOSCHLTD,EQ,47735,0.38,140799.63,0.17,83.27
FLUOROCHEM,EQ,4461,-1.54,49004.09,1.84,82.89
PREMIERENE,EQ,880,-2.11,39947.73,9.28,82.75
AVALON,EQ,2234.1,0.81,14926.41,3.64,82.01
OIL,EQ,477.4,-2.09,77654.26,17.08,81.72
ACE,EQ,1205,4.81,14349.53,6.86,81.39
MOTILALOFS,EQ,988.7,1.25,59551.7,8.19,81.39
JINDALSTEL,EQ,1128.4,2.3,115106.74,7.19,81.06
AXISCADES,EQ,1852.9,10,7881.03,4.44,80.92
AUBANK,EQ,1039.3,0.59,78050.37,7.71,80.07
FCL,EQ,53.25,0.34,6200.97,150.08,79.92
BLUESTARCO,EQ,1553,3.26,31931.98,5.17,79.84
GRANULES,EQ,872.5,4.42,21620.28,9.16,78.94
JKPAPER,EQ,418,0.16,7579.12,18.33,78.67
SHREEJISPG,EQ,689.2,-0.14,11228.33,11.4,78.47
SHILPAMED,EQ,953,2.69,18638.95,8.2,78.06
COLPAL,EQ,1840.3,-1.06,50053.52,4.16,77.7
BDL,EQ,1151.9,1.4,42224.33,6.77,77.54
