Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SWIGGY,EQ,276.1,2.53,76212.26,1843.69,5111.83
IFCI,EQ,102.17,6.53,27527.81,4073.53,4196.95
BSE,EQ,3409.8,3.14,139080.31,79.75,2739.58
RELIANCE,EQ,1322,1.5,1789001.62,130.32,1728.35
LUMINO,EQ,114.95,4.2,3500.84,1390.7,1622.67
TEJASNET,EQ,612,7.85,10897.6,260.86,1589.83
NIACL,EQ,231,18.26,38068.8,669.29,1492.98
ESDS,EQ,908.4,20,10647.44,157.9,1311.58
POLYCAB,EQ,8300,-5.76,125061.59,15.6,1302.55
PCJEWELLER,EQ,11.99,13.97,11642.93,10889.43,1242.48
KEI,EQ,4850,-8.95,46366.29,23.82,1173
HDFCBANK,EQ,712.1,0.77,1097643.69,144.88,1033.81
JINDWORLD,EQ,57.78,20,5793.03,1882.76,1023.84
HBLENGINE,EQ,695,4.42,19265.05,143.12,1012.25
DHOOTTRANS,EQ,1580,-0.22,32318.59,60.47,981.43
NETWEB,EQ,5190,-1.52,30852.43,18.16,961.49
ICICIBANK,EQ,1423.2,-0.48,1021445.21,66.94,956.68
ATHERENERG,EQ,1584,-3.35,62487.72,55.86,888.63
ANGELONE,EQ,299.8,4.83,27402.81,292.74,882.5
GROWW,EQ,194.5,2.24,122021.45,447.02,867.4
PAYTM,EQ,1659.5,1.37,106396.04,51.92,866.69
GLAND,EQ,2939.7,1.09,48495.25,29.78,864.42
MCX,EQ,3275.4,3.32,83520.03,24.86,803.78
PWL,EQ,126.74,5.09,36765.84,621.6,788.07
IDEA,EQ,15.02,3.73,162731.24,5259.61,786.84
PINELABS,EQ,166.52,6.4,19214.04,465.87,765.29
WOCKPHARMA,EQ,2097,7.51,34073.22,35.58,732.57
LALITHAA,EQ,308.3,9.99,17255.85,237.82,705.15
LENSKART,EQ,683.05,1.58,118803.31,101.88,698.55
SBIN,EQ,1016.1,-0.71,937923.05,67.25,686.95
HAL,EQ,4856,1.9,324757.14,14,685.1
TATASTEEL,EQ,188.79,2.49,235676.51,365.01,683.81
PFC,EQ,355.6,2.92,117351.62,192.06,678.48
RESPONIND,EQ,151.99,0.08,4052.18,401.85,677.28
BHARTIARTL,EQ,1840,-1.55,1148252.19,36.14,670.44
INFY,EQ,1130,-0.03,458580.27,58.81,665.83
RRKABEL,EQ,2458,-6.1,27801.33,25.97,640.11
BAJFINANCE,EQ,1060.5,1.1,660226.4,59.52,628.57
SKIPPER,EQ,591.75,8.2,6681.1,101.18,597.01
TCS,EQ,2304,-0.69,833607.36,25.64,595.1
KALYANKJIL,EQ,598.8,2.31,61841.13,96.62,578.42
ETERNAL,EQ,322.75,-0.63,311465.07,178.24,576.75
LT,EQ,3964.1,-0.27,545407.08,13.19,525.3
AFFLE,EQ,1626,7.03,22906.99,32.13,516.05
DIXON,EQ,14240,-1.42,87066.39,3.51,499.16
MEESHO,EQ,209.98,0.11,97112.99,229.5,487.84
AXISBANK,EQ,1273,0.47,396316.12,38.11,485.64
ANTELOPUS,EQ,949,-6.35,3336.91,48.16,480.52
M&M,EQ,3170,0.63,394198.64,14.89,471.98
HINDUNILVR,EQ,1973.4,0.58,463668.34,22.47,443.38
JAYNECOIND,EQ,88.7,-10.11,8612.75,498.4,441.18
INDOMIM,EQ,967,4.84,47816.3,45.13,435.74
SHRIRAMFIN,EQ,1041,-0.31,244945.59,41.36,431.17
KAYNES,EQ,3598,3.24,24119.07,12.11,430.04
MARUTI,EQ,12694,-1.27,399102.63,3.23,410.83
LICHSGFIN,EQ,562.05,1.45,30916.29,71.27,406.11
PURVA,EQ,227.5,7.77,5395.16,173.9,400.09
KOTAKBANK,EQ,424.5,0.8,422278,94.08,398.97
SAIL,EQ,196.8,-0.1,81288.74,190.94,377.49
EICHERMOT,EQ,7630.5,-0.77,209473.79,4.93,375.78
HINDALCO,EQ,1011,0.1,227194.6,36.82,373.39
MILKYMIST,EQ,252.95,0.02,19473.19,145.99,370.4
SILVERBEES,EQ,222.75,1.31,32341.73,160.86,358.07
BEL,EQ,405.35,-0.8,296301.88,83.55,342.24
HAVELLS,EQ,1154,-3.83,72420.61,28.41,329.19
HDFCLIFE,EQ,546.4,2.42,118704.03,60.16,326.6
WELCORP,EQ,2573.9,-2.56,67897.07,12.48,326.05
RBLBANK,EQ,414.35,1.53,64263.17,78.59,325.22
HEROMOTOCO,EQ,5300,-0.16,106074.84,6.07,321.81
ULTRACEMCO,EQ,11408,1.18,336170,2.81,318.7
ADANIENT,EQ,2938,1.28,397637.62,10.61,311.3
SBILIFE,EQ,1775,3.5,178094.55,17.2,302.22
BHARATFORG,EQ,1956,-1.26,93500.45,15.26,300.76
GRASIM,EQ,3322,0.36,226074.63,8.93,296.13
PRABHA,EQ,234.99,6.34,3217.14,119.09,289.84
TMCV,EQ,457.5,-0.62,168483.54,62.45,288.73
VAML,EQ,439,0.72,171666.04,66.42,288.54
HCLTECH,EQ,1293.4,-1.94,350985.44,22.11,288.45
RML,EQ,1295.4,14.9,3580.11,21.95,284.19
JIOFIN,EQ,239.5,0.86,158145.24,118.6,283.96
