Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ETERNAL,EQ,328.1,0.03,316628,2721.52,8897.73
LENSKART,EQ,663,4.22,115316,1117.15,7387.38
LAURUSLABS,EQ,1915,-1.21,103469.79,309.95,5918.93
HDFCBANK,EQ,709,-1.57,1092648.47,781.57,5634.34
ADANIENSOL,EQ,1417.4,-10.37,173341.57,355.9,5147.9
GROWW,EQ,193.7,1.17,121519.57,2354.95,4525.51
RELIANCE,EQ,1277,-0.78,1728105.19,348.71,4458
ADANIENT,EQ,2859.1,-9.76,386959.06,128.72,3756.18
ATHERENERG,EQ,1717.7,6.27,67762.09,197.68,3313.88
BHARTIARTL,EQ,1811.9,-3.75,1130716.39,169.21,3126.43
BALRAMCHIN,EQ,688,5.06,14548.94,395.56,2823.21
BALKRISIND,EQ,2300,-1.71,44462.95,96.82,2209.81
ICICIBANK,EQ,1454,2.19,1043463.67,153.32,2201.39
BSE,EQ,3282,-3.61,133867.55,61.23,2019.97
ASTRAL,EQ,1522.2,-0.66,40893.93,115.16,1760.63
SBICARD,EQ,644.75,0.58,61357.19,262.71,1701.04
AUGMONT,EQ,904,-5.93,8260.16,176.91,1685.91
ADANIPORTS,EQ,1593.1,-6.7,367043.72,96.22,1559.37
ASHOKA,EQ,119.74,6.29,3361.38,984.68,1228.98
M&M,EQ,3282,-1.56,408126.16,36.13,1196.92
ADANIPOWER,EQ,198,-6.88,381836.96,539.08,1094.49
ZEEL,EQ,93.74,-7.65,9003.91,1092.55,1012.24
INFY,EQ,1133.8,-0.89,460122.4,88.08,990.93
MCX,EQ,3400,2.04,86697.23,28.02,938.13
VAML,EQ,436.7,-4.26,170766.65,184.74,805.7
KAYNES,EQ,3685,-6.55,24702.27,21.45,804.44
KOTAKBANK,EQ,419.4,-1.01,417192.73,189.93,801.61
NORTHARC,EQ,312.5,9.36,5051.61,252.96,784.84
AXISBANK,EQ,1300,2.77,404700.77,60.94,774.21
MVELECTRO,EQ,746,3.68,2035.29,103.68,764.51
SHIPROCKET,EQ,139.8,11.48,10171.53,558.99,753.69
NAM-INDIA,EQ,1172.3,-1.85,75001.59,63.2,744.48
BAJFINANCE,EQ,1057,-2.12,658047.43,70.02,742.13
OLAELEC,EQ,40.9,4.93,18930.19,1783.58,725.38
