Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,731,2.52,1126776.49,394.01,2868.37
BHARTIARTL,EQ,1893.3,3.12,1181514.07,141.9,2659.29
ATGL,EQ,657.6,12.03,72323.51,393.06,2565.1
INFY,EQ,1051.4,-0.68,426682.56,221.25,2318.54
GLASSWALL,EQ,273.6,6.12,2405.91,738.2,2074.49
RENTOMOJO,EQ,512.15,-4.14,5332.24,352.42,1877.54
RELIANCE,EQ,1226.4,-1.41,1659630.55,151.23,1867.28
LENSKART,EQ,721.4,6.1,125473.55,256.91,1810.23
SYRMA,EQ,1720,6.32,33166.84,104.74,1806.3
MEESHO,EQ,219.63,5.94,101605.68,833.77,1784.6
TCS,EQ,2105,-3.88,761607.42,68.75,1456.18
GROWW,EQ,193,2.97,121080.41,731.11,1393.87
PINELABS,EQ,194.15,5.24,22402.15,668.08,1272.56
WELCORP,EQ,2660,8.12,70168.31,46.29,1209.29
SKYWAYS,EQ,124.7,5.7,1812.43,929.41,1202.57
AVALON,EQ,2602,16.68,17402.77,43.11,1067.18
KARAMTARA,EQ,350,-0.57,11263.8,296.26,1046.82
ICICIBANK,EQ,1338.9,-0.65,961051.02,75.09,1008.56
TATACHEM,EQ,689.4,-11.54,17562.9,140.86,999.88
M&M,EQ,3052,-0.8,379525,29.73,912.06
JSWINFRA,EQ,349.65,7.04,81468.5,254.71,883.65
BAJFINANCE,EQ,1040.3,2.49,647650.66,82.02,845.15
PAYTM,EQ,1849.9,4.93,118691.03,46.4,834.85
HINDALCO,EQ,986.5,0.61,221688.9,83.1,820.66
MARUTI,EQ,12103,-1.9,380521.44,6.6,805.34
ATHERENERG,EQ,1640,5.81,64696.88,50.1,803.02
ADANIPORTS,EQ,1824,4.93,420242.14,41.49,741.39
YATHARTH,EQ,1134,5.74,10926.58,64.84,738.84
CUPID,EQ,262.9,-5.82,35351.13,272.88,730.27
MCX,EQ,3260,-0.16,83127.34,21.97,717.04
AXISBANK,EQ,1257,1.37,391357.67,56.93,711.35
LIQUIDBEES,EQ,1000,0,10831.79,69.1,690.97
BSE,EQ,3266.4,0.23,133231.25,20.75,676.34
DIVISLAB,EQ,9375,0.56,248876.79,6.92,648.45
KOTAKBANK,EQ,412.5,-0.96,410340.81,154.61,643.28
SILVERBEES,EQ,224.25,3.51,32430.22,284.78,635.71
INDUSINDBK,EQ,966.3,0.85,75288.35,62.51,602.8
LT,EQ,3885,1.27,534523.97,15.48,600.23
KANOHAR,EQ,784,-4.04,6208.25,73.45,597.77
ETERNAL,EQ,326.85,1.4,315421.71,176.97,579.84
TMCV,EQ,440.35,0.97,162171.63,131.3,576.4
SHAREINDIA,EQ,226.23,3.57,4920.32,249.58,565.65
SBIN,EQ,996.2,0.76,919568.99,56.99,565.32
SWIGGY,EQ,273.05,-1.25,75370.36,201.4,555.47
TMPV,EQ,303.8,-3.4,111893.78,180.37,549.52
TVSMOTOR,EQ,4171.3,1.7,198173.09,13.05,544.53
TATASTEEL,EQ,185.54,-0.93,231619.36,290.14,540.65
SUNPHARMA,EQ,1837.3,-1.61,440819.43,28.97,535.88
LODHA,EQ,1144.7,3.77,114393.89,47.27,534.5
