Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
PCJEWELLER,EQ,13.99,17.96,13585.04,21965.24,2934.56
IFCI,EQ,102.29,0.9,27560.14,2078.31,2158.11
SYRMA,EQ,1627,11.64,31373.52,130.8,2082.51
MVELECTRO,EQ,819.8,12.35,2236.64,204.14,1661.21
BSE,EQ,3446.2,1.07,140565.01,39.53,1361.96
RELIANCE,EQ,1309.5,-0.95,1772085.95,102.11,1336.38
ICICIBANK,EQ,1427.5,0.3,1024531.37,80.35,1146.47
BHARTIARTL,EQ,1854,0.76,1156988.9,59.72,1100.17
IDEA,EQ,15.6,3.86,169015.13,6953.55,1078.5
SBIN,EQ,1005.9,-1,928507.82,102.2,1028.31
MILKYMIST,EQ,277.49,9.93,21362.38,352.62,954.36
WOCKPHARMA,EQ,2212.8,5.94,35954.81,43.2,941.68
HDFCBANK,EQ,710.5,-0.22,1095177.42,121.8,865.33
INFY,EQ,1087.5,-3.76,441332.78,76.68,839.05
LALITHAA,EQ,317,3.36,17742.8,247.06,786.35
HIKAL,EQ,243.5,9.54,3002.37,310.89,762.81
SWIGGY,EQ,276.45,0.13,76308.87,237.44,659.41
MCX,EQ,3330.2,1.67,84917.38,18.89,630.76
SAIL,EQ,187.9,-4.52,77612.57,326.33,619.32
ATHERENERG,EQ,1599.3,0.97,63091.29,37.89,604.62
KEI,EQ,4704,-3.01,44970.52,12.2,576.59
COALINDIA,EQ,418.85,0.84,258125.88,135.93,567.5
JINDWORLD,EQ,58.5,1.72,5865.22,954.12,547.85
M&M,EQ,3160,-0.32,392955.11,17.15,542.63
NIACL,EQ,229.22,-0.3,37775.46,234.42,539.85
DIXON,EQ,14180,-0.42,86699.54,3.78,534.51
MARUTI,EQ,12760,0.52,401177.68,4.14,527.92
LUMINO,EQ,115,0.44,3502.37,445.59,523.48
TCS,EQ,2270,-1.48,821305.87,22.98,522.3
NETWEB,EQ,5175.5,-0.34,30766.23,9.75,507.97
LT,EQ,3999,0.88,550208.85,12.57,500.25
SOLARINDS,EQ,21950,2.35,198625.67,2.27,497.83
PERNIASPOP,EQ,568.5,6.26,4551.47,87.23,487.24
APOLLO,EQ,403,3.63,14975.46,116.92,471.03
POLYCAB,EQ,8261,-0.47,124486.32,5.69,468.14
DIVISLAB,EQ,9315,2.36,247283.98,5.02,464.93
TATASTEEL,EQ,185.61,-1.68,231706.75,236.96,439.7
ZYDUSWELL,EQ,551.5,3.72,17546.56,76.27,431.26
KAYNES,EQ,3604,0.17,24159.29,11.49,420.02
GROWW,EQ,194.78,0.4,122197.12,214.2,416.87
ETERNAL,EQ,320.8,-0.6,309583.25,128.45,413.77
WELCORP,EQ,2600,0.36,68585.57,15.03,394.38
BALRAMCHIN,EQ,707,2.37,14959.94,55.1,391.63
CARTRADE,EQ,3176.8,5.89,15411.3,12.33,390.92
GRASIM,EQ,3302.4,-0.59,224740.78,11.79,389.71
AVALON,EQ,2345.1,6.76,15668.02,16.53,388.32
CDSL,EQ,1414.9,1.46,29571.41,27.32,388.31
BAJFINANCE,EQ,1060,-0.05,659915.12,35.87,379.9
PVRINOX,EQ,1152,-6.13,11312.64,32.09,369.9
ZEEL,EQ,85.73,-6.42,8234.53,426.1,369.85
CASHIETF,EQ,1078.49,0.01,1282.41,34.02,366.89
XTRANET,EQ,281.08,20,1469.65,136.68,366.68
EICHERMOT,EQ,7672,0.54,210613.05,4.66,358.55
CGPOWER,EQ,895,0.45,141002.78,39.38,355.63
LIQUIDBEES,EQ,1000.01,0,10984.73,35.19,351.85
CENTUM,EQ,4381,16.29,6467.24,8.27,349.97
SYMBIOTEC,EQ,1102.75,2.27,7085.84,30.88,344.79
LIQUID1,EQ,1121.57,0.01,2440.07,30.66,343.86
CHEMPLASTS,EQ,184,8.05,2909.22,178.21,334.97
ANANTRAJ,EQ,637.35,1.9,22936.76,51.74,328.76
MEESHO,EQ,209.49,0.23,96886.37,154.13,323.16
TECHM,EQ,1564,-2.06,153292.92,20.29,316.19
RRKABEL,EQ,2388.7,-2.66,27017.51,12.99,311.53
IIFL,EQ,655,0.59,27862.46,47.42,309.34
GLAND,EQ,2972,1.35,49028.09,10.31,307.97
HINDCOPPER,EQ,509.95,-2.24,49313.39,59.91,307.15
SILVERBEES,EQ,220.04,-1.23,31787.28,138.99,305.27
STAR,EQ,1166,10.04,10747.34,26.17,303.41
KOTAKBANK,EQ,422.1,-0.57,419890.56,71.49,302.34
PAYTM,EQ,1664,0.27,106763.54,18.23,301.89
SUNPHARMA,EQ,1895,-0.21,454663.26,15.79,298.7
MANAPPURAM,EQ,325.6,-4.15,30584.78,90.9,296.71
RADHIKAJWE,EQ,93,11.83,1097.4,319.08,295.72
HAL,EQ,4855.2,-0.02,324703.64,6.03,293.67
ADANIENT,EQ,2950,0.41,399261.73,9.81,288.3
TRENT,EQ,2814.5,-1.35,150078.23,10.21,286.17
EDELWEISS,EQ,134.95,-0.83,12773.44,215.63,286.07
DHOOTTRANS,EQ,1551,-4,31725.4,18,280.32
ANTELOPUS,EQ,985,2.91,3463.49,28.54,280.32
BHARATFORG,EQ,1955,-0.05,93452.65,14.14,274.9
PAISALO,EQ,78.97,6.57,7182.49,350.88,273.93
APOLLOHOSP,EQ,8760,1.27,125955.36,3.04,265.7
BOSCHLTD,EQ,48025,2.57,141655.02,0.55,263.24
PARAS,EQ,1489.5,5.27,12003.48,17.94,262.92
GOLDBEES,EQ,125.51,-1.31,57832.95,207.89,260.38
RVNL,EQ,210.05,-1.15,43795.85,122.05,260.34
LIQUIDADD,EQ,1143.63,0.01,1944.77,22.75,260.2
SKIPPER,EQ,602,1.84,6796.82,42.78,257.39
MOREPENLAB,EQ,119,4.62,6520.65,216.07,256.43
HCLTECH,EQ,1282.8,-0.82,348108.96,20.08,255.67
MOTHERSON,EQ,162,0.81,170975.03,156.7,255.4
RAYMOND,EQ,775,4.61,5159.46,32.93,255.14
BEL,EQ,404,-0.33,295315.06,59.66,242.42
ZYDUSLIFE,EQ,1156.9,3.29,115401.22,21.07,241.98
ULTRACEMCO,EQ,11175,-2.04,329303.97,2.15,241.12
TITAN,EQ,4995,-0.5,443449.19,4.8,239.32
JIOFIN,EQ,234.4,-2.13,154777.64,101.28,238.71
TEJASNET,EQ,592.95,-3.45,10558.38,39.12,234.24
PFC,EQ,353.1,-0.7,116526.59,65.6,232.7
PWL,EQ,129.5,2.44,37566.48,180.12,232.02
FCL,EQ,56.66,10,6598.06,420.2,231.7
COFORGE,EQ,1935,-1.92,85696.98,11.88,229.92
ANGELONE,EQ,303.8,1.33,27768.43,75.23,229.12
KIRIINDUS,EQ,578.55,3.48,3770.29,38.77,228.78
GODREJCP,EQ,861.9,-1.83,88198.65,26.47,228.3
KALYANKJIL,EQ,591,-1.3,61035.58,38.08,226.74
PERSISTENT,EQ,5540,-1.83,87393.5,4.05,225.09
HINDZINC,EQ,589.15,-1.97,248934.67,38.02,224.6
UNIONBANK,EQ,186.04,-0.63,142015.6,120.11,221.38
POLICYBZR,EQ,1792,-2.4,82914.92,12.29,220.23
OFSS,EQ,11847,-1.75,103167.38,1.85,218.53
RIR,EQ,190.01,11.86,1511.96,112.34,217.91
IONEXCHANG,EQ,436,6.55,6394.66,49.02,216.8
LENSKART,EQ,688.6,0.54,119768.62,31.42,216.47
NAM-INDIA,EQ,1195,3.03,76453.9,18.18,214
LAURUSLABS,EQ,1876.7,1.99,101400.39,11.49,213.58
IOLCP,EQ,215.39,7.72,6322.29,100.24,211.3
VBL,EQ,405.95,-0.4,137311.16,50.63,205.2
ADANIPOWER,EQ,204.49,-1.31,394352.72,98.4,202.49
PITTIENG,EQ,1177.1,8.5,4432.2,16.99,202.21
SBILIFE,EQ,1732,-2.42,173780.15,11.55,201.76
AXISBANK,EQ,1266,-0.55,394136.85,15.93,201.62
TMCV,EQ,460,0.39,169404.21,44.04,201.59
VMM,EQ,104,-2.02,48722.01,192.62,200.44
TMPV,EQ,307,-1.44,113072.38,64.93,200.36
ADANIPORTS,EQ,1694.3,-0.76,390359.79,11.75,199.86
ANDHRAPAP,EQ,72.95,13.19,1450.61,273.37,198.11
REDINGTON,EQ,378.1,1.83,29558.89,51.66,195.4
ADANIENSOL,EQ,1390.4,-1.36,170039.59,13.43,187.92
HEROMOTOCO,EQ,5270,-0.57,105474.42,3.54,187.84
POWERGRID,EQ,266.45,0.17,247814.59,70.16,187.66
SHRIRAMFIN,EQ,1037,-0.38,244004.39,18.12,187.61
WIPRO,EQ,172.8,-2.04,171152.72,107.21,186.13
HINDALCO,EQ,1006,-0.49,226070.99,18.48,185.66
SBICARD,EQ,674.65,2.49,64202.6,27.81,184.28
MAXHEALTH,EQ,992,0.73,96549.03,18.55,183.17
SOTL,EQ,712,-3.88,4881.5,24.33,182.96
HSCL,EQ,674.4,0.5,34028.48,26.66,180.51
PINELABS,EQ,164.68,-1.02,19001.74,107.83,178.79
ASHOKLEY,EQ,170,0.59,99855.53,104.27,177.21
INDIGO,EQ,5001,0.48,193371.97,3.55,176.88
TATAPOWER,EQ,365.7,-0.63,116853.57,48.5,176.84
ITC,EQ,263.5,-0.23,330227.5,66.88,176.32
FEDERALBNK,EQ,342,-0.29,84510.81,51.74,176.26
CGCL,EQ,273.8,-2.18,26343.78,62.72,175.52
LIQUIDCASE,EQ,115.81,0.01,10322.22,151.36,175.27
GAIL,EQ,176,1.5,115721.75,99.1,174.1
NTPC,EQ,332,-0.15,321929.32,52.46,173.98
BHEL,EQ,421.45,-2.24,146751.56,40.93,173.53
LUPIN,EQ,2105,-0.24,96254.46,8.2,172.7
SUNSHINE,EQ,489.15,10.81,1523.64,35.86,171.91
GRWRHITECH,EQ,6951.5,-1.91,16150,2.49,169.25
JSWSTEEL,EQ,1302,-1.74,318398.11,12.76,167.62
INDUSTOWER,EQ,376.45,-0.09,99313.64,43.11,163.37
MOTILALOFS,EQ,1055,1.74,63545.1,15.52,163.09
SMSPHARMA,EQ,397.8,1.35,3725.48,38.71,162.07
POWERINDIA,EQ,31775,0.39,141628.68,0.51,161.8
