Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
IVC,EQ,9.95,-0.7,312.46,3.86,0.38
SSFL,ST,288,4.35,246.83,0.14,0.38
AFFORDABLE,EQ,161,-1.97,190.8,0.24,0.38
724GS2055,GS,96.74,0.09,109316.2,0.39,0.38
TAURIAN,ST,468,-1.15,415.73,0.08,0.38
ROSSELLIND,EQ,56.95,0.78,214.68,0.67,0.38
FOCUS,BE,60.95,-1.04,411.08,0.62,0.38
SANGINITA,BE,63.13,1.99,380.96,0.6,0.38
APS,SM,246.9,-1.48,497.75,0.15,0.38
OSWALSEEDS,EQ,13.05,7.5,119.37,2.96,0.38
NEPHROCARE,SM,85.55,6.94,141.04,0.45,0.38
364D170627,TB,94.71,-0.31,6771.77,0.39,0.37
AMBAAUTO,SM,107,1.18,196.07,0.35,0.37
AARTECH,BE,52.5,2.18,166.79,0.71,0.37
RTL,SM,83.8,4.68,110.61,0.46,0.37
RELIABLE,EQ,137,-2.61,141.38,0.27,0.37
DENORA,EQ,811.8,0.73,430.95,0.05,0.37
BMLL,SM,160.4,0.47,201.7,0.23,0.37
AMDIND,EQ,56.9,-5.2,109.06,0.63,0.37
BSE500IETF,EQ,39.08,-0.28,363.15,0.94,0.37
VOLERCAR,SM,238.9,2.77,266.22,0.15,0.36
VISACHROME,EQ,35.09,-4.98,511.58,1.02,0.36
UFO,EQ,63.74,-1.68,247.47,0.57,0.36
VRAJ,EQ,124.81,2.78,411.66,0.29,0.36
CONSUMER,EQ,11.9,-0.67,57.79,3.03,0.36
AVANCE,EQ,0.83,-1.19,164.5,43.46,0.36
CITIUSINVT,IV,115.71,-0.32,7058.31,0.31,0.36
ALPHAGEO,BE,323,-0.03,205.58,0.11,0.36
SUPREMEINF,EQ,86.5,1.65,836.76,0.42,0.36
ROLLT,BE,4.75,-1.04,118.81,7.63,0.36
MADHUSUDAN,ST,235.05,-1.47,379.25,0.15,0.35
SBIMIDMOM,EQ,64.19,0.16,125.83,0.55,0.35
AVG,BE,173.84,4.99,325.22,0.21,0.35
JYOTIGLOBL,SM,45.5,2.48,90.18,0.76,0.35
SAWALIYA,SM,168.5,-0.88,167.12,0.21,0.35
MOM50,EQ,246.01,-0.69,75.03,0.14,0.35
POEL,EQ,142.55,-1.09,438.57,0.24,0.35
EVERESTIND,BE,425,-0.3,673.87,0.08,0.35
CELLECOR,SM,31.8,0.16,707,1.08,0.35
INSUREIETF,EQ,14.75,-1.54,64.02,2.34,0.34
SIMCA,ST,262,0.67,313.66,0.13,0.34
PRIMO,EQ,21.31,4.41,516.43,1.63,0.34
ANNAPURNA,EQ,137,-2.07,298.93,0.25,0.34
GLOTTIS,EQ,59.27,3.75,547.67,0.59,0.34
WSI,EQ,59.1,-1.09,448.54,0.57,0.34
PASHUPATI,EQ,81,-0.02,1278.5,0.42,0.34
NITTAGELA,EQ,1661.4,-0.54,1508.41,0.02,0.34
MICEL,BE,36,-0.88,867.64,0.94,0.34
3IINFOLTD,BE,22.49,0.76,466.45,1.51,0.34
DRAGARWQ,EQ,5225.5,-0.8,2525.39,0.01,0.34
DCMSIL,EQ,69.51,0.61,604.68,0.48,0.34
MALLCOM,EQ,972,-0.98,606.53,0.03,0.34
VDEAL,SM,138.5,-5.23,67.73,0.24,0.34
CGRAPHICS,SM,144.25,-2.53,350.33,0.23,0.34
HAPPY,SM,84.95,-2.75,121.36,0.4,0.34
AARON,EQ,134.5,7.59,281.73,0.25,0.34
CENTRUM,EQ,22.5,-0.31,1095.37,1.52,0.34
BMWVENTLTD,EQ,54.18,-1.13,469.82,0.62,0.34
ASHWINI,SM,170.5,-2.01,255.75,0.2,0.34
NAMOEWASTE,ST,283.2,0.69,647.61,0.12,0.34
BAIDFIN,EQ,12,-0.41,185.87,2.73,0.33
ENIL,EQ,100,-0.21,476.7,0.33,0.33
IFBAGRO,EQ,880.1,-0.78,824.4,0.04,0.33
SGBJAN30IX,GB,15203.02,0.35,3547.15,0,0.33
SEKURITIND,EQ,112.26,-0.82,1022.75,0.3,0.33
HAMPTON,EQ,8.12,-5.47,222.66,3.9,0.33
CHEMBONDCH,BE,251,-3.44,675.1,0.13,0.33
SGBAPR28I,GB,15245,0.82,2702.75,0,0.33
MANAKSIA,EQ,66.06,-2.45,432.92,0.49,0.33
SPELS,EQ,145.5,-0.75,671.01,0.22,0.33
RVTH,EQ,787,4.59,241.37,0.04,0.33
RKSWAMY,EQ,93,-1.42,469.44,0.35,0.33
DUCOL,SM,123,3.1,222.12,0.27,0.32
CCCL,EQ,14.18,0.64,633.5,2.29,0.32
RAJPALAYAM,EQ,765,-2.55,705.35,0.04,0.32
ANZEN,IV,129.3,0.23,4345.29,0.25,0.32
SENSEXBETA,EQ,837,-0.51,56162.96,0.04,0.32
SHOPERSTOP,EQ,377.7,-0.81,4162.47,0.08,0.32
ALBERTDAVD,EQ,850,0.7,485.11,0.04,0.32
AVONMORE,EQ,14.03,-0.21,395.91,2.3,0.32
MAHAPEXLTD,EQ,52.01,-6.14,146.58,0.61,0.32
AKSHOPTFBR,BE,8.59,4.88,139.76,3.72,0.32
KILITCH,BE,187,-0.47,653.78,0.17,0.32
AGROPHOS,EQ,21.7,-7.42,43.99,1.43,0.32
NIF100IETF,EQ,27.67,-0.36,156.49,1.16,0.32
NIRLON,EQ,621.25,0.26,5598.58,0.05,0.32
MOGOLD,EQ,150.05,-0.37,1995.56,0.21,0.32
COOLCAPS,ST,25.75,2.18,302.88,1.25,0.32
TARACHAND,EQ,47.14,-1.13,371.58,0.66,0.31
MAZDA,BE,267.6,-1.53,535.87,0.12,0.31
OMINFRAL,EQ,81.4,-0.68,783.91,0.38,0.31
75GS2034,GS,103.93,-1.02,99877.9,0.3,0.31
VHLTD,BE,120.29,-0.23,812.91,0.26,0.31
VETO,BE,124.2,-1.2,237.41,0.25,0.31
NECCLTD,BE,19.4,-1.27,202.73,1.57,0.31
SPUNWEB,SM,102,-0.92,245.85,0.3,0.31
MEDICAPQ,EQ,30.74,19.98,38.33,1.01,0.31
HTMEDIA,EQ,24.95,-1.81,455.72,1.23,0.3
VIRAT,EQ,450,-2.25,653.55,0.07,0.3
NILAINFRA,EQ,6.78,2.42,267.06,4.33,0.3
ESFL,SM,117.3,-1.68,291.36,0.26,0.3
BI,BE,92,-4.28,216.62,0.32,0.3
SGBMAY28,GB,15250.92,0.95,3880.28,0,0.3
SKP,SM,168.7,0.84,280.04,0.18,0.3
RANASUG,EQ,14.89,-0.07,228.66,2.01,0.3
MOHEALTH,EQ,51.98,-1.18,44.52,0.57,0.3
CONSOFINVT,BE,304,-4.24,982.72,0.1,0.3
AVANA,ST,145,-2.42,328.36,0.2,0.3
TREJHARA,EQ,148.75,-0.24,358.74,0.2,0.29
BANSWRAS,EQ,114.75,-0.22,392.81,0.26,0.29
SADHNANIQ,BE,2.81,-0.35,833.08,10.51,0.29
TAMBOLIIN,BE,285.7,5,283.41,0.1,0.29
DIGISPICE,EQ,16.29,-3.67,382.28,1.79,0.29
GENUSPAPER,EQ,12.17,-5.37,312.92,2.36,0.29
COMMOIETF,EQ,98.82,0.14,125.66,0.29,0.29
NDLVENTURE,EQ,123.31,-2.27,415.2,0.23,0.29
SGBJUN27,GB,15160,0.69,697.04,0,0.29
BENARAS,EQ,10531,2.74,1369.03,0,0.29
SAHLIBHFI,EQ,82.9,-2.41,256.06,0.35,0.29
AONESILVER,EQ,8.86,0.45,34.24,3.23,0.29
SCHAND,EQ,135,-1.2,476.17,0.21,0.29
TOLINS,EQ,91.99,-0.26,363.44,0.31,0.29
AZADIND,EQ,87,-3.18,473.66,0.32,0.29
KESORAMIND,BE,11.55,1.94,358.82,2.47,0.28
NRVANDANA,SM,68,-1.59,158.4,0.42,0.28
PANACHE,BE,525,1.82,840.74,0.06,0.28
CALSOFT,BE,35.15,-5,123.15,0.81,0.28
TOTAL,EQ,75.51,2.43,121.77,0.37,0.28
ESSARSHPNG,EQ,16.12,0.44,333.65,1.76,0.28
CHETANA,SM,44,4.64,89.76,0.66,0.28
NV20,EQ,13.65,-0.73,77.21,2.05,0.28
SILVERBND,EQ,233.15,0.54,12.29,0.12,0.28
MERCANTILE,EQ,24.42,-1.21,273.3,1.13,0.28
FILATFASH,EQ,0.19,5.56,158.35,154.87,0.28
TANKUP,ST,1589.95,1.92,841.88,0.02,0.28
SNOWMAN,EQ,36.62,-0.57,611.88,0.76,0.28
MUNJALSHOW,EQ,128,-0.58,511.76,0.22,0.28
UCAL,BE,148,0.58,327.28,0.19,0.28
BAJAJINDEF,EQ,221.5,0.25,708.8,0.12,0.28
VINEETLAB,EQ,37.39,1.22,71.81,0.73,0.28
KAYA,BE,350,-1.69,531.57,0.08,0.27
BANKPSU,EQ,84.54,-0.41,47.4,0.32,0.27
AONEGOLD,EQ,14.22,0.14,86.57,1.91,0.27
MANAKALUCO,EQ,38.55,-1.71,252.63,0.7,0.27
