"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ONWARDTEC","Onward Technologies Limited","EQ","Dividend - Rs 5 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"TTL","T T Limited","EQ","Rights 4:27 @ Premium Rs 11/-","1","04-Jul-2025","04-Jul-2025","-","-"
"PARAS","Paras Defence and Space Technologies Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share","5","04-Jul-2025","04-Jul-2025","-","-"
"MAXHEALTH","Max Healthcare Institute Limited","EQ","Dividend - Rs 1.50 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"PETRONET","Petronet LNG Limited","EQ","Dividend - Rs 3 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"JLHL","Jupiter Life Line Hospitals Limited","EQ","Dividend - Re 1 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"NAM-INDIA","Nippon Life India Asset Management Limited","EQ","Dividend - Rs 10 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"INDIASHLTR","India Shelter Finance Corporation Limited","EQ","Dividend - Rs 5 Per Share","5","04-Jul-2025","04-Jul-2025","-","-"
"NAVINFLUOR","Navin Fluorine International Limited","EQ","Dividend - Rs 7 Per Share","2","04-Jul-2025","04-Jul-2025","-","-"
"NESTLEIND","Nestle India Limited","EQ","Dividend - Rs 10 Per Share","1","04-Jul-2025","04-Jul-2025","-","-"
"IRISDOREME","Iris Clothings Limited","EQ","Bonus 1:1","2","04-Jul-2025","04-Jul-2025","-","-"
"CONTROLPR","Control Print Limited","EQ","Dividend - Rs 6 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"CYIENT","Cyient Limited","EQ","Dividend - Rs 14 Per Share","5","04-Jul-2025","04-Jul-2025","-","-"
"DBOL","Dhampur Bio Organics Limited","EQ","Dividend - Rs 1.25 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"DCBBANK","DCB Bank Limited","EQ","Dividend - Rs 1.35 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"GLOSTERLTD","Gloster Limited","EQ","Dividend - Rs 20 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"ASTEC","Astec LifeSciences Limited","EQ","Rights 1:7 @ Premium Rs 880/-","10","04-Jul-2025","04-Jul-2025","-","-"
"AUBANK","AU Small Finance Bank Limited","EQ","Dividend - Re 1 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"AXISBANK","Axis Bank Limited","EQ","Dividend - Re 1 Per Sh","2","04-Jul-2025","04-Jul-2025","-","-"
"ESCORTS","Escorts Kubota Limited","EQ","Dividend - Rs 18 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"CENTRALBK","Central Bank of India","EQ","Dividend - Re 0.1875 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"BHARATFORG","Bharat Forge Limited","EQ","Dividend - Rs 6 Per Share","2","04-Jul-2025","04-Jul-2025","-","-"
"BIOCON","Biocon Limited","EQ","Dividend - Rs 0.50 Per Share","5","04-Jul-2025","04-Jul-2025","-","-"
"CONCOR","Container Corporation of India Limited","EQ","Bonus 1:4","5","04-Jul-2025","04-Jul-2025","-","-"
"SHARDAMOTR","Sharda Motor Industries Limited","EQ","Bonus 1:1","2","04-Jul-2025","04-Jul-2025","-","-"
"UNITEDTEA","The United Nilgiri Tea Estates Company Limited","EQ","Dividend - Rs 2 Per Share","10","04-Jul-2025","05-Jul-2025","-","-"
"REDINGTON","Redington Limited","EQ","Dividend - Rs 6.80 Per Share","2","04-Jul-2025","04-Jul-2025","-","-"
"SKFINDIA","SKF India Limited","EQ","Annual General Meeting/Dividend - Rs 14.50 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"SONACOMS","Sona BLW Precision Forgings Limited","EQ","Dividend - Rs 1.60 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"WELENT","Welspun Enterprises Limited","EQ","Dividend - Rs 3 Per Share","10","04-Jul-2025","04-Jul-2025","-","-"
"SPLPETRO","Supreme Petrochem Limited","EQ","Dividend - Rs 7.50 Per Share","2","04-Jul-2025","04-Jul-2025","-","-"
"TECHM","Tech Mahindra Limited","EQ","Dividend - Rs 30 Per Share","5","04-Jul-2025","04-Jul-2025","-","-"
"THERMAX","Thermax Limited","EQ","Dividend - Rs 14 Per Share","2","04-Jul-2025","04-Jul-2025","-","-"
"M&M","Mahindra & Mahindra Limited","EQ","Dividend - Rs 25.30 Per Share","5","04-Jul-2025","04-Jul-2025","-","-"
