"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"VEDL","Vedanta Limited","EQ"," Interim Dividend - Rs 9.50 Per Share","1","28-Oct-2020","31-Oct-2020","-","-"
"ROHITFERRO","Rohit Ferro-Tech Limited","EQ"," Annual General Meeting","10","28-Oct-2020","-","31-Oct-2020","06-Nov-2020"
"ALMONDZ","Almondz Global Securities Limited","EQ"," Annual General Meeting","1","28-Oct-2020","-","31-Oct-2020","06-Nov-2020"
"REPRO","Repro India Limited","EQ"," Annual General Meeting","10","28-Oct-2020","-","01-Nov-2020","07-Nov-2020"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Interim Dividend - Rs 14 Per Share","1","28-Oct-2020","29-Oct-2020","-","-"
"CONFIPET","Confidence Petroleum India Limited","EQ"," Annual General Meeting/Dividend - Rs 0.075  Per Share","1","28-Oct-2020","-","31-Oct-2020","06-Nov-2020"
"IITL","Industrial Investment Trust Limited","EQ"," Annual General Meeting","10","28-Oct-2020","-","31-Oct-2020","07-Nov-2020"
"KIOCL","KIOCL Limited","EQ"," Buyback","10","28-Oct-2020","30-Oct-2020","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Interim Dividend - Rs 3.35 Per Share","1","28-Oct-2020","30-Oct-2020","-","-"
"GMMPFAUDLR","GMM Pfaudler Limited","EQ"," Interim Dividend - Re 1  Per Share","2","28-Oct-2020","29-Oct-2020","-","-"
"FOSECOIND","Foseco India Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","28-Oct-2020","30-Oct-2020","-","-"
"CCL","CCL Products (India) Limited","EQ"," Interim Dividend - Rs 2 Per Share","2","28-Oct-2020","30-Oct-2020","-","-"
"GRANULES","Granules India Limited","EQ"," Interim Dividend - Rs 0.25 Per Share","1","28-Oct-2020","30-Oct-2020","-","-"
"SASKEN","Sasken Technologies Limited","EQ"," Interim Dividend - Rs 10 Per Share","10","28-Oct-2020","29-Oct-2020","-","-"
