"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SYNGENE","Syngene International Limited","EQ"," Annual General Meeting","10","13-Jul-2021","14-Jul-2021","-","-"
"SALASAR","Salasar Techno Engineering Limited","EQ"," Bonus 1:1","1","13-Jul-2021","14-Jul-2021","-","-"
"PERSISTENT","Persistent Systems Limited","EQ"," Annual General Meeting/Dividend - Rs 6 Per Share","5","13-Jul-2021","-","15-Jul-2021","21-Jul-2021"
"SESHAPAPER","Seshasayee Paper and Boards Limited","EQ"," Annual General Meeting/Dividend - Rs 2.50 Per Share","2","13-Jul-2021","-","15-Jul-2021","24-Jul-2021"
"LMW","LMW Limited","EQ"," Annual General Meeting/Dividend - Rs 10 Per Share","10","13-Jul-2021","-","15-Jul-2021","21-Jul-2021"
"TIRUMALCHM","Thirumalai Chemicals Limited","EQ"," Annual General Meeting/Dividend - Rs 2.20 Per Share","1","13-Jul-2021","-","15-Jul-2021","21-Jul-2021"
