"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"HIKAL","Hikal Limited","EQ","Dividend - Re 0.60 Per Share","2","04-Sep-2024","04-Sep-2024","-","-"
"PARAGMILK","Parag Milk Foods Limited","EQ","Dividend - Re 0.50 Per Share","10","04-Sep-2024","04-Sep-2024","-","-"
"PARAGMILK","Parag Milk Foods Limited","EQ","Annual General Meeting","10","04-Sep-2024","-","05-Sep-2024","11-Sep-2024"
"PENINLAND","Peninsula Land Limited","EQ","Annual General Meeting","2","04-Sep-2024","-","05-Sep-2024","11-Sep-2024"
"RELCHEMQ","Reliance Chemotex Industries Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","10","04-Sep-2024","-","05-Sep-2024","11-Sep-2024"
"SPENTEX","Spentex Industries Limited","EQ","Annual General Meeting","10","04-Sep-2024","-","05-Sep-2024","11-Sep-2024"
"GEECEE","GeeCee Ventures Limited","EQ","Annual General Meeting","10","04-Sep-2024","-","05-Sep-2024","12-Sep-2024"
"TCI","Transport Corporation of India Limited","EQ","Buy Back","2","04-Sep-2024","04-Sep-2024","-","-"
"KEI","KEI Industries Limited","EQ","Annual General Meeting","2","04-Sep-2024","-","05-Sep-2024","11-Sep-2024"
"MASFIN","MAS Financial Services Limited","EQ","Annual General Meeting/Dividend - Re 0.51 Per Share","10","04-Sep-2024","-","05-Sep-2024","11-Sep-2024"
"PRINCEPIPE","Prince Pipes And Fittings Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","10","04-Sep-2024","-","05-Sep-2024","11-Sep-2024"
"RGL","Renaissance Global Limited","EQ","Annual General Meeting","2","04-Sep-2024","-","05-Sep-2024","12-Sep-2024"
"GEECEE","GeeCee Ventures Limited","EQ","Dividend - Rs 2 Per Share","10","04-Sep-2024","04-Sep-2024","-","-"
"UMESLTD","Usha Martin Education & Solutions Limited","EQ","Annual General Meeting","1","04-Sep-2024","-","05-Sep-2024","11-Sep-2024"
