"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"NCLIND","NCL Industries Limited","EQ","Interim Dividend - Rs 1.50 Per Share","10","21-Feb-2024","21-Feb-2024","-","-"
"SJVN","SJVN Limited","EQ","Interim Dividend - Rs 1.15 Per Share","10","21-Feb-2024","21-Feb-2024","-","-"
"SAREGAMA","Saregama India Limited","EQ","Interim Dividend - Rs 4 Per Share","1","21-Feb-2024","21-Feb-2024","-","-"
"BECTORFOOD","Mrs. Bectors Food Specialities Limited","EQ","Interim Dividend - Rs 1.25 Per Share","10","21-Feb-2024","21-Feb-2024","-","-"
"CUMMINSIND","Cummins India Limited","EQ","Interim Dividend - Rs 18 Per Share","2","21-Feb-2024","21-Feb-2024","-","-"
"MRF","MRF Limited","EQ","Interim Dividend - Rs 3 Per Share","10","21-Feb-2024","21-Feb-2024","-","-"
"UNIPARTS","Uniparts India Limited","EQ","Interim Dividend - Rs 6 Per Share","10","21-Feb-2024","21-Feb-2024","-","-"
"ELECTCAST","Electrosteel Castings Limited","EQ","Interim Dividend - Re 0.50 Per Share","1","21-Feb-2024","21-Feb-2024","-","-"
"JKLAKSHMI","JK Lakshmi Cement Limited","EQ","Interim Dividend - Rs 2 Per Share","5","21-Feb-2024","21-Feb-2024","-","-"
"LICI","Life Insurance Corporation Of India","EQ","Interim Dividend - Rs 4 Per Share","10","21-Feb-2024","21-Feb-2024","-","-"
"SULA","Sula Vineyards Limited","EQ","Interim Dividend - Rs 4 Per Share","2","21-Feb-2024","21-Feb-2024","-","-"
"HEROMOTOCO","Hero MotoCorp Limited","EQ","Interim Dividend - Rs 75 Per Share/ Special Dividend - Rs 25 Per Share","2","21-Feb-2024","21-Feb-2024","-","-"
"PIIND","PI Industries Limited","EQ","Interim Dividend - Rs 6 Per Share","1","21-Feb-2024","21-Feb-2024","-","-"
