"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"NDRINVIT","NDR INVIT Trust","IV","Distribution - Rs 1.92 Per Unit Consist Of Re 0.949 Per Unit As Interest / Re 0.971 Per Unit As Return Of Capital","100","02-Jun-2026","02-Jun-2026","-","-"
"SETCO","Setco Automotive Limited","EQ","Interim Dividend - Rs 13 Per Share","2","02-Jun-2026","02-Jun-2026","-","-"
"OSEINTRUST","Oriental InfraTrust","IV","Distribution - Rs 3.9155 Per Unit Consists Of Rs 1.2084 Per Unit As Interest/ Re 0.9735 Per Unit As Dividend/ Rs 1.7336 Per Unit As Return Of Capital","100","02-Jun-2026","02-Jun-2026","-","-"
"NXT-INFRA","Nxt-Infra Trust","IV","Distribution - Rs 4.3475 Per Unit Consist Of Rs 2.8887 Per Unit As Interest/ Rs 1.4588 Per Unit As Return Of Capital","100","02-Jun-2026","02-Jun-2026","-","-"
