"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"DOLPHIN","Dolphin Offshore Enterprises (India) Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share","1","25-Jan-2024","25-Jan-2024","-","-"
"IIFL","IIFL Finance Limited","EQ","Interim Dividend - Rs 4 Per Share","2","25-Jan-2024","25-Jan-2024","-","-"
"KDDL","KDDL Limited","EQ","Interim Dividend - Rs 58 Per Share","10","25-Jan-2024","26-Jan-2024","-","-"
"AHLEAST","Asian Hotels (East) Limited","EQ","Extra Ordinary General Meeting","10","25-Jan-2024","-","26-Jan-2024","01-Feb-2024"
"MASTEK","Mastek Limited","EQ","Interim Dividend - Rs 7 Per Share","5","25-Jan-2024","27-Jan-2024","-","-"
"MAGNUM","Magnum Ventures Limited","EQ","Rights 2:11 @ Premium Rs 44/-","10","25-Jan-2024","25-Jan-2024","-","-"
"RHL","Robust Hotels Limited","EQ","Extra Ordinary General Meeting","10","25-Jan-2024","-","27-Jan-2024","02-Feb-2024"
"KSOLVES","Ksolves India Limited","EQ","Interim Dividend - Rs 7.50 Per Share","5","25-Jan-2024","26-Jan-2024","-","-"
