"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"IIFLCAPS","IIFL Capital Services Limited","EQ","Annual General Meeting","2","24-Aug-2023","-","25-Aug-2023","31-Aug-2023"
"SATIA","Satia Industries Limited","EQ","Interim Dividend - Re 1 Per Share","1","24-Aug-2023","24-Aug-2023","-","-"
"5PAISA","5Paisa Capital Limited","EQ","Annual General Meeting","10","24-Aug-2023","-","25-Aug-2023","31-Aug-2023"
"HAL","Hindustan Aeronautics Limited","EQ","Annual General Meeting","5","24-Aug-2023","-","25-Aug-2023","31-Aug-2023"
"HAL","Hindustan Aeronautics Limited","EQ","Dividend - Rs 15 Per Share","5","24-Aug-2023","24-Aug-2023","-","-"
"RAILTEL","Railtel Corporation Of India Limited","EQ","Dividend - Rs 1.05 Per Share","10","24-Aug-2023","24-Aug-2023","-","-"
"SAREGAMA","Saregama India Limited","EQ","Annual General Meeting","1","24-Aug-2023","-","25-Aug-2023","31-Aug-2023"
"TVSHLTD","TVS Holdings Limited","EQ","Demerger","5","24-Aug-2023","24-Aug-2023","-","-"
"HEG","HEG Limited","EQ","Annual General Meeting/Dividend - Rs 42.50 Per Share","2","24-Aug-2023","-","25-Aug-2023","31-Aug-2023"
"ANDREWYU","Andrew Yule & Company Limited","EQ","Annual General Meeting","2","24-Aug-2023","-","25-Aug-2023","31-Aug-2023"
"AGI","AGI Greenpac Limited","EQ","Annual General Meeting/Dividend - Rs 5 Per Share","2","24-Aug-2023","-","25-Aug-2023","31-Aug-2023"
"ANDREWYU","Andrew Yule & Company Limited","EQ","Dividend - Re 0.007 Per Share","2","24-Aug-2023","24-Aug-2023","-","-"
"MAYURUNIQ","Mayur Uniquoters Ltd","EQ","Annual General Meeting/Dividend - Rs 2 Per Share","5","24-Aug-2023","-","25-Aug-2023","27-Aug-2023"
"MONTECARLO","Monte Carlo Fashions Limited","EQ","Annual General Meeting/Dividend - Rs 20 Per Share","10","24-Aug-2023","-","25-Aug-2023","31-Aug-2023"
"RPPL","Rajshree Polypack Limited","EQ","Dividend - Re 0.50 Per Share","5","24-Aug-2023","24-Aug-2023","-","-"
"MBECL","Mcnally Bharat Engineering Company Limited","EQ","Annual General Meeting","10","24-Aug-2023","-","25-Aug-2023","27-Aug-2023"
