"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CYIENT","Cyient Limited","EQ"," Interim Dividend - Rs 10 Per Share","5","26-Oct-2021","27-Oct-2021","-","-"
"GOLDIAM","Goldiam International Limited","EQ"," Buy Back","2","26-Oct-2021","27-Oct-2021","-","-"
"GPIL","Godawari Power And Ispat limited","EQ"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share","1","26-Oct-2021","27-Oct-2021","-","-"
"GPIL","Godawari Power And Ispat limited","EQ"," Bonus 1:1","1","26-Oct-2021","27-Oct-2021","-","-"
"DCMSHRIRAM","DCM Shriram Limited","EQ"," Interim Dividend - Rs 4.60 Per Share","2","26-Oct-2021","27-Oct-2021","-","-"
"OISL","OCL Iron and Steel Limited","EQ"," Extra Ordinary General Meeting","1","26-Oct-2021","-","28-Oct-2021","03-Nov-2021"
"IRBINVIT","IRB InvIT Fund","IV"," Return On Capital - Re 1 Per Unit/ Interest Amount - Rs 1.20 Per Unit","102","26-Oct-2021","27-Oct-2021","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ"," Interim Dividend - Rs 15 Per Share","1","26-Oct-2021","27-Oct-2021","-","-"
"NESTLEIND","Nestle India Limited","EQ"," Interim Dividend - Rs 110 Per Share","1","26-Oct-2021","27-Oct-2021","-","-"
"LTTS","L&T Technology Services Limited","EQ"," Special Dividend - Rs 10 Per Share","2","26-Oct-2021","27-Oct-2021","-","-"
"INFY","Infosys Limited","EQ"," Interim Dividend - Rs 15 Per Sh","5","26-Oct-2021","27-Oct-2021","-","-"
