"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"IMFA","Indian Metals & Ferro Alloys Limited","EQ","Interim Dividend- Rs 5 Per Share","10","03-Nov-2022","04-Nov-2022","-","-"
"LAURUSLABS","Laurus Labs Limited","EQ","Interim Dividend - Rs  0.80 Per Share","2","03-Nov-2022","04-Nov-2022","-","-"
"NAVINFLUOR","Navin Fluorine International Limited","EQ","Interim Dividend - Rs  5 Per Share","2","03-Nov-2022","04-Nov-2022","-","-"
"TCI","Transport Corporation of India Limited","EQ","Interim Dividend - Rs 2.50 Per Share","2","03-Nov-2022","05-Nov-2022","-","-"
"VIPIND","VIP Industries Limited","EQ","Interim Dividend - Rs 2.50 Per Share","2","03-Nov-2022","04-Nov-2022","-","-"
"DABUR","Dabur India Limited","EQ","Interim Dividend - Rs 2.5 Per Share","1","03-Nov-2022","04-Nov-2022","-","-"
"579GS2030","Government of India","GS","Interest Payment","100","03-Nov-2022","05-Nov-2022","-","-"
"824GS2033","GOVERNMENT OF INDIA","GS","Interest Payment","100","03-Nov-2022","04-Nov-2022","-","-"
"COFORGE","Coforge Limited","EQ","Interim Dividend - Rs 13 Per Share","2","03-Nov-2022","04-Nov-2022","-","-"
"GARFIBRES","Garware Technical Fibres Limited","EQ","Buy Back","10","03-Nov-2022","04-Nov-2022","-","-"
"VAIBHAVGBL","Vaibhav Global Limited","EQ","Interim Dividend- Rs 1.50 Per Share","2","03-Nov-2022","05-Nov-2022","-","-"
"KENNAMET","Kennametal India Limited","EQ","Annual General Meeting","10","03-Nov-2022","-","05-Nov-2022","11-Nov-2022"
