"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"761GS2030","GOVERNMENT OF INDIA","GS","Interest Payment","100","07-Nov-2025","07-Nov-2025","-","-"
"MINDSPACE","Mindspace Business Parks REIT","RR","Distribution - Rs 5.83 Per Unit Consisting Of Dividend - Rs 3.02 Per Unit/ Interest - Re 0.03 Per Unit/ Repayment Of Spv Debt - Rs 2.77 Per Unit /Other Income - Re 0.01 Per Unit","275","07-Nov-2025","08-Nov-2025","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Interim Dividend - Rs 4.80 Per Share","2","07-Nov-2025","07-Nov-2025","-","-"
"NAVINFLUOR","Navin Fluorine International Limited","EQ","Interim Dividend - Rs 6.50 Per Share","2","07-Nov-2025","07-Nov-2025","-","-"
"RRKABEL","R R Kabel Limited","EQ","Interim Dividend - Rs 4 Per Share","5","07-Nov-2025","07-Nov-2025","-","-"
"NTPC","NTPC Limited","EQ","Interim Dividend - Rs 2.75 Per Share","10","07-Nov-2025","07-Nov-2025","-","-"
"OCCLLTD","OCCL Limited","EQ","Interim Dividend - Re 1 Per Share","2","07-Nov-2025","07-Nov-2025","-","-"
"SANOFI","Sanofi India Limited","EQ","Interim Dividend - Rs 75 Per Share","10","07-Nov-2025","07-Nov-2025","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","Interim Dividend - Rs 5 Per Share","1","07-Nov-2025","07-Nov-2025","-","-"
"APTUS","Aptus Value Housing Finance India Limited","EQ","Interim Dividend - Rs 2 Per Share","2","07-Nov-2025","07-Nov-2025","-","-"
"DABUR","Dabur India Limited","EQ","Interim Dividend - Rs 2.75 Per Share","1","07-Nov-2025","07-Nov-2025","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Interim Dividend - Rs 19 Per Share","1","07-Nov-2025","07-Nov-2025","-","-"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","EQ","Interim Dividend - Rs 7 Per Share","10","07-Nov-2025","07-Nov-2025","-","-"
"BALKRISIND","Balkrishna Industries Limited","EQ","Interim Dividend - Rs 4 Per Share","2","07-Nov-2025","07-Nov-2025","-","-"
"EMBASSY","Embassy Office Parks REIT","RR","Distribution - Rs 6.51 Per Unit Comprises Of Re 0.66 Per Unit As Interest/ Rs 1.97 Per Unit As Dividend & Rs 3.88 Per Unit As Repayment Of Spv Level Debt","300","07-Nov-2025","08-Nov-2025","-","-"
"BIRET","Brookfield India Real Estate Trust","RR","Distribution - Rs 5.25 Per Unit Consisting Of Interest - Rs 1.85 Per Unit/ Repayment Of Shareholder Loan - Rs 2.53 Per Unit/ Dividend - Re 0.83 Per Unit/ Interest On Fixed Deposit - Re 0.04 Per Unit","275","07-Nov-2025","08-Nov-2025","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Interim Dividend - Rs 7.50 Per Share","10","07-Nov-2025","07-Nov-2025","-","-"
"MANAPPURAM","Manappuram Finance Limited","EQ","Interim Dividend - Re 0.50 Per Share","2","07-Nov-2025","07-Nov-2025","-","-"
"CAMS","Computer Age Management Services Limited","EQ","Interim Dividend - Rs 14 Per Share","10","07-Nov-2025","07-Nov-2025","-","-"
"824GS2033","GOVERNMENT OF INDIA","GS","Interest Payment","100","07-Nov-2025","07-Nov-2025","-","-"
