"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SAMMAANCAP","Sammaan Capital Limited","EQ"," Annual General Meeting","2","03-Sep-2020","-","05-Sep-2020","07-Sep-2020"
"PILANIINVS","Pilani Investment and Industries Corporation Limited","EQ"," Annual General Meeting/Dividend - Rs  25 Per Share","10","03-Sep-2020","-","05-Sep-2020","11-Sep-2020"
"ARIHANTSUP","Arihant Superstructures Limited","EQ"," Annual General Meeting","10","03-Sep-2020","-","05-Sep-2020","11-Sep-2020"
"CHENNPETRO","Chennai Petroleum Corporation Limited","EQ"," Annual General Meeting","10","03-Sep-2020","-","05-Sep-2020","11-Sep-2020"
"EMMBI","Emmbi Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 0.40 Per Share","10","03-Sep-2020","-","06-Sep-2020","12-Sep-2020"
"GRSE","Garden Reach Shipbuilders & Engineers Limited","EQ"," Annual General Meeting/Dividend - Rs 1.40 Per Share","10","03-Sep-2020","-","05-Sep-2020","11-Sep-2020"
"JKPAPER","JK Paper Limited","EQ"," Annual General Meeting","10","03-Sep-2020","-","07-Sep-2020","11-Sep-2020"
"SNOWMAN","Snowman Logistics Limited","EQ"," Annual General Meeting","10","03-Sep-2020","-","05-Sep-2020","15-Sep-2020"
"697GS2026","GOVERNMENT OF INDIA","GS"," Interest Payment","100","03-Sep-2020","05-Sep-2020","-","-"
"BANCOINDIA","Banco Products (I) Limited","EQ"," Annual General Meeting","2","03-Sep-2020","-","05-Sep-2020","22-Sep-2020"
"DHANUKA","Dhanuka Agritech Limited","EQ"," Annual General Meeting","2","03-Sep-2020","-","05-Sep-2020","15-Sep-2020"
"GEEKAYWIRE","Geekay Wires Limited","EQ"," Interim Dividend - Rs  2 Per Share","1","03-Sep-2020","04-Sep-2020","-","-"
"360ONE","360 ONE WAM LIMITED","EQ"," Annual General Meeting","1","03-Sep-2020","-","07-Sep-2020","11-Sep-2020"
"HEG","HEG Limited","EQ"," Annual General Meeting","2","03-Sep-2020","-","05-Sep-2020","11-Sep-2020"
"JOCIL","Jocil Limited","EQ"," Dividend - Rs 3 Per Share","10","03-Sep-2020","-","05-Sep-2020","12-Sep-2020"
"MANALIPETC","Manali Petrochemicals Limited","EQ"," Annual General Meeting/Dividend - Rs 0.75 Per Share","5","03-Sep-2020","-","07-Sep-2020","16-Sep-2020"
"MUNJALAU","Munjal Auto Industries Limited","EQ"," Annual General Meeting","2","03-Sep-2020","-","07-Sep-2020","12-Sep-2020"
"SOLARINDS","Solar Industries India Limited","EQ"," Annual General Meeting/Dividend - Rs 6 Per Share","2","03-Sep-2020","-","05-Sep-2020","16-Sep-2020"
"SURYAROSNI","Surya Roshni Limited","EQ"," Dividend - Rs 2 Per Share","5","03-Sep-2020","04-Sep-2020","-","-"
"BHARATWIRE","Bharat Wire Ropes Limited","EQ"," Annual General Meeting","10","03-Sep-2020","-","07-Sep-2020","15-Sep-2020"
"HINDALCO","Hindalco Industries Limited","EQ"," Annual General Meeting/Dividend - Re 1 Per Share","1","03-Sep-2020","-","05-Sep-2020","10-Sep-2020"
"CENTEXT","Century Extrusions Limited","EQ"," Annual General Meeting","1","03-Sep-2020","-","06-Sep-2020","12-Sep-2020"
"KOPRAN","Kopran Limited","EQ"," Annual General Meeting","10","03-Sep-2020","-","07-Sep-2020","09-Sep-2020"
"HEALTHX","Health X Platform Limited","EQ"," Annual General Meeting","10","03-Sep-2020","-","05-Sep-2020","11-Sep-2020"
"TATASTLLP","Tata Steel Long Products Limited","EQ"," Annual General Meeting","10","03-Sep-2020","-","05-Sep-2020","14-Sep-2020"
"CENTUM","Centum Electronics Limited","EQ"," Dividend - Rs 2.50 Per Sh","10","03-Sep-2020","04-Sep-2020","-","-"
"PTL","PTL Enterprises Limited","EQ"," Interim Dividend - Rs 2.50 Per Share","1","03-Sep-2020","05-Sep-2020","-","-"
"CREST","Crest Ventures Limited","EQ"," Annual General Meeting/Dividend - Rs 0.50 Per Share","10","03-Sep-2020","-","05-Sep-2020","12-Sep-2020"
"UJJIVAN","Ujjivan Financial Services Limited","EQ"," Dividend - Rs 0.80 Per Share","10","03-Sep-2020","-","05-Sep-2020","11-Sep-2020"
"PNBGILTS","PNB Gilts Limited","EQ"," Dividend - Rs 3 Per Share","10","03-Sep-2020","05-Sep-2020","-","-"
"TTKHLTCARE","TTK Healthcare Limited","EQ"," Annual General Meeting/Dividend - Rs 3 Per Share","10","03-Sep-2020","-","07-Sep-2020","11-Sep-2020"
"OLECTRA","Olectra Greentech Limited","EQ"," Annual General Meeting","4","03-Sep-2020","-","06-Sep-2020","12-Sep-2020"
