"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ACCURACY","Accuracy Shipping Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share","1","15-Feb-2023","15-Feb-2023","-","-"
"VCL","Vaxtex Cotfab Limited","EQ","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share","1","15-Feb-2023","15-Feb-2023","-","-"
"AARTIIND","Aarti Industries Limited","EQ","Interim Dividend - Re 1 Per Share","5","15-Feb-2023","15-Feb-2023","-","-"
"CAMS","Computer Age Management Services Limited","EQ","Interim Dividend - Rs  10.50 Per Share","10","15-Feb-2023","15-Feb-2023","-","-"
"ITC","ITC Limited","EQ","Interim Dividend - Rs  6 Per Share","1","15-Feb-2023","15-Feb-2023","-","-"
"VERTIS","Vertis Infrastructure Trust","IV","Interest- Rs 1.9938 Per Unit/Dividend - Rs 1.3634 Per Unit/Return Of Capital- Rs 1.4534 Per Unit/Other Income Re 0.0269 Per Unit","100","15-Feb-2023","15-Feb-2023","-","-"
"DALMIASUG","Dalmia Bharat Sugar and Industries Limited","EQ","Interim Dividend - Rs 3 Per Share","2","15-Feb-2023","15-Feb-2023","-","-"
"MANAPPURAM","Manappuram Finance Limited","EQ","Interim Dividend - Re 0.75 Per Share","2","15-Feb-2023","15-Feb-2023","-","-"
"BIRET","Brookfield India Real Estate Trust","RR","Distribution Rs 5 Per Unit Comprising Of Dividend - Re 0.10 Per Unit/Interest Amount - Rs 2.27 Per Unit/Repayment Of Spv Debt - Rs 2.60 Per Unit/Interest On Fixed Deposits- Re 0.03 Per Unit","275","15-Feb-2023","15-Feb-2023","-","-"
"TIINDIA","Tube Investments of India Limited","EQ","Interim Dividend - Rs 2 Per Share","1","15-Feb-2023","15-Feb-2023","-","-"
"KOTHARIPET","Kothari Petrochemicals Limited","EQ","Interim Dividend - Re  0.50 Per Share","10","15-Feb-2023","15-Feb-2023","-","-"
