"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"LT","Larsen & Toubro Limited","EQ"," Annual General Meeting/Dividend - Rs  8 Per Share","2","05-Aug-2020","-","07-Aug-2020","13-Aug-2020"
"TCI","Transport Corporation of India Limited","EQ"," Annual General Meeting","2","05-Aug-2020","-","07-Aug-2020","12-Aug-2020"
"TCIDEVELOP","TCI Developers Limited","EQ"," Annual General Meeting","10","05-Aug-2020","-","07-Aug-2020","12-Aug-2020"
"GILLANDERS","Gillanders Arbuthnot & Company Limited","EQ"," Annual General Meeting","10","05-Aug-2020","-","07-Aug-2020","14-Aug-2020"
"INDUSTOWER","Indus Towers Limited","EQ"," Interim Dividend - Rs 2.30 Per Share","10","05-Aug-2020","06-Aug-2020","-","-"
"GREAVESCOT","Greaves Cotton Limited","EQ"," Annual General Meeting","2","05-Aug-2020","-","07-Aug-2020","13-Aug-2020"
"EIHOTEL","EIH Limited","EQ"," Annual General Meeting","2","05-Aug-2020","-","07-Aug-2020","09-Aug-2020"
"VOLTAMP","Voltamp Transformers Limited","EQ"," Annual General Meeting","10","05-Aug-2020","-","07-Aug-2020","14-Aug-2020"
"NESCO","Nesco Limited","EQ"," Annual General Meeting","2","05-Aug-2020","-","07-Aug-2020","14-Aug-2020"
"ORIENTBELL","Orient Bell Limited","EQ"," Annual General Meeting","10","05-Aug-2020","-","07-Aug-2020","13-Aug-2020"
"POWERINDIA","Hitachi Energy India Limited","EQ"," Annual General Meeting","2","05-Aug-2020","-","07-Aug-2020","13-Aug-2020"
"VOLTAS","Voltas Limited","EQ"," Annual General Meeting/Dividend - Rs 4 Per Share","1","05-Aug-2020","-","07-Aug-2020","21-Aug-2020"
"GRANULES","Granules India Limited","EQ"," Annual General Meeting/Dividend - Rs 0.25 Per Share","1","05-Aug-2020","-","07-Aug-2020","13-Aug-2020"
