"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"WELSPUNLIV","Welspun Living Limited","EQ"," Dividend - Rs 0.15 Per Share","1","24-May-2021","26-May-2021","-","-"
"KENNAMET","Kennametal India Limited","EQ"," Interim Dividend - Rs  20 Per Share","10","24-May-2021","25-May-2021","-","-"
"662GS2051","GOVERNMENT OF INDIA","GS"," Interest Payment","100","24-May-2021","26-May-2021","-","-"
"WELSPUNLIV","Welspun Living Limited","EQ"," Buy Back","1","24-May-2021","26-May-2021","-","-"
