"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SONATSOFTW","Sonata Software Limited","EQ"," Annual General Meeting/Dividend - Rs 10 Per Share","1","06-Aug-2021","-","10-Aug-2021","16-Aug-2021"
"PRIMESECU","Prime Securities Limited","EQ"," Annual General Meeting/Dividend - Rs 4.50 Per Share","5","06-Aug-2021","-","10-Aug-2021","17-Aug-2021"
"SHAREINDIA","Share India Securities Limited","EQ"," Divdend - Rs 0.50 Per Share/Interim Dividend - Rs 0.75 Per Share","2","06-Aug-2021","09-Aug-2021","-","-"
"INGERRAND","Ingersoll Rand (India) Limited","EQ"," Annual General Meeting/Dividend - Rs 3 Per Share","10","06-Aug-2021","-","10-Aug-2021","12-Aug-2021"
"SAREGAMA","Saregama India Limited","EQ"," Annual General Meeting","1","06-Aug-2021","-","10-Aug-2021","16-Aug-2021"
"JUBLFOOD","Jubilant Foodworks Limited","EQ"," Dividend - Rs 6 Per Share","2","06-Aug-2021","09-Aug-2021","-","-"
"GLAND","Gland Pharma Limited","EQ"," Annual General Meeting","1","06-Aug-2021","-","10-Aug-2021","26-Aug-2021"
