"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"NLCINDIA","NLC India Limited","EQ","Interim Dividend - Rs 1.50 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"AGIIL","Agi Infra Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share","5","07-Feb-2025","07-Feb-2025","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 5 Per Share","5","07-Feb-2025","07-Feb-2025","-","-"
"POWERGRID","Power Grid Corporation of India Limited","EQ","Interim Dividend - Rs 3.25 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"BANARBEADS","Banaras Beads Limited","EQ","Interim Dividend - Rs 2.25 Per Share","10","07-Feb-2025","08-Feb-2025","-","-"
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","EQ","Interim Dividend - Rs 1.30 Per Share","2","07-Feb-2025","07-Feb-2025","-","-"
"CLEAN","Clean Science and Technology Limited","EQ","Interim Dividend - Rs 2 Per Share","1","07-Feb-2025","07-Feb-2025","-","-"
"KIRLPNU","Kirloskar Pneumatic Company Limited","EQ","Interim Dividend - Rs 3.50 Per Share","2","07-Feb-2025","07-Feb-2025","-","-"
"MARICO","Marico Limited","EQ","Interim Dividend - Rs 3.50 Per Share","1","07-Feb-2025","07-Feb-2025","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs 14.25 Per Share","1","07-Feb-2025","07-Feb-2025","-","-"
"QUESS","Quess Corp Limited","EQ","Interim Dividend - Rs 4 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"EPIGRAL","Epigral Limited","EQ","Interim Dividend - Rs 2.50 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"GAIL","GAIL (India) Limited","EQ","Interim Dividend - Rs 6.50 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"JSL","Jindal Stainless Limited","EQ","Interim Dividend - Re 1 Per Share","2","07-Feb-2025","08-Feb-2025","-","-"
"SHANTIGEAR","Shanthi Gears Limited","EQ","Interim Dividend - Rs 3 Per Share","1","07-Feb-2025","07-Feb-2025","-","-"
"SHYAMMETL","Shyam Metalics and Energy Limited","EQ","Interim Dividend - Rs 2.25 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"STEELCAS","Steelcast Limited","EQ","Interim Dividend - Rs 1.80 Per Share","5","07-Feb-2025","07-Feb-2025","-","-"
"TARACHAND","Tara Chand InfraLogistic Solutions Limited","EQ","Interim Dividend - Re 0.20 Per Share","2","07-Feb-2025","07-Feb-2025","-","-"
"VAIBHAVGBL","Vaibhav Global Limited","EQ","Interim Dividend - Rs 1.50 Per Share","2","07-Feb-2025","08-Feb-2025","-","-"
"WEL","Wonder Electricals Limited","EQ","Interim Dividend - Re 0.10 Per Share","1","07-Feb-2025","07-Feb-2025","-","-"
"SUNDARMFIN","Sundaram Finance Limited","EQ","Interim Dividend - Rs 14 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"GATEWAY","Gateway Distriparks Limited","EQ","Interim Dividend - Re 0.75 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"GRSE","Garden Reach Shipbuilders & Engineers Limited","EQ","Interim Dividend - Rs 8.95 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"HIKAL","Hikal Limited","EQ","Interim Dividend - Re 0.60 Per Share","2","07-Feb-2025","08-Feb-2025","-","-"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","EQ","Interim Dividend - Rs 8.50 Per Share","1","07-Feb-2025","08-Feb-2025","-","-"
"KPRMILL","K.P.R. Mill Limited","EQ","Interim Dividend - Rs 2.50 Per Share","1","07-Feb-2025","07-Feb-2025","-","-"
"SHRIPISTON","Shriram Pistons & Rings Limited","EQ","Interim Dividend - Rs 5 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"TIINDIA","Tube Investments of India Limited","EQ","Interim Dividend - Rs 2 Per Share","1","07-Feb-2025","07-Feb-2025","-","-"
"RAMAPHO","Rama Phosphates Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share","5","07-Feb-2025","07-Feb-2025","-","-"
"CAMS","Computer Age Management Services Limited","EQ","Interim Dividend - Rs 17.50 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
