"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"MAHLIFE","Mahindra Lifespace Developers Limited","EQ","Dividend - Rs 2 Per Share","10","19-Jul-2022","-","21-Jul-2022","27-Jul-2022"
"HERANBA","Heranba Industries Limited","EQ","Annual General Meeting/Dividend - Rs 2 Per Share","10","19-Jul-2022","-","21-Jul-2022","27-Jul-2022"
"ASTEC","Astec LifeSciences Limited","EQ","Annual General Meeting/Dividend - Rs 1.50 Per Share","10","19-Jul-2022","-","21-Jul-2022","24-Jul-2022"
"ADOR","Ador Welding Limited","EQ","Annual General Meeting/Dividend - Rs 12.50 Per Share","10","19-Jul-2022","-","21-Jul-2022","27-Jul-2022"
"KARURVYSYA","Karur Vysya Bank Limited","EQ","Annual General Meeting/Dividend - Rs 1.60 Per Share","2","19-Jul-2022","-","21-Jul-2022","03-Aug-2022"
"GRANULES","Granules India Limited","EQ","Annual General Meeting/Dividend - Rs 0.75 Per Share","1","19-Jul-2022","-","21-Jul-2022","27-Jul-2022"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend- Rs 10 Per Share","2","19-Jul-2022","20-Jul-2022","-","-"
"GSCLCEMENT","Gujarat Sidhee Cement Limited","EQ","Annual General Meeting","10","19-Jul-2022","-","21-Jul-2022","27-Jul-2022"
"FEDERALBNK","The Federal Bank  Limited","EQ","Annual General Meeting/Dividend - Rs  1.80 Per Share","2","19-Jul-2022","-","21-Jul-2022","27-Jul-2022"
"RGL","Renaissance Global Limited","EQ","Dividend - Rs 3 Per Share","2","19-Jul-2022","20-Jul-2022","-","-"
"SIRCA","Sirca Paints India Limited","EQ","Annual General Meeting/Dividend - Rs 2 Per Share","10","19-Jul-2022","-","21-Jul-2022","25-Jul-2022"
"RGL","Renaissance Global Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share","2","19-Jul-2022","20-Jul-2022","-","-"
"AEGISLOG","Aegis Logistics Limited","EQ","Dividend - Rs 0.50 Per Share","1","19-Jul-2022","20-Jul-2022","-","-"
"EIHOTEL","EIH Limited","EQ","Annual General Meeting","2","19-Jul-2022","-","21-Jul-2022","23-Jul-2022"
"TIRUMALCHM","Thirumalai Chemicals Limited","EQ","Annual General Meeting/Dividend - Rs 2.50 Per Share","1","19-Jul-2022","-","21-Jul-2022","27-Jul-2022"
"LATENTVIEW","Latent View Analytics Limited","EQ","Annual General Meeting","1","19-Jul-2022","-","21-Jul-2022","28-Jul-2022"
"OAL","Oriental Aromatics Limited","EQ","Annual General Meeting","5","19-Jul-2022","-","21-Jul-2022","27-Jul-2022"
"GRINDWELL","Grindwell Norton Limited","EQ","Annual General Meeting/Dividend - Rs 12 Per Share","5","19-Jul-2022","-","21-Jul-2022","29-Jul-2022"
